Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shelby Bertrand,Carol Clemenhagen,Richard "Rich" Joyal,Angela Keller-Herzog,Angella MacEwen,Alex McDonald,Yasir Naqvi,Regina Watteel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35075,"Ottawa Centre/Ottawa-Centre"," 33","Ottawa",0,19,0,2,53,0,71,4,2,151,425
35075,"Ottawa Centre/Ottawa-Centre"," 34","Ottawa",0,25,0,5,74,1,69,7,0,181,511
35075,"Ottawa Centre/Ottawa-Centre"," 35","Ottawa",0,16,0,8,98,1,79,9,1,212,545
35075,"Ottawa Centre/Ottawa-Centre"," 36","Ottawa",1,22,0,2,100,0,62,4,1,192,441
35075,"Ottawa Centre/Ottawa-Centre"," 37","Ottawa",0,22,0,1,78,2,55,7,0,165,391
35075,"Ottawa Centre/Ottawa-Centre"," 38","Ottawa",1,17,1,4,52,0,65,9,2,151,416
35075,"Ottawa Centre/Ottawa-Centre"," 39","Ottawa",0,18,0,6,43,0,50,5,2,124,346
35075,"Ottawa Centre/Ottawa-Centre"," 40","Ottawa",0,22,2,1,45,0,78,6,0,154,484
35075,"Ottawa Centre/Ottawa-Centre"," 41","Ottawa",0,19,0,5,72,6,55,9,1,167,504
35075,"Ottawa Centre/Ottawa-Centre"," 42","Ottawa",1,10,0,4,60,3,51,4,0,133,387
35075,"Ottawa Centre/Ottawa-Centre"," 43","Ottawa",0,49,0,9,100,1,164,6,2,331,609
35075,"Ottawa Centre/Ottawa-Centre"," 44","Ottawa",2,21,0,4,72,2,60,9,0,170,453
35075,"Ottawa Centre/Ottawa-Centre"," 45","Ottawa",1,18,0,5,75,0,60,2,0,161,383
35075,"Ottawa Centre/Ottawa-Centre"," 46","Ottawa",0,20,0,0,60,0,41,4,0,125,374
35075,"Ottawa Centre/Ottawa-Centre"," 47","Ottawa",0,13,0,2,75,1,45,2,1,139,354
35075,"Ottawa Centre/Ottawa-Centre"," 48","Ottawa",1,20,1,5,42,1,36,3,0,109,322
35075,"Ottawa Centre/Ottawa-Centre"," 49","Ottawa",0,37,0,6,58,0,89,3,2,195,524
35075,"Ottawa Centre/Ottawa-Centre"," 50","Ottawa",0,20,0,1,76,0,57,5,3,162,439
35075,"Ottawa Centre/Ottawa-Centre"," 51","Ottawa",1,22,0,0,64,0,72,5,0,164,416
35075,"Ottawa Centre/Ottawa-Centre"," 52","Ottawa",0,23,1,4,54,2,59,5,1,149,444
35075,"Ottawa Centre/Ottawa-Centre"," 53","Ottawa",0,23,0,6,91,1,55,6,1,183,525
35075,"Ottawa Centre/Ottawa-Centre"," 54","Ottawa",0,22,1,14,70,0,96,2,1,206,430
35075,"Ottawa Centre/Ottawa-Centre"," 55","Ottawa",0,44,0,8,44,0,108,4,0,208,412
35075,"Ottawa Centre/Ottawa-Centre"," 56","Ottawa",1,37,2,10,51,1,115,3,0,220,436
35075,"Ottawa Centre/Ottawa-Centre"," 57","Ottawa",1,12,0,2,48,0,43,12,1,119,388
35075,"Ottawa Centre/Ottawa-Centre"," 58","Ottawa",1,12,1,2,59,1,47,5,0,128,384
35075,"Ottawa Centre/Ottawa-Centre"," 59","Ottawa",0,18,0,4,97,1,64,5,2,191,494
35075,"Ottawa Centre/Ottawa-Centre"," 60","Ottawa",1,15,0,4,70,1,64,5,2,162,428
35075,"Ottawa Centre/Ottawa-Centre"," 61","Ottawa",1,19,0,5,88,4,55,4,1,177,381
35075,"Ottawa Centre/Ottawa-Centre"," 62","Ottawa",3,13,0,4,92,0,36,7,0,155,366
35075,"Ottawa Centre/Ottawa-Centre"," 63","Ottawa",2,22,1,7,74,0,66,7,0,179,441
35075,"Ottawa Centre/Ottawa-Centre"," 64","Ottawa",1,11,1,2,56,0,55,6,0,132,413
35075,"Ottawa Centre/Ottawa-Centre"," 65","Ottawa",0,13,0,6,62,0,31,3,1,116,313
35075,"Ottawa Centre/Ottawa-Centre"," 66","Ottawa",0,26,1,8,81,0,51,4,1,172,545
35075,"Ottawa Centre/Ottawa-Centre"," 67","Ottawa",2,24,0,11,44,0,64,4,1,150,393
35075,"Ottawa Centre/Ottawa-Centre"," 68","Ottawa",1,25,0,6,41,0,75,2,0,150,402
35075,"Ottawa Centre/Ottawa-Centre"," 69","Ottawa",1,18,0,8,41,0,78,3,0,149,427
35075,"Ottawa Centre/Ottawa-Centre"," 70","Ottawa",2,34,0,9,34,0,81,5,0,165,402
35075,"Ottawa Centre/Ottawa-Centre"," 71","Ottawa",1,25,0,5,53,0,73,7,1,165,425
35075,"Ottawa Centre/Ottawa-Centre"," 72","Ottawa",0,24,2,5,77,0,57,6,4,175,518
35075,"Ottawa Centre/Ottawa-Centre"," 73","Ottawa",0,24,2,5,79,0,57,6,3,176,443
35075,"Ottawa Centre/Ottawa-Centre"," 74","Ottawa",0,15,0,3,73,2,57,7,0,157,442
35075,"Ottawa Centre/Ottawa-Centre"," 75","Ottawa",3,24,0,1,67,0,65,4,1,165,507
35075,"Ottawa Centre/Ottawa-Centre"," 76","Ottawa",0,39,0,10,87,0,121,3,0,260,660
35075,"Ottawa Centre/Ottawa-Centre"," 77","Ottawa",3,20,0,5,77,2,71,1,0,179,463
35075,"Ottawa Centre/Ottawa-Centre"," 78A","Ottawa",0,15,1,3,42,1,62,2,1,127,278
35075,"Ottawa Centre/Ottawa-Centre"," 78B","Mobile poll/Bureau itinérant",1,12,0,0,11,0,48,1,3,76,124
35075,"Ottawa Centre/Ottawa-Centre"," 79","Ottawa",0,40,0,10,71,0,119,0,0,240,474
35075,"Ottawa Centre/Ottawa-Centre"," 80","Ottawa",1,42,0,5,71,0,133,4,1,257,523
35075,"Ottawa Centre/Ottawa-Centre"," 81","Ottawa",1,34,1,5,116,3,130,3,2,295,544
35075,"Ottawa Centre/Ottawa-Centre"," 82","Ottawa",0,55,0,5,45,1,131,3,2,242,439
35075,"Ottawa Centre/Ottawa-Centre"," 83","Ottawa",1,11,1,7,76,1,50,7,1,155,450
35075,"Ottawa Centre/Ottawa-Centre"," 84","Ottawa",3,26,0,7,56,1,104,3,1,201,467
35075,"Ottawa Centre/Ottawa-Centre"," 85","Ottawa",1,32,0,16,70,0,97,6,0,222,487
35075,"Ottawa Centre/Ottawa-Centre"," 86","Ottawa",0,37,0,5,38,0,74,5,0,159,445
35075,"Ottawa Centre/Ottawa-Centre"," 87","Ottawa",1,26,0,5,40,0,64,2,0,138,389
