Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Candice Bergen,Andrew Carrier,Jerome Dondo,Ken Friesen,Solomon Wiebe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46007,"Portage--Lisgar/Portage--Lisgar"," 603","Portage la Prairie",314,65,4,77,69,5,534,
46007,"Portage--Lisgar/Portage--Lisgar"," 604","Elie",302,69,4,60,37,0,472,
46007,"Portage--Lisgar/Portage--Lisgar"," 605","Oak Bluff",502,117,1,95,80,5,800,
46007,"Portage--Lisgar/Portage--Lisgar"," 606","La Salle",445,144,0,125,60,11,785,
46007,"Portage--Lisgar/Portage--Lisgar"," 607","Morris",301,68,10,95,188,1,663,
46007,"Portage--Lisgar/Portage--Lisgar"," 608","Carman--Roland",550,107,24,98,121,3,903,
46007,"Portage--Lisgar/Portage--Lisgar"," 609","Carman--St. Claude",176,26,11,32,98,2,345,
46007,"Portage--Lisgar/Portage--Lisgar"," 610","Norfolk-Treherne--Lorne",141,35,1,33,34,0,244,
46007,"Portage--Lisgar/Portage--Lisgar"," 611","Manitou",208,36,5,39,88,1,377,
46007,"Portage--Lisgar/Portage--Lisgar"," 612","Morden",393,47,12,114,268,5,839,
46007,"Portage--Lisgar/Portage--Lisgar"," 613","Morden",787,141,15,214,306,17,1480,
46007,"Portage--Lisgar/Portage--Lisgar"," 614","Schanzenfeld",230,11,20,24,655,6,946,
46007,"Portage--Lisgar/Portage--Lisgar"," 615","Winkler",405,38,18,58,635,11,1165,
46007,"Portage--Lisgar/Portage--Lisgar"," 616","Winkler",527,46,24,51,536,18,1202,
46007,"Portage--Lisgar/Portage--Lisgar"," 617","Rhineland",288,34,12,38,331,4,707,
46007,"Portage--Lisgar/Portage--Lisgar"," 618","Altona",288,77,4,93,189,2,653,
46007,"Portage--Lisgar/Portage--Lisgar",,Group 1/Groupe 1, 114,45,7,59,30,14,269,92
46007,"Portage--Lisgar/Portage--Lisgar",,Group 2/Groupe 2, 953,207,56,206,1009,70,2501,
