Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michel Boudrias,Frédérick Desjardins,Eric Forget,Nathan Fortin-Dubé,David Hamelin-Schuilenburg,Luke Mayba,Nathalie Sinclair-Desgagné,Louis Stinziani,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24075,"Terrebonne/Terrebonne"," 92","Terrebonne",16,15,44,1,1,17,85,5,5,189,423
24075,"Terrebonne/Terrebonne"," 93","Terrebonne",16,12,54,3,3,25,83,3,3,202,438
24075,"Terrebonne/Terrebonne"," 94","Terrebonne",11,9,58,2,2,17,101,0,9,209,461
24075,"Terrebonne/Terrebonne"," 95","Terrebonne",10,25,59,2,4,30,83,4,10,227,459
24075,"Terrebonne/Terrebonne"," 96","Terrebonne",18,26,37,6,4,22,76,4,9,202,463
24075,"Terrebonne/Terrebonne"," 97","Terrebonne",11,26,58,1,7,23,91,11,11,239,506
24075,"Terrebonne/Terrebonne"," 98","Terrebonne",20,22,62,0,1,22,97,3,4,231,504
24075,"Terrebonne/Terrebonne"," 99","Terrebonne",11,11,40,1,4,4,73,10,0,154,410
24075,"Terrebonne/Terrebonne"," 100","Terrebonne",6,11,31,2,2,14,38,4,5,113,387
24075,"Terrebonne/Terrebonne"," 101","Terrebonne",12,19,31,2,1,17,79,4,2,167,388
24075,"Terrebonne/Terrebonne"," 102","Terrebonne",6,16,39,2,1,13,57,4,3,141,397
24075,"Terrebonne/Terrebonne"," 103","Terrebonne",22,23,50,2,3,22,80,1,5,208,524
24075,"Terrebonne/Terrebonne"," 104","Terrebonne",12,12,36,1,3,16,61,6,6,153,495
24075,"Terrebonne/Terrebonne"," 105","Terrebonne",15,25,52,2,0,17,67,9,4,191,502
24075,"Terrebonne/Terrebonne"," 106","Terrebonne",11,12,58,5,3,22,64,3,3,181,469
24075,"Terrebonne/Terrebonne"," 107","Terrebonne",26,18,57,3,6,21,83,9,4,227,545
24075,"Terrebonne/Terrebonne"," 108","Terrebonne",15,14,41,2,4,15,68,10,5,174,508
24075,"Terrebonne/Terrebonne"," 109","Terrebonne",27,10,63,1,5,10,95,4,2,217,589
24075,"Terrebonne/Terrebonne"," 110","Terrebonne",17,13,44,5,5,17,73,10,3,187,509
24075,"Terrebonne/Terrebonne"," 111","Terrebonne",25,20,39,5,6,18,53,13,7,186,522
24075,"Terrebonne/Terrebonne"," 112","Terrebonne",24,14,84,4,4,21,97,8,4,260,520
24075,"Terrebonne/Terrebonne"," 113","Terrebonne",26,25,86,10,7,21,115,11,9,310,593
24075,"Terrebonne/Terrebonne"," 114","Terrebonne",17,16,69,2,4,11,94,9,9,231,514
24075,"Terrebonne/Terrebonne"," 115","Terrebonne",22,17,80,4,4,17,109,6,4,263,566
24075,"Terrebonne/Terrebonne"," 116","Terrebonne",17,11,68,1,3,12,91,6,3,212,488
