Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maxime Bernier,Chantale Giguère,François Jacques-Côté,Philippe-Alexandre Langlois,Richard Lehoux,Sébastien Tanguay,Solange Thibodeau,Andrzej Wisniowski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24007,"Beauce/Beauce"," 606","Vallée-Jonction",60,6,6,48,136,1,43,1,3,304,
24007,"Beauce/Beauce"," 607","Saint-Joseph",201,37,30,106,549,0,149,3,12,1087,
24007,"Beauce/Beauce"," 608","Saint-Victor--Saint-Éphrem-de-Beauce",145,38,24,125,358,0,104,2,13,809,
24007,"Beauce/Beauce"," 609","Beauceville",180,31,28,216,534,1,249,12,24,1275,
24007,"Beauce/Beauce"," 610","Saint-Benjamin--Saint-Prosper",96,21,16,96,354,2,113,4,13,715,
24007,"Beauce/Beauce"," 611","Saint-Zacharie--Saint-Prosper",85,21,10,51,191,1,76,3,2,440,
24007,"Beauce/Beauce"," 612","Saint-Georges",206,33,33,196,584,6,313,7,15,1393,
24007,"Beauce/Beauce"," 613","Saint-Georges--Notre-Dame-des-Pins",162,20,25,156,497,1,228,3,12,1104,
24007,"Beauce/Beauce"," 614","Saint-Georges",139,26,19,218,425,3,214,11,21,1076,
24007,"Beauce/Beauce"," 615","Saint-Georges",176,35,39,237,500,5,295,18,24,1329,
24007,"Beauce/Beauce"," 616","Saint-Georges",186,23,20,156,523,1,218,7,9,1143,
24007,"Beauce/Beauce"," 617","Saint-Côme–Linière",118,20,3,24,144,1,35,1,2,348,
24007,"Beauce/Beauce"," 618","Saint-Georges--Saint-Benoit-Labre",166,32,22,108,462,3,175,7,14,989,
24007,"Beauce/Beauce"," 619","Saint-Gédéon-de-Beauce--Saint-Martin",156,27,15,94,309,4,129,3,6,743,
24007,"Beauce/Beauce"," 620","La Guadeloupe--Saint-Honoré-de-Shenley",97,4,4,37,107,0,46,2,3,300,
24007,"Beauce/Beauce",,Group 1/Groupe 1, 25,2,26,28,52,1,37,3,11,185,44
24007,"Beauce/Beauce",,Group 2/Groupe 2, 135,21,34,198,575,3,269,5,27,1267,
