Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dave Epp,Dan Gelinas,Greg Hetherington,Liz Vallee,Mark Vercouteren,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 158","Lakeshore",136,26,66,10,2,0,240,607
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 159","Chatham-Kent",53,11,18,29,0,0,111,299
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 160","Lakeshore",64,34,30,25,2,1,156,436
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 161","Tilbury",40,14,12,10,0,0,76,256
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 162","Tilbury",64,45,24,31,4,0,168,447
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 163","Tilbury",29,18,18,23,2,0,90,380
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 164","Tilbury",84,18,48,10,3,0,163,362
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 165","Tilbury",54,20,46,20,1,0,141,333
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 166","Chatham-Kent",81,30,57,17,2,1,188,489
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 167","Chatham-Kent",64,7,20,29,4,0,124,369
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 168","Lakeshore",37,22,18,14,0,1,92,263
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 169","Lakeshore",77,49,29,27,1,0,183,440
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 170","Lakeshore",71,40,32,31,2,0,176,451
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 171","Lakeshore",79,26,27,38,2,1,173,478
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 172","Chatham-Kent",106,30,49,42,1,0,228,479
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 173","Leamington",88,8,25,48,2,0,171,464
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 174","Wheatley",113,25,41,46,3,2,230,492
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 175","Leamington",64,10,17,24,1,2,118,358
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 176","Leamington",59,25,20,22,2,0,128,335
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 177","Leamington",88,29,9,42,2,1,171,425
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 178","Leamington",64,11,23,40,1,2,141,325
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 179","Leamington",75,7,15,49,3,0,149,418
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 180","Wheatley",94,32,43,35,5,1,210,465
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 181","Wheatley",72,13,25,32,3,0,145,365
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 182","Wheatley",84,24,28,35,1,0,172,423
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 183","Chatham-Kent",87,38,42,31,2,0,200,396
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 184","Wheatley",108,23,27,42,4,0,204,467
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 185","Leamington",63,9,22,35,1,0,130,363
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 186","Leamington",66,15,19,35,7,2,144,418
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 187","Leamington",48,14,11,27,0,0,100,367
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 188","Leamington",51,25,34,28,2,1,141,449
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 189","Leamington",42,23,20,18,2,0,105,330
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 190","Leamington",54,19,20,24,4,1,122,358
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 191","Leamington",51,26,49,34,3,4,167,508
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 192","Leamington",71,22,40,14,1,3,151,483
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 193","Leamington",50,21,35,34,2,1,143,450
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 194","Leamington",44,23,47,16,1,1,132,390
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 195","Leamington",45,10,34,27,5,2,123,396
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington"," 196","Leamington",39,22,43,26,2,2,134,439
