Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevin Boychuk,Robert Doucette,Dave Greenfield,Ruben Rajakumar,Brad Redekopp,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47012,"Saskatoon West/Saskatoon-Ouest"," 90","Saskatoon",14,62,1,3,22,2,104,335
47012,"Saskatoon West/Saskatoon-Ouest"," 91","Saskatoon",11,73,0,22,68,0,174,525
47012,"Saskatoon West/Saskatoon-Ouest"," 92","Saskatoon",9,50,2,6,59,0,126,408
47012,"Saskatoon West/Saskatoon-Ouest"," 93","Saskatoon",14,76,1,20,69,4,184,541
47012,"Saskatoon West/Saskatoon-Ouest"," 94","Saskatoon",10,55,0,13,83,1,162,392
47012,"Saskatoon West/Saskatoon-Ouest"," 95","Saskatoon",10,78,5,17,84,0,194,449
47012,"Saskatoon West/Saskatoon-Ouest"," 96","Saskatoon",9,62,1,14,69,0,155,374
47012,"Saskatoon West/Saskatoon-Ouest"," 97","Saskatoon",5,63,2,7,65,2,144,428
47012,"Saskatoon West/Saskatoon-Ouest"," 98","Saskatoon",10,88,2,13,80,1,194,475
47012,"Saskatoon West/Saskatoon-Ouest"," 99","Saskatoon",11,88,0,7,62,1,169,558
47012,"Saskatoon West/Saskatoon-Ouest"," 100","Saskatoon",9,45,0,8,50,1,113,423
47012,"Saskatoon West/Saskatoon-Ouest"," 101","Saskatoon",14,44,3,12,41,1,115,370
47012,"Saskatoon West/Saskatoon-Ouest"," 102","Saskatoon",6,29,0,8,26,1,70,335
47012,"Saskatoon West/Saskatoon-Ouest"," 103","Saskatoon",5,37,0,20,22,2,86,506
47012,"Saskatoon West/Saskatoon-Ouest"," 104","Saskatoon",6,35,4,7,47,4,103,344
47012,"Saskatoon West/Saskatoon-Ouest"," 105","Saskatoon",11,41,0,17,58,0,127,399
47012,"Saskatoon West/Saskatoon-Ouest"," 106","Saskatoon",12,41,1,10,28,1,93,405
47012,"Saskatoon West/Saskatoon-Ouest"," 107","Saskatoon",1,45,3,14,48,1,112,506
47012,"Saskatoon West/Saskatoon-Ouest"," 108","Saskatoon",6,29,1,7,32,1,76,410
47012,"Saskatoon West/Saskatoon-Ouest"," 109","Saskatoon",11,45,0,9,44,0,109,389
47012,"Saskatoon West/Saskatoon-Ouest"," 110","Saskatoon",9,59,3,16,66,0,153,403
47012,"Saskatoon West/Saskatoon-Ouest"," 111","Saskatoon",10,80,4,13,40,0,147,526
47012,"Saskatoon West/Saskatoon-Ouest"," 112","Saskatoon",4,79,3,18,30,2,136,477
47012,"Saskatoon West/Saskatoon-Ouest"," 113","Saskatoon",6,52,5,14,36,0,113,418
47012,"Saskatoon West/Saskatoon-Ouest"," 114","Saskatoon",4,43,1,9,21,0,78,309
47012,"Saskatoon West/Saskatoon-Ouest"," 115","Saskatoon",5,66,3,20,48,0,142,443
47012,"Saskatoon West/Saskatoon-Ouest"," 116","Saskatoon",7,77,1,12,30,0,127,379
47012,"Saskatoon West/Saskatoon-Ouest"," 117","Saskatoon",3,46,0,19,54,0,122,383
47012,"Saskatoon West/Saskatoon-Ouest"," 118","Saskatoon",13,66,0,13,42,0,134,427
47012,"Saskatoon West/Saskatoon-Ouest"," 119","Saskatoon",7,35,1,9,20,0,72,453
