Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nathan Lang,Philip Lawrence,Alison Lester,Kim McArthur-Jackson,Christina Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 228","Clarington",9,68,34,12,3,1,127,332
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 229","Clarington",9,106,54,34,4,1,208,527
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 230","Clarington",6,106,44,26,1,0,183,487
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 231","Clarington",11,87,33,44,8,1,184,391
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 232","Clarington",5,77,39,29,3,0,153,402
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 233","Clarington",9,60,15,20,5,2,111,302
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 234","Clarington",12,61,33,24,3,0,133,346
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 235","Clarington",8,63,31,32,2,0,136,332
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 236","Clarington",6,61,25,17,0,1,110,308
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 237","Clarington",6,76,74,22,6,5,189,499
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 238","Clarington",9,87,97,26,4,2,225,632
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 239","Clarington",12,67,61,33,1,0,174,468
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 240","Clarington",7,133,69,33,6,0,248,607
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 241","Clarington",4,64,36,23,2,0,129,321
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 242","Clarington",6,51,16,36,5,0,114,338
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 243","Clarington",9,39,38,20,7,0,113,228
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 244","Clarington",12,69,47,34,1,0,163,470
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 245","Clarington",7,55,42,28,2,0,134,385
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 246","Clarington",6,44,43,30,2,1,126,284
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 247","Clarington",7,42,24,14,3,1,91,271
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 248","Clarington",6,67,59,34,0,1,167,392
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 249","Clarington",5,71,71,36,11,2,196,662
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 250","Clarington",4,47,54,16,5,0,126,385
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 251","Clarington",4,76,52,21,3,1,157,379
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 400","Trent Hills",1,23,30,11,1,1,67,90
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 500","Mobile poll/Bureau itinérant",1,14,8,3,1,0,27,44
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 501","Mobile poll/Bureau itinérant",1,20,17,6,0,4,48,64
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 502","Mobile poll/Bureau itinérant",2,17,19,6,0,3,47,59
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 503","Mobile poll/Bureau itinérant",1,1,6,0,3,0,11,34
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 504","Mobile poll/Bureau itinérant",1,5,3,0,0,0,9,56
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 505","Mobile poll/Bureau itinérant",0,11,5,1,2,4,23,27
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 506","Mobile poll/Bureau itinérant",1,18,11,2,1,2,35,60
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 507","Mobile poll/Bureau itinérant",1,6,3,2,1,2,15,35
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 508","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°167,,,,,,,103
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 509","Mobile poll/Bureau itinérant",1,10,13,3,1,0,28,96
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 510","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°167,,,,,,,40
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 511","Mobile poll/Bureau itinérant",6,19,13,2,4,1,45,141
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 512","Mobile poll/Bureau itinérant",0,12,19,1,2,2,36,56
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 513","Mobile poll/Bureau itinérant",2,24,32,3,1,0,62,109
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 514","Mobile poll/Bureau itinérant",0,7,5,2,1,0,15,49
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 515","Mobile poll/Bureau itinérant",1,15,13,3,2,2,36,31
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 516","Mobile poll/Bureau itinérant",4,11,22,4,0,4,45,123
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 517","Mobile poll/Bureau itinérant",0,23,38,7,0,3,71,99
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 518","Mobile poll/Bureau itinérant",1,18,26,10,2,1,58,79
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 519","Mobile poll/Bureau itinérant",0,6,4,3,0,1,14,75
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 520","Mobile poll/Bureau itinérant",0,8,8,2,0,0,18,45
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 521","Mobile poll/Bureau itinérant",1,11,13,5,0,0,30,67
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 522","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°237,,,,,,,30
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 523","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°21,,,,,,,12
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 600","Otonabee-South Monaghan",13,294,98,59,13,1,478,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 601","Keene",55,489,280,105,20,1,950,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 602","Asphodel-Norwood",60,403,271,123,6,2,865,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 603","Hastings",36,418,299,83,29,1,866,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 604","Trent Hills",66,573,301,126,17,5,1088,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 605","Trent Hills",51,503,357,139,24,8,1082,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 606","Trent Hills",56,409,283,104,21,5,878,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 607","Cramahe",66,501,230,111,22,4,934,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 608","Alderville First Nation",6,9,23,22,1,0,61,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 609","Centreton",59,516,288,111,30,1,1005,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 610","Baltimore",46,473,275,81,20,2,897,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 611","Hamilton",28,311,213,44,12,0,608,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 612","Bewdley",64,417,215,79,9,3,787,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 613","Clarington",41,449,158,59,20,3,730,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 614","Orono",57,434,172,90,13,6,772,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 615","Clarington",60,587,412,164,21,4,1248,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 616","Newcastle Village",58,602,412,121,20,9,1222,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 617","Port Hope",41,425,293,67,10,7,843,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 618","Port Hope",49,434,393,83,13,3,975,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 619","Port Hope",57,384,499,126,36,6,1108,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 620","Port Hope",39,336,325,107,20,8,835,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 621","Hamilton ",63,620,705,136,31,17,1572,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 622","Cobourg",44,540,542,131,29,7,1293,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 623","Cobourg",43,503,580,120,24,2,1272,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 624","Cobourg",59,586,605,121,29,8,1408,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 625","Colborne",88,432,314,97,13,17,961,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 626","Brighton",49,479,428,144,28,4,1132,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 627","Brighton",26,506,449,96,27,8,1112,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud"," 628","Brighton",64,490,392,120,30,5,1101,
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud",,Group 1/Groupe 1, 24,165,209,114,17,39,568,160
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud",,Group 2/Groupe 2, 74,1105,1393,326,52,65,3015,
