Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Cynthia Charbonneau-Lavictoire,Denise Dubé,Marc Miller,Soledad Orihuela-Bouchard,Steve Shanahan,Linda Sullivan,Sophie Thiébaut,Hans Armando Vargas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 138","Montréal",7,2,90,30,14,1,51,0,2,197,519
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 139","Montréal",14,7,63,19,11,0,70,1,3,188,478
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 140","Montréal",15,19,97,22,17,1,128,4,4,307,463
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 141","Montréal",4,7,54,9,11,0,38,0,0,123,344
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 142","Montréal",2,8,64,15,11,1,59,0,2,162,408
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 143","Montréal",5,3,56,36,10,0,41,0,2,153,444
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 144","Montréal",9,12,83,26,22,0,62,1,1,216,509
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 145","Montréal",4,6,95,30,32,1,14,1,5,188,639
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 146","Montréal",3,1,71,12,30,0,14,0,2,133,373
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 147","Montréal",4,7,89,36,25,0,15,0,1,177,512
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 148","Montréal",7,9,73,29,31,1,15,0,0,165,421
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 149","Montréal",3,1,78,24,10,1,15,1,0,133,379
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 150","Montréal",7,9,72,15,14,1,56,1,2,177,411
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 151","Montréal",9,2,65,23,11,0,39,0,3,152,337
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 152","Montréal",7,6,44,25,6,0,57,0,0,145,381
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 153","Montréal",12,8,43,30,9,2,50,1,5,160,366
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 154","Montréal",Merged with No./Fusionné avec le n°140,,,,,,,,,,360
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 155","Montréal",6,11,23,23,11,0,32,0,2,108,325
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 156","Montréal",0,8,82,38,18,0,79,2,5,232,573
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 157","Montréal",13,2,68,20,13,1,47,1,2,167,399
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 158","Montréal",1,13,65,9,12,0,15,1,1,117,370
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 159","Montréal",3,6,73,14,30,0,12,0,0,138,391
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 160","Montréal",2,6,73,12,24,0,17,1,2,137,388
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 161","Montréal",2,6,99,37,43,0,15,0,0,202,442
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 162","Montréal",6,6,51,17,10,0,47,0,4,141,331
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 163","Montréal",4,4,61,39,9,1,43,0,1,162,440
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 164","Montréal",7,3,70,15,17,0,49,3,0,164,402
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 165","Montréal",7,3,54,22,6,1,27,1,1,122,337
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 166","Montréal",3,1,96,16,36,1,13,0,1,167,543
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 167","Montréal",4,4,103,27,20,0,12,0,1,171,463
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 168","Montréal",4,5,97,12,20,0,6,0,2,146,457
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 169","Montréal",3,8,75,12,19,2,12,1,2,134,386
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 170","Montréal",4,0,74,10,20,0,25,2,0,135,307
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 171","Montréal",7,11,106,22,32,0,32,1,2,213,678
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 172","Montréal",6,6,124,21,28,0,18,0,0,203,582
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 173","Montréal",2,0,47,14,9,1,0,0,0,73,231
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 174","Montréal",0,4,86,28,35,0,11,0,1,165,685
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 175","Montréal",1,3,107,29,57,0,15,0,1,213,616
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 400","Montréal",2,1,78,39,18,0,4,1,0,143,229
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 401","Montréal",2,0,45,15,30,0,6,0,0,98,191
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 402","Montréal",0,0,33,10,7,0,2,0,0,52,93
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 403","Montréal",2,1,12,1,5,0,5,0,0,26,150
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 404","Montréal",1,2,43,3,9,0,13,1,0,72,375
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 405","Montréal",Void/Supprimé,,,,,,,,,,
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 406","Montréal",0,1,96,38,10,1,4,0,7,157,242
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 407","Montréal",2,4,87,30,15,0,16,0,2,156,307
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 408","Montréal",0,1,42,20,8,0,8,0,0,79,145
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 409","Montréal",1,0,44,19,18,0,2,0,1,85,145
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 410","Montréal",0,4,81,33,25,0,2,0,1,146,273
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 411","Montréal",1,0,41,25,11,0,5,0,1,84,159
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 412","Montréal",2,4,63,23,16,0,4,0,1,113,189
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 413","Montréal",1,0,44,30,14,0,8,0,1,98,251
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 414","Montréal",2,5,30,8,7,0,5,0,0,57,177
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 415","Montréal",Merged with No./Fusionné avec le n°416,,,,,,,,,,206
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 416","Montréal",3,5,56,36,10,1,7,0,0,118,179
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 417","Montréal",Merged with No./Fusionné avec le n°413,,,,,,,,,,207
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 418","Montréal",1,1,60,37,4,1,1,1,4,110,141
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 419","Montréal",2,0,47,13,18,0,1,0,1,82,203
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 420","Montréal",1,1,61,11,21,0,6,0,0,101,244
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 421","Montréal",1,3,45,4,2,0,6,0,0,61,231
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 422","Montréal",1,2,16,13,10,0,11,0,1,54,190
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 423","Montréal",0,3,17,11,6,0,5,1,0,43,205
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 424","Montréal",2,0,59,18,32,0,4,0,1,116,481
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 425","Montréal",1,3,127,23,13,0,7,0,4,178,133
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 500","Montréal",Merged with No./Fusionné avec le n°16,,,,,,,,,,47
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 501","Montréal",Merged with No./Fusionné avec le n°47,,,,,,,,,,10
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 502","Mobile poll/Bureau itinérant",Results combined with no. 504/Résultats combinés au n° 504,,,,,,,,,,118
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 503","Mobile poll/Bureau itinérant",Results combined with no. 504/Résultats combinés au n° 504,,,,,,,,,,72
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 504","Mobile poll/Bureau itinérant",4,3,105,20,7,3,7,1,4,154,129
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 505","Mobile poll/Bureau itinérant",Results combined with no. 506/Résultats combinés au n° 506,,,,,,,,,,22
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 506","Mobile poll/Bureau itinérant",0,0,7,0,3,0,0,0,0,10,150
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 600","Montréal",11,18,549,272,137,0,95,0,9,1091,
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 601","Montréal",25,17,388,72,110,0,112,0,8,732,
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 602","Montréal",13,7,214,53,89,2,89,0,4,471,
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 603","Montréal",23,9,501,36,218,3,65,1,15,871,
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 604","Montréal",20,19,400,47,118,4,112,1,18,739,
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 605","Montréal",11,19,370,41,76,2,93,1,12,625,
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 606","Montréal",23,21,497,82,80,3,108,2,10,826,
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 607","Montréal",34,46,864,256,226,1,250,7,7,1691,
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 608","Montréal",26,19,649,136,96,1,166,4,7,1104,
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 609","Montréal",30,8,377,130,45,4,198,2,7,801,
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 610","Montréal",27,22,434,163,71,3,224,2,20,966,
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 611","Montréal",20,20,390,161,63,3,196,1,9,863,
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 612","Montréal",15,20,768,246,209,3,51,1,5,1318,
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 613","Montréal",25,20,316,123,36,0,231,1,8,760,
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 614","Montréal",16,15,331,127,44,1,153,2,9,698,
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 615","Montréal",14,29,877,253,219,2,100,4,11,1509,
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 616","Montréal",19,22,724,225,207,0,70,1,12,1280,
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs",,Group 1/Groupe 1, 25,14,486,78,109,2,172,3,41,930,818
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs",,Group 2/Groupe 2, 43,31,1325,240,317,4,442,2,101,2505,
