Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tylor Baer,Linda Branconnier,Whitney Hodgins,Larry Maguire,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46001,"Brandon--Souris/Brandon--Souris"," 92","Oak Lake Beach",28,12,10,163,0,213,340
46001,"Brandon--Souris/Brandon--Souris"," 93","Oak Lake Reserve",1,8,19,3,0,31,102
46001,"Brandon--Souris/Brandon--Souris"," 94","Deleau",18,6,14,156,1,195,360
46001,"Brandon--Souris/Brandon--Souris"," 95","Souris",19,16,38,139,2,214,431
46001,"Brandon--Souris/Brandon--Souris"," 96","Souris",9,25,33,140,4,211,461
46001,"Brandon--Souris/Brandon--Souris"," 97","Souris",20,23,38,136,2,219,471
46001,"Brandon--Souris/Brandon--Souris"," 98","Carroll",10,12,18,108,0,148,314
46001,"Brandon--Souris/Brandon--Souris"," 99","Sinclair",16,6,14,126,2,164,258
46001,"Brandon--Souris/Brandon--Souris"," 100","Methven",12,13,26,158,2,211,371
46001,"Brandon--Souris/Brandon--Souris"," 101","Wawanesa",15,17,47,194,0,273,446
46001,"Brandon--Souris/Brandon--Souris"," 102","Nesbitt",19,24,37,158,4,242,423
46001,"Brandon--Souris/Brandon--Souris"," 103A","Pipestone",19,20,20,174,1,234,382
46001,"Brandon--Souris/Brandon--Souris"," 103B","Pipestone",15,17,37,172,0,241,369
46001,"Brandon--Souris/Brandon--Souris"," 104","Stockton",21,24,25,95,3,168,440
46001,"Brandon--Souris/Brandon--Souris"," 105","Glenboro-South Cypress",8,16,25,123,4,176,443
46001,"Brandon--Souris/Brandon--Souris"," 106","Cypress River",7,7,25,124,4,167,293
46001,"Brandon--Souris/Brandon--Souris"," 107","Holland",37,26,43,224,0,330,546
46001,"Brandon--Souris/Brandon--Souris"," 108","Grande-Clairière",5,3,9,89,0,106,218
46001,"Brandon--Souris/Brandon--Souris"," 109","Argue",25,19,29,246,5,324,447
