Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Todd Doherty,Garth Frizzell,Jeremy Gustafson,Leigh Hunsinger-Chang,Audrey McKinnon,Henry Thiessen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59004,"Cariboo--Prince George/Cariboo--Prince George"," 192","Nemaiah Valley",7,39,6,6,11,2,1,72,111
59004,"Cariboo--Prince George/Cariboo--Prince George"," 193","Dugan Lake",84,5,7,4,14,0,0,114,255
59004,"Cariboo--Prince George/Cariboo--Prince George"," 194","Williams Lake 1",96,15,7,6,37,0,2,163,505
59004,"Cariboo--Prince George/Cariboo--Prince George"," 195","150 Mile House",117,25,9,2,30,0,0,183,358
59004,"Cariboo--Prince George/Cariboo--Prince George"," 196","141 Mile House",127,23,10,4,26,1,0,191,355
59004,"Cariboo--Prince George/Cariboo--Prince George"," 197","Dugan Lake",108,12,14,7,26,0,1,168,421
59004,"Cariboo--Prince George/Cariboo--Prince George"," 198","Alkali Lake",17,20,6,30,106,3,0,182,299
59004,"Cariboo--Prince George/Cariboo--Prince George"," 199","Big Creek",18,1,0,0,4,0,0,23,42
59004,"Cariboo--Prince George/Cariboo--Prince George"," 200","Dog Creek",9,3,3,5,33,0,0,53,104
59004,"Cariboo--Prince George/Cariboo--Prince George"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°11,,,,,,,,27
59004,"Cariboo--Prince George/Cariboo--Prince George"," 501","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°7,,,,,,,,21
59004,"Cariboo--Prince George/Cariboo--Prince George"," 503","Mobile poll/Bureau itinérant",25,18,3,0,7,0,0,53,107
59004,"Cariboo--Prince George/Cariboo--Prince George"," 504","Mobile poll/Bureau itinérant",3,5,0,0,2,1,2,13,19
59004,"Cariboo--Prince George/Cariboo--Prince George"," 505","Mobile poll/Bureau itinérant",3,4,0,1,1,0,0,9,10
59004,"Cariboo--Prince George/Cariboo--Prince George"," 506","Prince George",Merged with No./Fusionné avec le n°42,,,,,,,,3
59004,"Cariboo--Prince George/Cariboo--Prince George"," 507","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°56,,,,,,,,59
59004,"Cariboo--Prince George/Cariboo--Prince George"," 508","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°56,,,,,,,,50
59004,"Cariboo--Prince George/Cariboo--Prince George"," 509","Mobile poll/Bureau itinérant",12,8,1,2,3,0,0,26,36
59004,"Cariboo--Prince George/Cariboo--Prince George"," 510","Quesnel",Merged with No./Fusionné avec le n°111,,,,,,,,28
59004,"Cariboo--Prince George/Cariboo--Prince George"," 511","Quesnel",Merged with No./Fusionné avec le n°111,,,,,,,,8
59004,"Cariboo--Prince George/Cariboo--Prince George"," 512","Quesnel",Merged with No./Fusionné avec le n°111,,,,,,,,16
59004,"Cariboo--Prince George/Cariboo--Prince George"," 513","Mobile poll/Bureau itinérant",10,11,1,2,8,0,0,32,61
59004,"Cariboo--Prince George/Cariboo--Prince George"," 514","Mobile poll/Bureau itinérant",29,25,2,4,10,1,0,71,133
59004,"Cariboo--Prince George/Cariboo--Prince George"," 515","Mobile poll/Bureau itinérant",9,2,1,0,2,0,0,14,14
59004,"Cariboo--Prince George/Cariboo--Prince George"," 516","Mobile poll/Bureau itinérant",8,6,1,2,2,1,0,20,46
59004,"Cariboo--Prince George/Cariboo--Prince George"," 517","Mobile poll/Bureau itinérant",37,42,3,2,19,2,2,107,172
59004,"Cariboo--Prince George/Cariboo--Prince George"," 600","Vanderhoof",578,57,189,18,74,23,2,941,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 601","Vanderhoof",571,87,146,9,77,13,4,907,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 602","Prince George",369,61,81,15,72,2,3,603,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 603","Prince George",589,258,100,60,259,4,1,1271,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 604","Prince George",458,241,82,38,231,2,6,1058,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 605","Prince George",418,186,87,25,188,1,5,910,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 606","Prince George",151,74,47,12,116,1,2,403,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 607","Prince George",405,187,72,20,117,4,4,809,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 608","Prince George",636,299,92,51,227,2,8,1315,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 609","Prince George",642,241,117,29,196,1,3,1229,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 610","Quesnel--Nazco 20",275,42,49,7,42,0,0,415,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 611","Quesnel",301,76,77,16,108,2,3,583,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 612","Quesnel",438,144,59,20,165,2,4,832,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 613","Quesnel",442,73,57,11,92,1,2,678,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 614","Quesnel",340,87,37,8,109,2,3,586,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 615","Quesnel",329,64,62,14,68,2,0,539,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 616","Williams Lake",439,42,83,19,72,1,1,657,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 617","Williams Lake",712,155,92,35,219,6,2,1221,
59004,"Cariboo--Prince George/Cariboo--Prince George"," 618","Williams Lake",725,215,112,52,202,5,2,1313,
