Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alex Boykowich,Blake Desjarlais,Kerry Diotte,Mary Joyce,Heather Lau,Thomas Matty,Habiba Mohamud,Morgan Watson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48015,"Edmonton Griesbach/Edmonton Griesbach"," 528","Mobile poll/Bureau itinérant",1,4,14,0,1,0,6,0,5,31,60
48015,"Edmonton Griesbach/Edmonton Griesbach"," 529","Mobile poll/Bureau itinérant",0,22,45,0,3,1,16,1,1,89,46
48015,"Edmonton Griesbach/Edmonton Griesbach"," 530","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°529,,,,,,,,,,45
48015,"Edmonton Griesbach/Edmonton Griesbach"," 531","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°529,,,,,,,,,,49
48015,"Edmonton Griesbach/Edmonton Griesbach"," 532","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°529,,,,,,,,,,38
48015,"Edmonton Griesbach/Edmonton Griesbach"," 600","Edmonton",3,754,689,0,12,56,196,4,46,1760,
48015,"Edmonton Griesbach/Edmonton Griesbach"," 601","Edmonton",0,305,546,1,4,72,197,11,13,1149,
48015,"Edmonton Griesbach/Edmonton Griesbach"," 602","Edmonton",3,255,360,2,3,27,86,2,5,743,
48015,"Edmonton Griesbach/Edmonton Griesbach"," 603","Edmonton",3,244,476,2,12,60,81,1,5,884,
48015,"Edmonton Griesbach/Edmonton Griesbach"," 604","Edmonton",2,288,427,1,13,67,131,9,2,940,
48015,"Edmonton Griesbach/Edmonton Griesbach"," 605","Edmonton",0,215,337,0,9,34,86,1,2,684,
48015,"Edmonton Griesbach/Edmonton Griesbach"," 606","Edmonton",1,314,420,0,8,58,92,4,5,902,
48015,"Edmonton Griesbach/Edmonton Griesbach"," 607","Edmonton",2,230,330,0,7,39,66,3,2,679,
48015,"Edmonton Griesbach/Edmonton Griesbach"," 608","Edmonton",1,557,198,2,12,60,93,10,4,937,
48015,"Edmonton Griesbach/Edmonton Griesbach"," 609","Edmonton",1,289,261,1,2,38,102,3,3,700,
48015,"Edmonton Griesbach/Edmonton Griesbach"," 610","Edmonton",0,344,142,2,11,34,77,0,2,612,
48015,"Edmonton Griesbach/Edmonton Griesbach"," 611","Edmonton",1,238,137,0,8,28,89,4,31,536,
48015,"Edmonton Griesbach/Edmonton Griesbach"," 612","Edmonton",3,573,267,0,6,48,61,1,9,968,
48015,"Edmonton Griesbach/Edmonton Griesbach"," 613","Edmonton",0,175,206,0,6,30,36,2,0,455,
48015,"Edmonton Griesbach/Edmonton Griesbach"," 614","Edmonton",1,194,188,1,4,34,53,1,1,477,
48015,"Edmonton Griesbach/Edmonton Griesbach",,Group 1/Groupe 1, 1,208,262,2,13,40,120,4,50,700,244
48015,"Edmonton Griesbach/Edmonton Griesbach",,Group 2/Groupe 2, 5,814,352,2,9,50,207,1,82,1522,
