Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Farina Hassan,Chris Hill,Jasveen Rattan,Natalie Spizzirri,Rechie Valdez,Gurdeep Wolosz,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 79","Mississauga",27,3,39,0,44,9,0,122,425
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 80","Mississauga",13,2,51,1,69,2,2,140,520
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 81","Mississauga",6,2,55,0,54,1,0,118,373
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 82","Mississauga",14,4,47,1,76,8,0,150,457
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 83","Mississauga",20,11,53,1,98,4,0,187,479
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 84","Mississauga",9,1,37,0,86,4,1,138,498
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 85","Mississauga",8,2,43,0,70,2,0,125,415
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 86","Mississauga",25,0,47,0,75,1,3,151,454
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 87","Mississauga",12,2,35,0,62,7,0,118,383
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 88","Mississauga",26,1,42,0,70,6,0,145,430
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 89","Mississauga",22,5,72,0,86,2,7,194,337
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 90","Mississauga",25,6,55,2,108,5,0,201,442
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 91","Mississauga",34,2,46,1,141,3,2,229,468
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 92","Mississauga",22,2,40,1,49,3,0,117,471
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 93","Mississauga",15,2,25,0,49,5,2,98,570
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 94","Mississauga",22,2,30,0,44,8,0,106,444
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 95","Mississauga",11,5,29,0,51,6,1,103,346
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 96","Mississauga",16,3,62,0,60,4,2,147,562
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 97","Mississauga",9,2,56,0,69,3,3,142,481
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 98","Mississauga",24,2,59,0,77,9,6,177,583
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 99","Mississauga",33,0,29,0,45,4,0,111,404
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 100","Mississauga",15,5,51,0,64,8,1,144,393
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 101","Mississauga",16,3,18,0,49,3,0,89,277
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 102","Mississauga",16,3,31,0,78,9,0,137,421
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 103","Mississauga",28,3,74,0,115,5,2,227,506
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 104","Mississauga",22,7,72,1,82,5,2,191,385
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 105","Mississauga",13,7,88,1,110,10,2,231,466
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 106","Mississauga",11,2,44,0,85,3,0,145,187
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 107","Mississauga",19,6,56,0,43,4,0,128,481
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 108","Mississauga",13,2,24,0,57,3,0,99,460
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 109","Mississauga",2,1,21,0,43,5,0,72,324
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 110","Mississauga",12,3,58,1,41,12,1,128,449
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 111","Mississauga",21,3,31,0,42,2,0,99,428
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 112","Mississauga",25,0,33,0,51,1,0,110,448
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 113","Mississauga",24,0,60,0,67,3,1,155,514
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 114","Mississauga",14,1,51,1,44,3,4,118,418
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 115","Mississauga",12,5,51,0,67,6,1,142,474
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 116","Mississauga",27,3,65,0,113,6,1,215,466
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 117","Mississauga",23,3,40,1,61,5,0,133,424
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 118","Mississauga",31,4,37,1,36,4,1,114,448
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 119","Mississauga",28,1,55,2,49,9,0,144,493
