Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sarah Bennett,Robin Goldsbury,Rob Morrison,Rana Nelson,Wayne Stetski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59015,"Kootenay--Columbia/Kootenay--Columbia"," 149","Cranbrook",3,8,80,1,34,0,126,568
59015,"Kootenay--Columbia/Kootenay--Columbia"," 150","Cranbrook",7,5,61,4,23,1,101,350
59015,"Kootenay--Columbia/Kootenay--Columbia"," 151","Cranbrook",5,9,64,5,49,0,132,450
59015,"Kootenay--Columbia/Kootenay--Columbia"," 152","Erie",16,28,35,11,51,0,141,442
59015,"Kootenay--Columbia/Kootenay--Columbia"," 153","Salmo",12,13,25,6,48,1,105,350
59015,"Kootenay--Columbia/Kootenay--Columbia"," 154","Salmo",7,4,30,5,59,0,105,346
59015,"Kootenay--Columbia/Kootenay--Columbia"," 155","Salmo",13,11,48,6,59,1,138,366
59015,"Kootenay--Columbia/Kootenay--Columbia"," 156","Salmo",25,15,42,7,41,2,132,386
59015,"Kootenay--Columbia/Kootenay--Columbia"," 157","Fort Steele",5,6,102,3,22,0,138,215
59015,"Kootenay--Columbia/Kootenay--Columbia"," 158","Cranbrook",7,18,76,2,45,0,148,498
59015,"Kootenay--Columbia/Kootenay--Columbia"," 159","Cranbrook",6,15,46,3,31,0,101,441
59015,"Kootenay--Columbia/Kootenay--Columbia"," 160","Cranbrook",5,10,49,3,34,0,101,438
59015,"Kootenay--Columbia/Kootenay--Columbia"," 161A","Cranbrook",19,12,43,5,37,0,116,409
59015,"Kootenay--Columbia/Kootenay--Columbia"," 161B","Mobile poll/Bureau itinérant",2,11,28,0,11,3,55,88
59015,"Kootenay--Columbia/Kootenay--Columbia"," 162","Cranbrook",4,14,42,1,42,1,104,376
59015,"Kootenay--Columbia/Kootenay--Columbia"," 163","Cranbrook",9,11,62,3,39,0,124,369
59015,"Kootenay--Columbia/Kootenay--Columbia"," 164","Cranbrook",11,19,41,5,40,0,116,428
59015,"Kootenay--Columbia/Kootenay--Columbia"," 165","Creston",21,20,121,2,56,0,220,480
59015,"Kootenay--Columbia/Kootenay--Columbia"," 166","Cranbrook",15,11,60,9,49,0,144,418
59015,"Kootenay--Columbia/Kootenay--Columbia"," 167","Cranbrook",4,11,45,6,60,0,126,396
59015,"Kootenay--Columbia/Kootenay--Columbia"," 168","Cranbrook",10,11,65,3,48,0,137,442
59015,"Kootenay--Columbia/Kootenay--Columbia"," 169","Cranbrook",7,12,87,1,25,0,132,407
59015,"Kootenay--Columbia/Kootenay--Columbia"," 170","Cranbrook",9,11,77,1,34,0,132,406
59015,"Kootenay--Columbia/Kootenay--Columbia"," 171","Cranbrook",12,17,79,3,56,1,168,474
59015,"Kootenay--Columbia/Kootenay--Columbia"," 172","Cranbrook",10,16,99,2,69,0,196,484
59015,"Kootenay--Columbia/Kootenay--Columbia"," 173","Cranbrook",8,10,98,1,49,0,166,443
59015,"Kootenay--Columbia/Kootenay--Columbia"," 174","Cranbrook",7,3,39,3,22,2,76,346
59015,"Kootenay--Columbia/Kootenay--Columbia"," 175","Cranbrook",5,20,78,3,35,0,141,477
59015,"Kootenay--Columbia/Kootenay--Columbia"," 176","Cranbrook",9,10,83,2,56,0,160,464
59015,"Kootenay--Columbia/Kootenay--Columbia"," 177","Cranbrook",7,5,68,0,48,0,128,423
59015,"Kootenay--Columbia/Kootenay--Columbia"," 178","Cranbrook",10,17,86,5,55,0,173,537
59015,"Kootenay--Columbia/Kootenay--Columbia"," 179","Cranbrook",5,16,101,0,59,0,181,479
59015,"Kootenay--Columbia/Kootenay--Columbia"," 180","Cranbrook",8,22,110,1,73,0,214,553
59015,"Kootenay--Columbia/Kootenay--Columbia"," 181","Cranbrook",6,13,80,0,57,0,156,413
59015,"Kootenay--Columbia/Kootenay--Columbia"," 182","Cranbrook",9,21,78,2,80,1,191,477
59015,"Kootenay--Columbia/Kootenay--Columbia"," 183","Cranbrook",2,10,101,4,45,0,162,488
59015,"Kootenay--Columbia/Kootenay--Columbia"," 184","Cranbrook",8,16,110,1,55,2,192,528
59015,"Kootenay--Columbia/Kootenay--Columbia"," 185","Cranbrook",10,15,110,2,52,0,189,497
59015,"Kootenay--Columbia/Kootenay--Columbia"," 186","Cranbrook",13,18,129,9,52,0,221,353
59015,"Kootenay--Columbia/Kootenay--Columbia"," 187","Cranbrook",Merged with No./Fusionné avec le n°186,,,,,,,285
59015,"Kootenay--Columbia/Kootenay--Columbia"," 188","Cranbrook",8,5,108,3,34,0,158,403
59015,"Kootenay--Columbia/Kootenay--Columbia"," 189","Arrow Creek",14,6,88,2,21,0,131,484
59015,"Kootenay--Columbia/Kootenay--Columbia"," 190","Creston",13,14,69,7,35,0,138,536
59015,"Kootenay--Columbia/Kootenay--Columbia"," 191","Creston",8,14,71,5,38,2,138,513
59015,"Kootenay--Columbia/Kootenay--Columbia"," 192","Erickson",7,15,64,7,44,1,138,478
59015,"Kootenay--Columbia/Kootenay--Columbia"," 193","Creston",12,13,79,6,38,1,149,506
59015,"Kootenay--Columbia/Kootenay--Columbia"," 194","Creston",9,12,57,10,39,0,127,503
59015,"Kootenay--Columbia/Kootenay--Columbia"," 195","Creston",10,10,57,4,52,0,133,488
59015,"Kootenay--Columbia/Kootenay--Columbia"," 196","Creston",14,17,49,7,39,0,126,520
59015,"Kootenay--Columbia/Kootenay--Columbia"," 197","Creston",13,14,57,8,44,0,136,565
59015,"Kootenay--Columbia/Kootenay--Columbia"," 198","Creston",16,11,63,3,41,0,134,496
59015,"Kootenay--Columbia/Kootenay--Columbia"," 199","Erickson",10,11,76,2,50,0,149,474
59015,"Kootenay--Columbia/Kootenay--Columbia"," 200","Creston",12,11,56,2,37,0,118,505
59015,"Kootenay--Columbia/Kootenay--Columbia"," 201","Erickson",19,8,58,6,34,0,125,430
59015,"Kootenay--Columbia/Kootenay--Columbia"," 202","Wynndel",16,13,69,5,41,2,146,290
59015,"Kootenay--Columbia/Kootenay--Columbia"," 203","Wynndel",26,14,114,8,54,1,217,464
59015,"Kootenay--Columbia/Kootenay--Columbia"," 204","Alice Siding",17,12,98,2,32,0,161,507
59015,"Kootenay--Columbia/Kootenay--Columbia"," 205","Wardner",15,7,128,4,44,0,198,405
59015,"Kootenay--Columbia/Kootenay--Columbia"," 206","Fernie",7,28,81,8,78,1,203,540
59015,"Kootenay--Columbia/Kootenay--Columbia"," 207","Fernie",11,14,71,4,69,0,169,412
59015,"Kootenay--Columbia/Kootenay--Columbia"," 208","Fernie",12,28,47,9,90,0,186,443
59015,"Kootenay--Columbia/Kootenay--Columbia"," 209","Fernie",2,13,65,2,67,1,150,422
59015,"Kootenay--Columbia/Kootenay--Columbia"," 210","Fernie",6,8,39,4,73,0,130,394
59015,"Kootenay--Columbia/Kootenay--Columbia"," 211","Fernie",8,15,63,7,74,0,167,439
59015,"Kootenay--Columbia/Kootenay--Columbia"," 212","Fernie",11,16,63,12,74,1,177,425
59015,"Kootenay--Columbia/Kootenay--Columbia"," 213","Fernie",8,32,116,16,145,0,317,397
59015,"Kootenay--Columbia/Kootenay--Columbia"," 214","Fernie",Merged with No./Fusionné avec le n°213,,,,,,,412
59015,"Kootenay--Columbia/Kootenay--Columbia"," 215","Hosmer",10,14,85,5,44,0,158,425
59015,"Kootenay--Columbia/Kootenay--Columbia"," 216","Fernie--Cokato",11,11,90,5,81,0,198,532
59015,"Kootenay--Columbia/Kootenay--Columbia"," 217","Fernie",13,16,58,11,74,0,172,431
59015,"Kootenay--Columbia/Kootenay--Columbia"," 218","Fernie--Cokato",9,19,82,6,67,0,183,469
59015,"Kootenay--Columbia/Kootenay--Columbia"," 219","Moyie",17,23,134,3,37,0,214,382
59015,"Kootenay--Columbia/Kootenay--Columbia"," 220","Galloway",2,12,94,1,13,1,123,398
59015,"Kootenay--Columbia/Kootenay--Columbia"," 221","Jaffray",11,6,87,3,25,0,132,403
59015,"Kootenay--Columbia/Kootenay--Columbia"," 222","Creston",10,4,62,4,17,0,97,307
59015,"Kootenay--Columbia/Kootenay--Columbia"," 223","Huscroft",15,13,40,4,26,0,98,327
59015,"Kootenay--Columbia/Kootenay--Columbia"," 224","Canyon",34,8,116,6,42,0,206,554
59015,"Kootenay--Columbia/Kootenay--Columbia"," 225","Lister",35,6,82,8,31,1,163,600
59015,"Kootenay--Columbia/Kootenay--Columbia"," 226","Yahk",23,19,134,4,49,0,229,416
59015,"Kootenay--Columbia/Kootenay--Columbia"," 227","Elko",9,12,73,6,31,0,131,298
