Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gene Balfour,Alison Davidson,Judi Forbes,Angel Godsoe,Zac Miller,Jamie Schmale,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 124","Kawartha Lakes",1,23,24,3,40,67,0,158,400
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 125","Kawartha Lakes",0,10,29,3,29,77,0,148,354
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 126","Kawartha Lakes",0,14,45,0,31,68,2,160,400
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 127","Kawartha Lakes",0,19,16,3,25,31,0,94,369
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 128","Kawartha Lakes",1,17,18,1,28,63,0,128,385
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 129","Kawartha Lakes",0,8,51,4,28,95,0,186,443
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 130","Kawartha Lakes",0,15,39,6,43,83,1,187,468
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 131","Kawartha Lakes",2,14,29,6,23,50,2,126,408
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 132","Kawartha Lakes",1,10,25,15,41,67,2,161,464
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 133","Kawartha Lakes",1,11,22,4,41,54,0,133,470
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 134","Kawartha Lakes",1,13,54,5,32,90,2,197,516
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 135","Kawartha Lakes",0,14,46,3,27,76,1,167,469
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 136","Kawartha Lakes",2,4,39,3,16,68,0,132,428
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 137","Kawartha Lakes",0,10,43,4,36,51,0,144,410
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 138","Kawartha Lakes",2,7,62,9,29,60,0,169,340
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 139","Kawartha Lakes",1,16,22,1,43,40,0,123,467
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 140","Kawartha Lakes",1,18,39,4,30,67,1,160,479
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 141","Kawartha Lakes",0,17,28,4,16,45,0,110,405
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 142","Kawartha Lakes",0,9,17,2,36,57,0,121,412
