Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jordan Ames-Sinclair,Valerie Brooks,Denise Loucks,Braden Robertson,Halsten David Rust,Cathay Wagantall,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47014,"Yorkton--Melville/Yorkton--Melville"," 161","Churchbridge",10,7,3,17,41,125,0,203,359
47014,"Yorkton--Melville/Yorkton--Melville"," 162","Waldron",8,0,3,7,11,44,0,73,189
47014,"Yorkton--Melville/Yorkton--Melville"," 163","Bangor--Atwater",2,0,0,14,4,53,0,73,255
47014,"Yorkton--Melville/Yorkton--Melville"," 164","Killaly",5,2,1,6,4,70,2,90,181
47014,"Yorkton--Melville/Yorkton--Melville"," 165","Neudorf",13,1,11,14,18,117,2,176,302
47014,"Yorkton--Melville/Yorkton--Melville"," 166","Grayson",9,2,2,8,10,172,1,204,371
47014,"Yorkton--Melville/Yorkton--Melville"," 167","Langenburg",10,3,4,16,8,118,0,159,328
47014,"Yorkton--Melville/Yorkton--Melville"," 168","Langenburg",2,0,3,1,9,50,1,66,240
47014,"Yorkton--Melville/Yorkton--Melville"," 169","Langenburg East",12,2,3,11,15,121,2,166,378
47014,"Yorkton--Melville/Yorkton--Melville"," 170","Langenburg",2,3,5,12,21,126,0,169,322
47014,"Yorkton--Melville/Yorkton--Melville"," 171","Lemberg",5,2,5,16,15,148,0,191,330
47014,"Yorkton--Melville/Yorkton--Melville"," 172","Dubuc",6,1,0,10,13,60,0,90,133
47014,"Yorkton--Melville/Yorkton--Melville"," 173","Yarbo",Merged with No./Fusionné avec le n°174,,,,,,,,161
47014,"Yorkton--Melville/Yorkton--Melville"," 174","Esterhazy",10,3,2,26,21,133,0,195,291
47014,"Yorkton--Melville/Yorkton--Melville"," 175","Esterhazy",1,1,0,15,7,85,0,109,231
47014,"Yorkton--Melville/Yorkton--Melville"," 176","Esterhazy",10,1,0,17,27,125,2,182,280
47014,"Yorkton--Melville/Yorkton--Melville"," 177","Esterhazy",5,3,0,17,23,105,1,154,443
47014,"Yorkton--Melville/Yorkton--Melville"," 178","Esterhazy",8,3,2,11,21,67,0,112,253
47014,"Yorkton--Melville/Yorkton--Melville"," 179","Esterhazy",Merged with No./Fusionné avec le n°176,,,,,,,,189
47014,"Yorkton--Melville/Yorkton--Melville"," 180","Esterhazy",3,1,0,15,8,85,0,112,324
47014,"Yorkton--Melville/Yorkton--Melville"," 181","Stockholm",8,1,8,24,16,116,1,174,286
47014,"Yorkton--Melville/Yorkton--Melville"," 182","Stockholm",8,2,3,15,16,108,0,152,293
47014,"Yorkton--Melville/Yorkton--Melville"," 183","Tantallon",4,1,2,16,10,130,0,163,316
47014,"Yorkton--Melville/Yorkton--Melville"," 184","Spy Hill",8,1,2,17,10,151,1,190,276
47014,"Yorkton--Melville/Yorkton--Melville"," 500","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
47014,"Yorkton--Melville/Yorkton--Melville"," 501","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
47014,"Yorkton--Melville/Yorkton--Melville"," 502","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
