Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Thierry Bilodeau,Daniel Chicoine,Guillaume Côté,Gérard Deltell,Mélanie Fortin,Yu-Ti Eva Huang,Nathanielle Morin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 52","Québec",59,5,5,124,2,24,57,5,281,541
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 53","Québec",36,3,2,110,1,15,32,2,201,343
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 54","Québec",59,4,5,71,1,19,53,4,216,423
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 55","Québec",41,4,5,68,4,7,29,4,162,500
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 56","Village-des-Hurons",15,5,7,54,2,8,26,5,122,456
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 57","Québec",20,2,2,40,3,6,27,12,112,348
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 58","Québec",22,5,7,53,3,15,16,4,125,348
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 59","Québec",27,2,1,74,2,7,22,1,136,398
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 60","Québec",21,3,3,48,1,13,19,2,110,367
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 61","Québec",15,7,8,66,3,9,23,1,132,470
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 62","Québec",34,4,8,105,6,14,34,4,209,468
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 63","Québec",35,1,4,112,0,15,43,1,211,484
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 64","Québec",27,5,5,105,6,13,29,4,194,437
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 65","Québec",25,2,11,101,1,12,18,4,174,383
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 66","Québec",30,5,7,112,0,17,25,5,201,715
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 67","Québec",22,3,6,67,0,3,14,4,119,506
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 68","Québec",21,2,1,72,1,9,19,2,127,285
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 69","Québec",33,4,1,158,5,14,45,3,263,541
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 70","Québec",32,4,2,57,4,10,26,3,138,366
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 71","Québec",38,0,3,105,2,10,31,3,192,417
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 72","Québec",45,0,4,86,4,22,62,3,226,521
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 73","Québec",23,2,1,75,4,13,16,1,135,385
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 74","Québec",35,4,3,95,2,5,20,5,169,434
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 75","Québec",45,3,0,82,4,11,43,7,195,466
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 76","Québec",39,5,5,101,3,26,24,10,213,468
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 77","Québec",41,6,1,93,1,16,21,3,182,423
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 78","Québec",25,7,5,91,6,15,23,2,174,459
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 79","Québec",38,5,8,93,5,17,30,2,198,496
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 80","Québec",25,6,4,45,3,15,36,4,138,399
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 81","Québec",50,3,7,57,0,18,44,3,182,400
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 82","Québec",35,4,7,64,4,14,31,0,159,460
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 83","Québec",46,4,3,67,4,8,42,3,177,428
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 84","Québec",32,5,2,58,5,13,31,3,149,421
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 85","Québec",30,3,3,64,2,9,39,1,151,341
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 86","Québec",62,5,3,109,3,17,49,0,248,761
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 87","Québec",20,2,0,32,2,10,22,2,90,317
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 88","Québec",45,3,8,65,4,21,45,1,192,539
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 89","Québec",47,3,3,115,3,10,50,2,233,814
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 90","Québec",38,5,5,93,4,12,42,5,204,475
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 91","Québec",28,0,0,65,1,6,26,0,126,439
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 92","Québec",28,4,4,37,7,16,33,4,133,437
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 93","Québec",88,7,5,114,5,20,75,4,318,935
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 94","Québec",22,3,4,44,2,10,18,1,104,328
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 95","Québec",20,2,3,81,0,20,18,2,146,364
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 96","Québec",24,1,1,54,1,4,17,5,107,337
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 97","Québec",29,6,3,69,2,12,29,4,154,487
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 98","Québec",12,5,7,39,7,16,14,4,104,482
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 99","Québec",31,6,4,66,4,13,22,4,150,373
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 100","Québec",28,2,3,56,1,6,22,5,123,397
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 101","Québec",36,6,7,100,2,13,46,4,214,522
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 102","Québec",19,3,2,85,3,11,32,5,160,381
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 103","Québec",38,2,6,108,6,15,28,5,208,504
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 104","Québec",27,4,2,92,3,7,49,1,185,455
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 105","Québec",31,1,3,82,0,12,37,4,170,456
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 106","Québec",21,3,5,77,5,9,36,1,157,448
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 107","Québec",25,4,0,99,1,9,40,3,181,391
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 108","Québec",49,3,2,83,2,9,40,4,192,421
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 109","Québec",31,1,2,74,2,11,24,4,149,383
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 110","Québec",34,2,3,44,3,11,27,0,124,311
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 111","Québec",42,9,1,75,4,10,37,8,186,465
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 112","Québec",36,5,2,109,2,11,30,0,195,443
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 113","Québec",37,3,4,91,2,8,18,2,165,327
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 114","Québec",35,4,1,74,1,13,34,4,166,339
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 115","Québec",38,6,5,74,3,8,20,7,161,437
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 116","Québec",46,3,4,99,4,20,27,5,208,452
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 117","Québec",29,2,5,74,6,17,41,3,177,377
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 118","Québec",26,6,8,97,7,13,42,4,203,450
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 119","Québec",31,1,2,50,2,11,28,4,129,385
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 120A","Québec",24,2,2,75,4,12,32,2,153,455
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 120B","Québec",26,2,1,62,3,4,39,1,138,419
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 121","Québec",31,4,0,89,2,8,31,1,166,410
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 122","Québec",20,0,4,80,5,11,23,1,144,317
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 123","Québec",43,3,5,47,5,22,37,2,164,409
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 124","Québec",26,2,2,73,8,14,47,1,173,421
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 125","Québec",14,3,3,31,4,13,26,3,97,268
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 126","Québec",35,4,5,127,2,20,29,0,222,558
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 127","Québec",37,2,4,88,3,4,23,0,161,376
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 128","Québec",38,2,4,83,2,13,29,0,171,495
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 129","Québec",18,1,9,86,1,11,18,1,145,417
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 130","Québec",22,2,7,59,3,6,18,3,120,356
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 131","Québec",38,3,3,72,2,12,24,0,154,444
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 132","Québec",35,2,5,89,0,14,13,0,158,392
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 133","Québec",26,2,4,74,2,17,30,6,161,402
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 134","Québec",14,2,3,73,3,8,14,5,122,399
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 135","Québec",24,0,1,91,1,3,11,4,135,301
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 136","Québec",41,4,7,87,1,6,28,2,176,450
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 137","Québec",27,1,5,103,3,13,21,5,178,379
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 138","Québec",26,1,2,71,1,9,18,5,133,314
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 139","Québec",28,0,1,55,2,6,13,2,107,316
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 140","Québec",19,0,5,73,1,5,14,2,119,424
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 141","Québec",18,1,4,33,2,3,14,1,76,305
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 142","Québec",30,2,3,42,3,19,20,4,123,436
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 143","Québec",27,3,4,19,2,12,14,2,83,295
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 144","Québec",23,2,0,42,1,2,18,1,89,334
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 145","Québec",32,7,10,138,4,19,30,2,242,604
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 146","Québec",47,1,7,135,2,6,36,7,241,551
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 147","Québec",42,8,5,113,1,20,45,4,238,738
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 148","Québec",19,1,4,103,0,16,15,7,165,452
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 149","Québec",25,2,3,110,3,14,21,1,179,435
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 150","Québec",31,2,3,134,2,8,27,2,209,441
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 151","Québec",29,2,4,69,4,7,24,5,144,402
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 152","Québec",24,1,0,75,0,10,18,1,129,335
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 153","Québec",20,0,7,60,1,5,15,0,108,313
