Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sarah Gabrielle Baron,Chris Cameron,Patricia Conlin,Jonathan Giancroce,Erin O'Toole,Kurdil-Telt Patch,Adam Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35023,"Durham/Durham"," 153","Oshawa",0,73,17,45,89,0,0,1,225,424
35023,"Durham/Durham"," 154","Oshawa",Merged with No./Fusionné avec le n°153,,,,,,,,,391
35023,"Durham/Durham"," 155","Clarington",Merged with No./Fusionné avec le n°157,,,,,,,,,246
35023,"Durham/Durham"," 156","Clarington",Merged with No./Fusionné avec le n°158,,,,,,,,,206
35023,"Durham/Durham"," 157","Clarington",2,49,20,78,71,0,0,2,222,422
35023,"Durham/Durham"," 158","Clarington",0,38,4,38,85,0,1,0,166,340
35023,"Durham/Durham"," 159","Oshawa",0,62,16,137,94,0,0,3,312,1172
35023,"Durham/Durham"," 160","Oshawa",1,64,9,241,81,2,0,1,399,1242
35023,"Durham/Durham"," 161","Oshawa",Merged with No./Fusionné avec le n°122,,,,,,,,,513
35023,"Durham/Durham"," 162","Clarington",Merged with No./Fusionné avec le n°163,,,,,,,,,268
35023,"Durham/Durham"," 163","Clarington",4,48,16,95,138,0,0,0,301,541
35023,"Durham/Durham"," 164","Clarington",Merged with No./Fusionné avec le n°166,,,,,,,,,387
35023,"Durham/Durham"," 165","Clarington",1,69,27,70,130,0,2,1,300,560
35023,"Durham/Durham"," 166","Clarington",0,72,8,118,123,0,1,1,323,402
35023,"Durham/Durham"," 167","Clarington",Merged with No./Fusionné avec le n°165,,,,,,,,,258
35023,"Durham/Durham"," 168","Clarington",Merged with No./Fusionné avec le n°169,,,,,,,,,293
35023,"Durham/Durham"," 169","Clarington",0,72,11,64,116,1,1,0,265,318
35023,"Durham/Durham"," 170","Clarington",1,36,18,45,118,0,0,0,218,326
35023,"Durham/Durham"," 171","Clarington",0,32,8,35,53,0,0,0,128,394
35023,"Durham/Durham"," 172","Clarington",Merged with No./Fusionné avec le n°170,,,,,,,,,277
35023,"Durham/Durham"," 173","Clarington",1,58,10,49,119,0,2,1,240,409
35023,"Durham/Durham"," 174","Clarington",Merged with No./Fusionné avec le n°173,,,,,,,,,299
35023,"Durham/Durham"," 175","Clarington",0,28,6,47,73,0,1,0,155,442
35023,"Durham/Durham"," 176","Oshawa",1,69,1,73,66,0,0,2,212,580
35023,"Durham/Durham"," 177","Oshawa",0,91,17,107,88,1,0,0,304,746
35023,"Durham/Durham"," 178","Oshawa",0,57,8,54,67,0,0,1,187,452
35023,"Durham/Durham"," 179","Oshawa",Merged with No./Fusionné avec le n°180,,,,,,,,,394
35023,"Durham/Durham"," 180","Oshawa",0,47,16,97,151,0,1,2,314,382
35023,"Durham/Durham"," 181","Clarington",0,31,1,56,80,1,0,0,169,295
35023,"Durham/Durham"," 182","Clarington",0,23,6,90,114,0,0,1,234,414
35023,"Durham/Durham"," 183","Clarington",0,12,3,48,46,0,1,0,110,248
35023,"Durham/Durham"," 184","Clarington",0,23,6,71,82,0,1,0,183,337
35023,"Durham/Durham"," 185","Clarington",0,10,2,70,94,0,0,2,178,369
35023,"Durham/Durham"," 186","Clarington",Merged with No./Fusionné avec le n°187,,,,,,,,,312
35023,"Durham/Durham"," 187","Clarington",0,56,19,42,104,0,0,1,222,346
35023,"Durham/Durham"," 188","Clarington",3,62,15,52,114,1,0,2,249,386
35023,"Durham/Durham"," 189","Clarington",Merged with No./Fusionné avec le n°188,,,,,,,,,295
35023,"Durham/Durham"," 190","Clarington",0,83,17,65,145,0,0,1,311,448
35023,"Durham/Durham"," 191","Clarington",Merged with No./Fusionné avec le n°190,,,,,,,,,315
35023,"Durham/Durham"," 192","Oshawa",Merged with No./Fusionné avec le n°193,,,,,,,,,375
35023,"Durham/Durham"," 193","Oshawa",3,81,21,64,85,0,1,2,257,572
35023,"Durham/Durham"," 194","Oshawa",0,58,13,50,79,0,1,1,202,536
35023,"Durham/Durham"," 195","Clarington",0,41,15,97,107,0,2,0,262,484
35023,"Durham/Durham"," 196","Clarington",Merged with No./Fusionné avec le n°195,,,,,,,,,260
35023,"Durham/Durham"," 197","Clarington",Merged with No./Fusionné avec le n°198,,,,,,,,,425
35023,"Durham/Durham"," 198","Clarington",0,72,16,78,104,1,1,0,272,437
35023,"Durham/Durham"," 199","Clarington",Merged with No./Fusionné avec le n°200,,,,,,,,,278
35023,"Durham/Durham"," 200","Clarington",0,44,8,52,50,0,0,0,154,333
35023,"Durham/Durham"," 201","Clarington",Merged with No./Fusionné avec le n°202,,,,,,,,,380
35023,"Durham/Durham"," 202","Clarington",1,75,19,72,108,0,1,0,276,406
35023,"Durham/Durham"," 203","Clarington",0,56,19,84,117,0,0,0,276,452
35023,"Durham/Durham"," 204","Clarington",Merged with No./Fusionné avec le n°203,,,,,,,,,373
35023,"Durham/Durham"," 205","Clarington",0,36,8,54,95,0,1,2,196,429
35023,"Durham/Durham"," 206","Clarington",Merged with No./Fusionné avec le n°205,,,,,,,,,375
35023,"Durham/Durham"," 207","Clarington",Merged with No./Fusionné avec le n°229,,,,,,,,,291
35023,"Durham/Durham"," 208","Clarington",2,38,19,61,112,0,0,0,232,636
35023,"Durham/Durham"," 209","Clarington",Merged with No./Fusionné avec le n°210,,,,,,,,,316
35023,"Durham/Durham"," 210","Clarington",0,57,18,64,104,0,1,0,244,348
35023,"Durham/Durham"," 211","Clarington",0,32,7,43,78,0,0,0,160,435
35023,"Durham/Durham"," 212","Clarington",0,76,13,82,105,0,0,3,279,469
35023,"Durham/Durham"," 213","Clarington",1,57,17,70,103,0,0,1,249,723
35023,"Durham/Durham"," 214","Clarington",Merged with No./Fusionné avec le n°212,,,,,,,,,433
35023,"Durham/Durham"," 215","Clarington",Merged with No./Fusionné avec le n°216,,,,,,,,,433
35023,"Durham/Durham"," 216","Clarington",1,67,16,116,151,1,0,4,356,455
35023,"Durham/Durham"," 217","Clarington",1,51,9,75,149,0,0,3,288,765
35023,"Durham/Durham"," 218","Clarington",0,73,9,55,96,0,1,0,234,344
35023,"Durham/Durham"," 219","Clarington",Merged with No./Fusionné avec le n°218,,,,,,,,,238
35023,"Durham/Durham"," 220","Clarington",0,24,8,31,53,0,0,0,116,337
35023,"Durham/Durham"," 221","Clarington",Merged with No./Fusionné avec le n°222,,,,,,,,,337
35023,"Durham/Durham"," 222","Clarington",1,71,17,86,115,0,0,0,290,378
35023,"Durham/Durham"," 223","Clarington",1,60,18,75,102,0,3,0,259,431
35023,"Durham/Durham"," 224","Clarington",2,51,11,108,77,0,0,2,251,674
35023,"Durham/Durham"," 225","Clarington",Merged with No./Fusionné avec le n°223,,,,,,,,,346
35023,"Durham/Durham"," 226","Clarington",Merged with No./Fusionné avec le n°227,,,,,,,,,396
35023,"Durham/Durham"," 227","Clarington",0,95,22,81,171,0,2,0,371,451
35023,"Durham/Durham"," 228","Clarington",1,32,18,36,103,1,0,0,191,362
35023,"Durham/Durham"," 229","Clarington",2,40,8,65,93,0,0,0,208,390
35023,"Durham/Durham"," 230","Clarington",Merged with No./Fusionné avec le n°228,,,,,,,,,283
35023,"Durham/Durham"," 231","Clarington",Merged with No./Fusionné avec le n°233,,,,,,,,,264
35023,"Durham/Durham"," 232","Clarington",Merged with No./Fusionné avec le n°233,,,,,,,,,283
35023,"Durham/Durham"," 233","Clarington",2,55,18,78,112,0,3,0,268,377
35023,"Durham/Durham"," 234","Clarington",Merged with No./Fusionné avec le n°235,,,,,,,,,268
35023,"Durham/Durham"," 235","Clarington",0,51,12,54,87,0,0,5,209,383
35023,"Durham/Durham"," 236","Clarington",1,60,15,74,107,0,0,1,258,361
35023,"Durham/Durham"," 237","Clarington",Merged with No./Fusionné avec le n°236,,,,,,,,,360
