Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Barbara Biley,Robert Eppich,Susan Farlinger,Gord Johns,Susanne Lawson,Mary Lee,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59009,"Courtenay--Alberni/Courtenay--Alberni"," 111","Port Alberni",0,12,20,67,5,37,2,143,515
59009,"Courtenay--Alberni/Courtenay--Alberni"," 112","Port Alberni",0,8,17,76,10,24,0,135,455
59009,"Courtenay--Alberni/Courtenay--Alberni"," 113","Port Alberni",0,0,21,58,4,36,1,120,480
59009,"Courtenay--Alberni/Courtenay--Alberni"," 114","Port Alberni",0,13,22,66,6,25,0,132,579
59009,"Courtenay--Alberni/Courtenay--Alberni"," 115","False Bay",4,9,4,161,40,13,2,233,360
59009,"Courtenay--Alberni/Courtenay--Alberni"," 116","Dashwood",0,9,28,45,9,52,1,144,466
59009,"Courtenay--Alberni/Courtenay--Alberni"," 117","Qualicum Beach",0,10,23,62,8,42,0,145,447
59009,"Courtenay--Alberni/Courtenay--Alberni"," 118","Dashwood--Qualicum Beach",0,19,21,72,8,51,0,171,463
59009,"Courtenay--Alberni/Courtenay--Alberni"," 119","Qualicum Beach",0,5,24,70,6,68,0,173,530
59009,"Courtenay--Alberni/Courtenay--Alberni"," 120","Qualicum Beach",0,3,16,59,1,40,0,119,390
59009,"Courtenay--Alberni/Courtenay--Alberni"," 121","Qualicum Beach",0,7,27,42,4,41,0,121,496
59009,"Courtenay--Alberni/Courtenay--Alberni"," 122","Qualicum Beach",0,6,14,38,10,30,0,98,381
59009,"Courtenay--Alberni/Courtenay--Alberni"," 123","Qualicum Beach",0,4,15,44,6,32,0,101,335
59009,"Courtenay--Alberni/Courtenay--Alberni"," 124","Qualicum Beach",0,0,28,44,2,35,0,109,288
59009,"Courtenay--Alberni/Courtenay--Alberni"," 125","Nanaimo G",0,13,20,55,10,40,1,139,467
59009,"Courtenay--Alberni/Courtenay--Alberni"," 126","Qualicum Beach",0,3,25,67,7,34,0,136,446
59009,"Courtenay--Alberni/Courtenay--Alberni"," 127","Qualicum Beach",1,6,21,76,3,32,0,139,367
59009,"Courtenay--Alberni/Courtenay--Alberni"," 128","Whisky Creek",0,9,12,62,11,39,0,133,382
59009,"Courtenay--Alberni/Courtenay--Alberni"," 129","Qualicum Beach",0,10,24,46,7,25,0,112,524
59009,"Courtenay--Alberni/Courtenay--Alberni"," 130","Qualicum Beach",0,3,21,82,7,38,0,151,407
59009,"Courtenay--Alberni/Courtenay--Alberni"," 131","Qualicum Beach",1,7,33,77,6,65,0,189,589
59009,"Courtenay--Alberni/Courtenay--Alberni"," 132","Qualicum Beach",0,4,18,73,9,34,0,138,478
59009,"Courtenay--Alberni/Courtenay--Alberni"," 133","Port Alberni",0,4,16,55,3,27,1,106,411
59009,"Courtenay--Alberni/Courtenay--Alberni"," 134","Port Alberni",1,5,20,61,4,48,0,139,483
59009,"Courtenay--Alberni/Courtenay--Alberni"," 135","Port Alberni",0,8,13,56,7,45,0,129,432
59009,"Courtenay--Alberni/Courtenay--Alberni"," 136","Port Alberni",2,10,11,118,13,39,1,194,668
59009,"Courtenay--Alberni/Courtenay--Alberni"," 137","Port Alberni",1,8,18,58,2,25,0,112,431
59009,"Courtenay--Alberni/Courtenay--Alberni"," 138","Port Alberni",0,9,19,70,4,33,0,135,438
59009,"Courtenay--Alberni/Courtenay--Alberni"," 139","Port Alberni",0,6,13,65,4,46,0,134,533
59009,"Courtenay--Alberni/Courtenay--Alberni"," 140","Port Alberni",1,14,13,75,6,47,0,156,530
59009,"Courtenay--Alberni/Courtenay--Alberni"," 141","Port Alberni",0,15,11,58,6,41,1,132,437
59009,"Courtenay--Alberni/Courtenay--Alberni"," 142","Port Alberni",0,4,13,59,7,43,1,127,421
59009,"Courtenay--Alberni/Courtenay--Alberni"," 143","Port Alberni",0,10,12,72,5,36,2,137,403
59009,"Courtenay--Alberni/Courtenay--Alberni"," 144","Port Alberni",0,5,16,90,5,33,0,149,453
59009,"Courtenay--Alberni/Courtenay--Alberni"," 145","Port Alberni",0,7,11,57,7,17,3,102,517
59009,"Courtenay--Alberni/Courtenay--Alberni"," 146","Port Alberni",0,13,7,47,6,38,0,111,409
59009,"Courtenay--Alberni/Courtenay--Alberni"," 147","Port Alberni",0,8,11,54,6,33,0,112,406
59009,"Courtenay--Alberni/Courtenay--Alberni"," 148","Port Alberni",0,7,14,55,9,34,0,119,485
59009,"Courtenay--Alberni/Courtenay--Alberni"," 149","Port Alberni",0,8,26,100,8,22,0,164,524
59009,"Courtenay--Alberni/Courtenay--Alberni"," 150","Port Alberni",0,2,21,98,9,58,0,188,497
59009,"Courtenay--Alberni/Courtenay--Alberni"," 151","Port Alberni",0,7,15,53,4,31,0,110,387
59009,"Courtenay--Alberni/Courtenay--Alberni"," 152","Qualicum Beach",0,0,12,46,0,47,3,108,340
59009,"Courtenay--Alberni/Courtenay--Alberni"," 153","Qualicum Beach",0,8,33,62,8,69,1,181,480
59009,"Courtenay--Alberni/Courtenay--Alberni"," 154","Qualicum Beach",0,2,40,60,9,31,0,142,391
59009,"Courtenay--Alberni/Courtenay--Alberni"," 155","Qualicum Beach",0,7,29,63,5,72,0,176,404
59009,"Courtenay--Alberni/Courtenay--Alberni"," 156","Qualicum Beach",0,6,20,49,1,55,0,131,406
59009,"Courtenay--Alberni/Courtenay--Alberni"," 157","Qualicum Beach",0,3,16,35,0,51,1,106,351
59009,"Courtenay--Alberni/Courtenay--Alberni"," 158","Qualicum Beach",0,4,21,33,3,40,1,102,312
59009,"Courtenay--Alberni/Courtenay--Alberni"," 159","Qualicum Beach",0,4,17,48,2,48,0,119,385
59009,"Courtenay--Alberni/Courtenay--Alberni"," 160","Qualicum Beach",0,4,16,48,6,45,1,120,328
59009,"Courtenay--Alberni/Courtenay--Alberni"," 161","Qualicum Beach",0,9,34,55,10,58,0,166,424
59009,"Courtenay--Alberni/Courtenay--Alberni"," 162","Qualicum Beach",0,2,18,45,3,30,0,98,306
59009,"Courtenay--Alberni/Courtenay--Alberni"," 163","French Creek",0,5,20,56,8,39,0,128,355
59009,"Courtenay--Alberni/Courtenay--Alberni"," 164","Nanaimo G",0,4,19,30,5,29,0,87,307
59009,"Courtenay--Alberni/Courtenay--Alberni"," 165","Nanaimo G",0,4,25,47,6,45,0,127,317
59009,"Courtenay--Alberni/Courtenay--Alberni"," 166","Nanaimo G",1,8,44,60,6,58,0,177,455
