Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,James Babcock,Mike Bossio,Matilda DeBues,Shelby Kramp-Neuman,Jennifer Sloan,Reg Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 605","Stirling",55,310,65,536,24,14,0,1004,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 606","Tweed",59,454,88,650,24,13,12,1300,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 607","Actinolite",29,223,39,266,11,8,2,578,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 608","Tamworth",30,229,44,280,13,15,2,613,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 609","Stone Mills",61,423,74,384,8,22,4,976,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 610","Greater Napanee",36,275,65,253,10,8,4,651,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 611","Read",27,140,35,163,9,5,1,380,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 612","Belleville",35,581,77,689,8,11,0,1401,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 613","Shannonville",51,259,92,311,10,13,3,739,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 614","Greater Napanee",31,317,51,379,5,16,4,803,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 615","Odessa",62,407,120,483,10,26,6,1114,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 616","Amherstview",34,367,74,305,5,9,4,798,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 617","Amherstview",31,388,133,241,7,11,0,811,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 618","Bancroft",50,257,73,431,25,5,3,844,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 619","Bancroft",49,253,42,413,37,11,4,809,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 620","Madoc",54,254,83,542,23,11,4,971,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 621","Greater Napanee",27,223,46,300,3,6,2,607,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 622","Belleville",81,392,102,750,22,13,1,1361,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 623","Greater Napanee",46,518,85,537,9,14,8,1217,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 624","Amherstview",35,512,143,382,9,13,4,1098,
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington",,Group 1/Groupe 1, 36,200,79,227,6,16,29,593,139
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington",,Group 2/Groupe 2, 82,1649,189,1230,30,41,50,3271,
