Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jeff Benoit,Pierre Bournaki,Marc Gagnon,André Lafrance,Patrick O'Hara,Frédéric Olivier,Brenda Shanahan,Hannah Wolker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 58","Châteauguay",9,26,2,0,38,5,88,24,2,194,436
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 59","Châteauguay",2,17,0,2,29,2,75,16,0,143,381
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 60","Châteauguay",1,12,0,0,25,3,34,11,0,86,317
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 61","Châteauguay",8,8,1,1,32,3,70,18,4,145,451
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 62","Châteauguay",1,6,0,0,54,1,59,22,2,145,382
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 63","Châteauguay",9,17,0,3,52,2,93,12,3,191,582
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 64","Châteauguay",10,16,0,7,46,2,75,32,11,199,525
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 65","Châteauguay",4,7,0,1,18,0,62,7,2,101,312
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 66","Châteauguay",6,27,1,1,36,0,87,21,2,181,541
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 67","Châteauguay",4,16,1,0,28,0,53,11,3,116,379
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 68","Châteauguay",4,16,0,1,31,1,78,14,5,150,412
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 69","Châteauguay",10,14,0,0,48,3,32,10,1,118,330
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 70","Châteauguay",12,18,0,1,46,1,47,13,3,141,375
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 71","Châteauguay",3,14,1,1,44,3,97,18,1,182,432
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 72","Châteauguay",8,24,0,3,39,2,83,12,3,174,415
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 73","Châteauguay",4,22,0,1,40,3,92,27,1,190,426
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 74","Châteauguay",5,12,0,0,34,0,57,24,0,132,337
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 75","Châteauguay",14,29,0,4,64,3,156,29,3,302,549
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 76","Châteauguay",8,26,0,0,52,8,131,22,0,247,533
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 77","Léry",10,13,1,1,60,5,50,5,1,146,363
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 78","Léry",5,13,0,1,39,3,42,14,2,119,303
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 79","Léry",6,17,1,1,77,2,57,16,1,178,474
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 80","Léry",12,15,2,0,100,3,46,20,7,205,452
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 81","Léry",5,12,0,3,66,1,30,12,3,132,335
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 82","Saint-Jacques-le-Mineur",8,27,0,1,112,6,49,13,9,225,550
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 83","Saint-Jacques-le-Mineur",9,15,2,4,53,5,34,15,3,140,313
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 84","Saint-Jacques-le-Mineur",2,17,1,3,77,5,45,17,3,170,388
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 85","Saint-Jacques-le-Mineur",5,25,1,1,36,0,19,7,3,97,252
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 86","Mercier",1,7,0,0,51,2,57,14,6,138,313
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 87","Mercier",10,11,1,1,67,5,54,19,1,169,484
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 88","Mercier",6,23,1,2,89,4,105,33,4,267,773
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 89","Mercier",5,9,0,3,46,1,42,5,1,112,388
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 90","Mercier",5,22,1,1,111,6,76,11,2,235,567
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 91","Mercier",2,16,0,1,48,2,29,8,2,108,317
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 92","Mercier",3,11,1,1,54,2,38,8,2,120,374
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 93","Mercier",6,19,0,0,64,2,43,15,4,153,439
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 94","Mercier",9,29,3,2,129,7,125,44,4,352,1024
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 95","Mercier",5,15,0,0,77,1,48,11,2,159,422
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 96","Mercier",7,10,0,1,47,1,40,9,3,118,380
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 97","Mercier",15,11,1,1,67,6,35,10,3,149,395
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 98","Mercier",6,6,1,1,65,4,29,6,2,120,414
