Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chey Craik,Isaiah Hunter,Talon Regent,Fraser Tolmie,David Craig Townsend,Katelyn Zimmer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 53","Duval",11,2,13,147,2,6,1,182,241
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 54","Tugaske",12,1,12,83,0,6,0,114,170
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 55A","Craik",15,0,17,82,1,6,0,121,351
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 55B","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,15
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 56","Craik No. 222",15,0,10,84,3,0,0,112,249
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 57A","Strasbourg",8,0,16,103,0,9,0,136,316
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 57B","Mobile poll/Bureau itinérant",Results combined with no. 57A/Résultats combinés au n° 57A,,,,,,,,39
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 58","Strasbourg",13,5,37,175,2,16,1,249,526
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 59","Holdfast",25,1,9,101,1,5,0,142,239
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 60","Bulyea",14,0,23,64,3,6,0,110,351
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 61","Chamberlain",17,2,4,65,0,0,0,88,152
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 62","Earl Grey",26,3,40,197,1,22,0,289,453
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 63","Dilke",19,0,13,113,4,11,0,160,250
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 64","Eyebrow",42,0,10,119,6,8,0,185,397
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 65","Saskatchewan Beach",7,5,45,131,4,20,0,212,361
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 66","Silton",12,6,37,196,3,12,0,266,464
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 67","Marquis",16,1,12,73,0,4,0,106,192
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 68","Regina Beach",19,2,38,102,1,16,0,178,311
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 69","Regina Beach",6,2,24,78,1,12,0,123,236
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 70","Regina Beach",17,0,36,122,2,13,0,190,340
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 71","Buena Vista",15,2,31,122,0,18,0,188,391
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 72","Buena Vista",3,3,19,138,6,16,0,185,334
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 73","Bethune",12,1,19,100,2,5,0,139,235
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 74","Bethune",8,2,35,166,3,2,0,216,317
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 75","Tuxford",16,2,20,87,3,6,2,136,431
