Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anna-Marie Fosbrooke,Reima Kaikkonen,Ashley Michelle Lawrence,Christopher Neudorf,Alex Ruff,Anne Marie Watson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 210","Landerkin",9,3,5,11,61,26,0,115,257
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 211","Holstein",9,5,7,18,172,59,1,271,505
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 212","Hampden",17,0,9,26,97,37,2,188,480
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 213","Neustadt",28,1,7,25,100,44,2,207,473
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 214","Neustadt",8,2,8,18,71,28,0,135,402
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 215","Ayton",Merged with No./Fusionné avec le n°216,,,,,,,,336
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 216","Nenagh",39,2,8,37,127,44,0,257,521
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 217","Alsfeldt",18,0,3,14,94,38,3,170,431
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 400","Owen Sound",1,0,1,2,43,39,3,89,132
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 401","Hanover",4,2,2,8,51,60,0,127,195
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 500","Mobile poll/Bureau itinérant",1,1,1,0,11,12,1,27,63
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 501","Mobile poll/Bureau itinérant",1,0,0,0,5,5,0,11,96
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 502","Mobile poll/Bureau itinérant",0,0,0,1,8,8,0,17,20
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 503","Mobile poll/Bureau itinérant",3,1,0,2,2,8,0,16,24
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 504","Mobile poll/Bureau itinérant",1,0,2,2,5,2,0,12,17
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 505","Mobile poll/Bureau itinérant",2,1,0,2,9,7,1,22,50
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 506","Mobile poll/Bureau itinérant",0,0,0,5,35,23,2,65,112
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 507","Mobile poll/Bureau itinérant",0,0,1,1,2,4,0,8,22
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 508","Mobile poll/Bureau itinérant",1,2,1,2,25,20,1,52,146
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 509","Mobile poll/Bureau itinérant",1,1,2,3,46,34,5,92,124
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 510","Mobile poll/Bureau itinérant",1,1,2,0,6,5,0,15,59
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 511","Mobile poll/Bureau itinérant",1,0,1,1,9,13,1,26,36
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 512","Mobile poll/Bureau itinérant",0,0,1,1,2,5,0,9,20
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 513","Mobile poll/Bureau itinérant",0,0,1,1,5,1,1,9,17
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 514","Mobile poll/Bureau itinérant",0,2,0,0,4,3,0,9,24
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 515","Mobile poll/Bureau itinérant",1,0,0,4,8,3,0,16,28
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 516","Mobile poll/Bureau itinérant",3,0,4,3,2,11,2,25,27
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 517","Mobile poll/Bureau itinérant",0,0,0,1,4,4,1,10,22
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 518","Mobile poll/Bureau itinérant",2,0,0,2,3,4,3,14,29
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 519","Mobile poll/Bureau itinérant",2,0,3,3,11,8,0,27,55
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 520","Mobile poll/Bureau itinérant",1,0,0,1,16,13,0,31,96
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 521","Mobile poll/Bureau itinérant",1,0,0,2,19,11,0,33,36
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 522","Mobile poll/Bureau itinérant",0,0,0,1,30,31,3,65,108
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 600","Northern Bruce Peninsula",15,3,15,23,125,110,0,291,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 601","Lion's Head",46,1,23,104,489,250,9,922,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 602","South Bruce Peninsula",64,4,21,157,659,296,6,1207,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 603","South Bruce Peninsula",61,1,18,65,402,207,2,756,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 604","Tara",68,12,8,79,692,151,6,1016,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 605","Georgian Bluffs",86,1,22,119,658,226,4,1116,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 606","Owen Sound",96,13,41,194,564,345,14,1267,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 607","Owen Sound",49,1,9,87,247,139,2,534,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 608","Owen Sound",29,3,15,64,233,155,0,499,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 609","Owen Sound",49,1,23,79,335,182,1,670,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 610","Meaford",54,8,34,125,539,332,0,1092,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 611","Meaford",63,6,33,73,448,276,6,905,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 612","Chatsworth",117,6,31,119,722,224,7,1226,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 613","Chesley",91,11,21,82,571,168,3,947,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 614","Hanover",106,14,28,108,553,391,4,1204,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 615","Durham",126,10,20,119,628,249,5,1157,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 616","Lauriston",82,10,32,127,639,310,9,1209,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 617","Osprey",40,3,9,53,359,156,3,623,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 618","Flesherton",70,5,32,92,432,197,3,831,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 619","Dundalk",109,16,32,82,460,215,7,921,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 620","Ayton",78,14,33,78,542,184,2,931,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 621","Hanover",100,15,21,87,462,264,5,954,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 622","Owen Sound",Void/Supprimé,,,,,,,,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 623","Owen Sound",45,4,13,82,256,159,2,561,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound"," 624","Owen Sound",36,2,15,92,192,226,2,565,
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound",,Group 1/Groupe 1, 28,4,19,89,154,123,9,426,124
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound",,Group 2/Groupe 2, 220,22,103,309,1529,945,99,3227,
