Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Claire Card,Dawn Dumont Walker,Jeremy Fisher,North-Marie Hunter,Guto Penteado,Corey Tochor,Carl A Wesolowski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47011,"Saskatoon--University/Saskatoon--University"," 115","Saskatoon",71,21,0,0,2,42,0,1,137,393
47011,"Saskatoon--University/Saskatoon--University"," 116","Saskatoon",101,25,0,2,5,56,3,2,194,340
47011,"Saskatoon--University/Saskatoon--University"," 117","Saskatoon",70,13,1,2,6,38,0,0,130,384
47011,"Saskatoon--University/Saskatoon--University"," 118","Saskatoon",77,16,0,1,6,43,2,1,146,464
47011,"Saskatoon--University/Saskatoon--University"," 119","Saskatoon",53,12,1,1,6,25,0,0,98,370
47011,"Saskatoon--University/Saskatoon--University"," 120","Saskatoon",93,15,2,1,7,42,0,0,160,382
47011,"Saskatoon--University/Saskatoon--University"," 121","Saskatoon",80,26,1,3,7,67,0,2,186,443
47011,"Saskatoon--University/Saskatoon--University"," 122","Saskatoon",115,14,0,2,2,39,0,0,172,391
47011,"Saskatoon--University/Saskatoon--University"," 123","Saskatoon",93,21,0,3,5,20,2,0,144,355
47011,"Saskatoon--University/Saskatoon--University"," 124","Saskatoon",102,9,1,0,8,34,2,0,156,361
47011,"Saskatoon--University/Saskatoon--University"," 125","Saskatoon",131,20,1,2,8,43,0,0,205,444
47011,"Saskatoon--University/Saskatoon--University"," 126","Saskatoon",91,16,1,1,6,38,2,0,155,408
47011,"Saskatoon--University/Saskatoon--University"," 127","Saskatoon",73,4,1,4,6,22,1,0,111,380
47011,"Saskatoon--University/Saskatoon--University"," 128","Saskatoon",99,11,0,3,3,27,1,0,144,370
47011,"Saskatoon--University/Saskatoon--University"," 129","Saskatoon",120,22,0,0,4,36,0,1,183,436
47011,"Saskatoon--University/Saskatoon--University"," 130","Saskatoon",43,14,0,0,3,33,0,0,93,370
47011,"Saskatoon--University/Saskatoon--University"," 131","Saskatoon",96,23,2,0,12,51,3,0,187,498
47011,"Saskatoon--University/Saskatoon--University"," 132","Saskatoon",51,31,1,1,2,44,1,0,131,458
47011,"Saskatoon--University/Saskatoon--University"," 133","Saskatoon",58,13,0,1,7,49,0,0,128,394
47011,"Saskatoon--University/Saskatoon--University"," 134","Saskatoon",58,16,0,0,12,64,0,0,150,449
47011,"Saskatoon--University/Saskatoon--University"," 135","Saskatoon",65,13,1,2,10,46,1,0,138,357
47011,"Saskatoon--University/Saskatoon--University"," 136","Saskatoon",52,13,0,1,5,56,1,0,128,395
