Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leona Alleslev,Janice Hagan,Serge Korovitsyn,Anthony Siskos,Leah Taylor Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 46A","Richmond Hill",94,23,1,12,74,3,207,280
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 46B","Richmond Hill",Merged with No./Fusionné avec le n°47B,,,,,,,217
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 47A","Richmond Hill",Merged with No./Fusionné avec le n°46A,,,,,,,227
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 47B","Richmond Hill",83,22,2,16,87,2,212,234
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 48A","Richmond Hill",Merged with No./Fusionné avec le n°50A,,,,,,,249
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 48B","Richmond Hill",Merged with No./Fusionné avec le n°50B,,,,,,,176
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 49A","Richmond Hill",Merged with No./Fusionné avec le n°50A,,,,,,,228
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 49B","Richmond Hill",Merged with No./Fusionné avec le n°50B,,,,,,,167
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 50A","Richmond Hill",90,21,2,5,107,3,228,285
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 50B","Richmond Hill",69,13,0,7,62,0,151,209
