Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jamie Ruby,Scott Simms,Clifford Small,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 53","Burlington",8,25,146,4,183,388
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 54","Baytona",3,40,67,2,112,227
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 55","Little Bay Islands",Void/Supprimé,,,,,
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 56","King's Point--Nickey's Nose Cove",6,32,29,0,67,119
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 57","Embree",12,16,82,4,114,282
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 58","Embree",9,18,72,5,104,271
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 59","Leading Tickles",9,117,53,15,194,293
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 60","Brighton",9,28,56,0,93,140
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 61","Campbellton",10,53,62,2,127,268
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 62","Campbellton--Loon Bay",13,79,80,2,174,367
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 63","Stanhope",8,20,81,4,113,211
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 64","Lewisporte",9,33,56,3,101,323
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 65","Lewisporte",2,36,45,2,85,310
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 66","Lewisporte",2,37,39,2,80,303
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 67","Lewisporte",14,35,54,0,103,263
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 68","Triton",8,34,120,8,170,335
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 69","Triton",14,44,171,5,234,463
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 70","Little Bay",6,43,79,2,130,282
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 71","Middle Arm",5,21,128,1,155,371
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 72","Pilley's Island",17,49,79,1,146,275
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 73","Lewisporte",11,54,102,1,168,491
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 74","Lewisporte",8,46,47,4,105,331
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 75","Lewisporte",6,46,83,2,137,472
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 76","Lewisporte",7,47,75,5,134,371
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 77","Port Anson",6,18,75,0,99,221
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 78","Brown's Arm--Porterville",9,41,125,7,182,343
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 79","Point of Bay",2,31,43,5,81,169
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 80A","Gander",10,61,50,2,123,404
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 80B","Gander",14,51,48,2,115,401
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 81","Gander",5,64,50,0,119,364
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 82","Gander",11,78,53,4,146,472
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 83","Gander",6,50,30,2,88,292
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 84","Gander",25,106,78,1,210,619
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 85","Gander",16,56,30,3,105,407
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 86","Gander",11,44,41,0,96,368
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 87","Gander",13,46,33,0,92,343
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 88","Gander",12,52,49,2,115,344
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 89","Gander",14,39,30,1,84,351
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 90","Gander",15,42,37,2,96,355
