Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stefanie Bunko,Brian Everaert,Marilyn Gladu,Adam Kilner,Tom Laird,Lois Nantais,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35091,"Sarnia--Lambton/Sarnia--Lambton"," 607","Sarnia",15,173,617,246,5,299,3,1358,
35091,"Sarnia--Lambton/Sarnia--Lambton"," 608","Sarnia",15,175,431,236,7,200,3,1067,
35091,"Sarnia--Lambton/Sarnia--Lambton"," 609","Sarnia",13,83,210,164,6,113,3,592,
35091,"Sarnia--Lambton/Sarnia--Lambton"," 610","Sarnia",13,111,390,235,2,247,12,1010,
35091,"Sarnia--Lambton/Sarnia--Lambton"," 611","Sarnia",13,65,490,95,7,184,4,858,
35091,"Sarnia--Lambton/Sarnia--Lambton"," 612","St. Clair",17,220,943,268,8,255,5,1716,
35091,"Sarnia--Lambton/Sarnia--Lambton"," 613","Petrolia",24,184,1083,217,7,236,4,1755,
35091,"Sarnia--Lambton/Sarnia--Lambton"," 614","St. Clair",5,177,549,70,2,88,3,894,
35091,"Sarnia--Lambton/Sarnia--Lambton",,Group 1/Groupe 1, 5,23,117,113,2,84,19,363,197
35091,"Sarnia--Lambton/Sarnia--Lambton",,Group 2/Groupe 2, 44,241,1423,649,19,664,41,3081,
