Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Adam DeVita,Charity DiPaola,Majid Jowhari,Angelika Keller,Costas Menegakis,Igor Tvorogov,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35087,"Richmond Hill/Richmond Hill"," 84","Richmond Hill",5,1,43,0,41,0,1,91,440
35087,"Richmond Hill/Richmond Hill"," 85","Richmond Hill",6,1,34,0,20,0,0,61,334
35087,"Richmond Hill/Richmond Hill"," 86","Richmond Hill",2,0,44,0,27,0,1,74,350
35087,"Richmond Hill/Richmond Hill"," 87","Richmond Hill",3,2,48,0,25,3,3,84,431
35087,"Richmond Hill/Richmond Hill"," 88","Richmond Hill",13,1,43,0,43,4,0,104,401
35087,"Richmond Hill/Richmond Hill"," 89","Richmond Hill",4,1,47,0,58,0,0,110,483
35087,"Richmond Hill/Richmond Hill"," 90","Richmond Hill",12,2,38,0,23,7,0,82,373
35087,"Richmond Hill/Richmond Hill"," 91","Richmond Hill",11,0,39,0,29,2,0,81,385
35087,"Richmond Hill/Richmond Hill"," 92","Richmond Hill",5,1,41,1,39,2,0,89,386
35087,"Richmond Hill/Richmond Hill"," 93","Richmond Hill",2,0,39,0,19,1,1,62,339
35087,"Richmond Hill/Richmond Hill"," 94","Richmond Hill",6,1,35,0,46,6,0,94,501
35087,"Richmond Hill/Richmond Hill"," 95","Richmond Hill",10,0,36,0,37,0,0,83,420
35087,"Richmond Hill/Richmond Hill"," 96","Richmond Hill",12,1,65,3,64,2,1,148,516
35087,"Richmond Hill/Richmond Hill"," 97","Richmond Hill",13,3,84,2,48,4,0,154,526
35087,"Richmond Hill/Richmond Hill"," 98","Richmond Hill",3,1,50,2,41,1,0,98,474
35087,"Richmond Hill/Richmond Hill"," 99","Richmond Hill",8,1,48,0,34,5,0,96,323
35087,"Richmond Hill/Richmond Hill"," 100","Richmond Hill",6,1,64,1,40,1,2,115,424
35087,"Richmond Hill/Richmond Hill"," 101","Richmond Hill",10,1,49,1,48,1,3,113,412
35087,"Richmond Hill/Richmond Hill"," 102","Richmond Hill",9,0,43,0,60,0,0,112,456
35087,"Richmond Hill/Richmond Hill"," 103","Richmond Hill",7,1,53,0,29,18,0,108,373
35087,"Richmond Hill/Richmond Hill"," 104","Richmond Hill",2,2,21,1,11,3,1,41,298
35087,"Richmond Hill/Richmond Hill"," 105","Richmond Hill",11,2,69,3,58,2,0,145,801
35087,"Richmond Hill/Richmond Hill"," 106","Richmond Hill",5,2,42,0,39,2,0,90,512
35087,"Richmond Hill/Richmond Hill"," 107","Richmond Hill",6,1,27,0,50,4,0,88,348
35087,"Richmond Hill/Richmond Hill"," 108","Richmond Hill",10,0,45,0,64,3,5,127,558
35087,"Richmond Hill/Richmond Hill"," 109","Richmond Hill",6,0,19,2,34,1,0,62,366
35087,"Richmond Hill/Richmond Hill"," 110","Richmond Hill",14,2,55,0,52,1,0,124,523
35087,"Richmond Hill/Richmond Hill"," 111","Richmond Hill",7,3,54,2,49,2,2,119,354
35087,"Richmond Hill/Richmond Hill"," 112","Richmond Hill",3,3,49,0,38,3,3,99,346
35087,"Richmond Hill/Richmond Hill"," 113","Richmond Hill",19,3,81,2,68,8,4,185,517
35087,"Richmond Hill/Richmond Hill"," 114","Richmond Hill",17,2,46,0,43,4,2,114,332
35087,"Richmond Hill/Richmond Hill"," 115","Richmond Hill",10,2,54,0,61,8,0,135,385
35087,"Richmond Hill/Richmond Hill"," 116","Richmond Hill",24,1,94,0,65,1,0,185,526
35087,"Richmond Hill/Richmond Hill"," 117","Richmond Hill",7,1,70,0,57,7,1,143,437
35087,"Richmond Hill/Richmond Hill"," 118","Richmond Hill",16,1,46,0,53,3,2,121,386
35087,"Richmond Hill/Richmond Hill"," 119","Richmond Hill",15,4,73,0,64,8,5,169,467
35087,"Richmond Hill/Richmond Hill"," 120","Richmond Hill",25,1,57,2,59,6,3,153,494
35087,"Richmond Hill/Richmond Hill"," 121","Richmond Hill",15,2,54,2,38,1,4,116,351
35087,"Richmond Hill/Richmond Hill"," 122","Richmond Hill",12,3,59,0,60,3,2,139,462
35087,"Richmond Hill/Richmond Hill"," 123","Richmond Hill",24,0,74,0,44,2,2,146,546
35087,"Richmond Hill/Richmond Hill"," 124","Richmond Hill",24,0,64,1,55,12,2,158,456
35087,"Richmond Hill/Richmond Hill"," 125","Richmond Hill",7,1,57,0,37,3,3,108,407
35087,"Richmond Hill/Richmond Hill"," 126","Richmond Hill",9,2,53,2,59,1,2,128,436
35087,"Richmond Hill/Richmond Hill"," 127","Richmond Hill",10,1,59,0,36,3,1,110,460
35087,"Richmond Hill/Richmond Hill"," 128","Richmond Hill",12,4,79,2,78,3,3,181,561
35087,"Richmond Hill/Richmond Hill"," 129","Richmond Hill",11,2,58,1,42,2,0,116,360
35087,"Richmond Hill/Richmond Hill"," 130","Markham",12,1,40,0,24,2,2,81,338
35087,"Richmond Hill/Richmond Hill"," 131","Markham",6,0,42,1,28,0,0,77,353
35087,"Richmond Hill/Richmond Hill"," 132","Markham",5,1,67,2,35,2,1,113,508
35087,"Richmond Hill/Richmond Hill"," 133","Richmond Hill",6,5,63,0,45,3,0,122,394
35087,"Richmond Hill/Richmond Hill"," 134","Richmond Hill",7,2,72,1,39,1,0,122,431
35087,"Richmond Hill/Richmond Hill"," 135","Richmond Hill",31,6,120,2,99,10,0,268,1043
35087,"Richmond Hill/Richmond Hill"," 136","Richmond Hill",8,2,60,0,46,2,0,118,516
35087,"Richmond Hill/Richmond Hill"," 137","Richmond Hill",13,3,63,0,43,4,1,127,492
35087,"Richmond Hill/Richmond Hill"," 138","Richmond Hill",3,2,39,0,38,0,0,82,391
35087,"Richmond Hill/Richmond Hill"," 139","Richmond Hill",8,1,43,0,37,7,3,99,420
35087,"Richmond Hill/Richmond Hill"," 140","Richmond Hill",6,0,51,0,40,2,1,100,433
35087,"Richmond Hill/Richmond Hill"," 141","Richmond Hill",11,3,40,0,42,1,0,97,420
35087,"Richmond Hill/Richmond Hill"," 142","Richmond Hill",8,3,35,0,50,4,1,101,416
35087,"Richmond Hill/Richmond Hill"," 143","Richmond Hill",11,3,50,0,93,5,0,162,620
35087,"Richmond Hill/Richmond Hill"," 144","Richmond Hill",15,2,65,1,55,6,1,145,480
35087,"Richmond Hill/Richmond Hill"," 145","Richmond Hill",5,1,83,0,38,2,1,130,415
35087,"Richmond Hill/Richmond Hill"," 146","Richmond Hill",13,2,46,0,31,1,3,96,346
35087,"Richmond Hill/Richmond Hill"," 147","Richmond Hill",8,1,56,1,44,0,0,110,381
35087,"Richmond Hill/Richmond Hill"," 148","Richmond Hill",15,3,65,1,38,2,1,125,422
35087,"Richmond Hill/Richmond Hill"," 149","Richmond Hill",33,5,146,1,105,9,2,301,1005
35087,"Richmond Hill/Richmond Hill"," 150","Richmond Hill",14,2,93,1,69,10,0,189,466
35087,"Richmond Hill/Richmond Hill"," 151","Richmond Hill",16,2,63,0,49,4,1,135,377
35087,"Richmond Hill/Richmond Hill"," 152","Richmond Hill",11,1,50,1,38,2,1,104,394
35087,"Richmond Hill/Richmond Hill"," 153","Richmond Hill",26,8,141,0,97,3,0,275,963
35087,"Richmond Hill/Richmond Hill"," 154","Markham",30,6,113,2,87,7,3,248,515
