Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Thomas Hatch,Dan Muys,Lorne Newick,Bill Panchyshyn,Vito Sgro,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 176","Hamilton",8,157,71,37,101,2,376,556
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 177","Hamilton",9,123,93,38,98,0,361,463
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 178","Hamilton",Merged with No./Fusionné avec le n°176,,,,,,,297
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 179","Hamilton",Merged with No./Fusionné avec le n°177,,,,,,,415
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 180","Hamilton",6,73,44,12,76,0,211,518
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 181","Hamilton",3,97,45,12,99,1,257,611
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 182","Hamilton",4,104,64,15,99,1,287,383
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 183","Hamilton",3,81,48,14,68,3,217,571
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 184A","Hamilton",5,91,32,16,90,0,234,570
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 184B","Hamilton",1,66,36,17,84,0,204,538
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 185","Hamilton",7,128,54,25,86,1,301,497
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 186","Hamilton",Merged with No./Fusionné avec le n°187,,,,,,,321
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 187","Hamilton",3,104,47,4,76,0,234,401
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 188","Hamilton",3,111,45,16,90,1,266,369
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 189","Hamilton",Merged with No./Fusionné avec le n°188,,,,,,,264
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 190","Hamilton",Merged with No./Fusionné avec le n°185,,,,,,,389
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 191","Hamilton",Merged with No./Fusionné avec le n°193,,,,,,,422
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 192","Hamilton",Merged with No./Fusionné avec le n°182,,,,,,,325
