Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anne Marie Anonsen,Linda Hogan,Churence Rogers,Sharon Vokey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 104","Hatchet Cove--St. Jones Within",3,1,21,34,1,60,120
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 105","North West Brook - Ivany's Cove",6,9,30,35,0,80,225
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 106","Queen's Cove--Long Beach",4,6,23,24,3,60,135
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 107","Hodge's Cove--Caplin Cove",18,3,63,75,3,162,288
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 108","Little Heart's Ease",9,10,47,38,1,105,219
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 109","Butter Cove--Southport--Gooseberry Cove",7,5,58,25,3,98,176
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 110","Goobies",1,1,18,19,0,39,73
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 111","North Harbour",11,1,46,32,2,92,142
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 112","Garden Cove",3,3,18,8,1,33,64
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 113","Swift Current",9,4,49,51,3,116,197
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 114","Come By Chance",6,6,50,52,0,114,231
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 115","Sunnyside",15,12,42,102,2,173,356
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 116","Arnold's Cove",6,8,58,62,2,136,374
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 117","Arnold's Cove",13,6,66,49,2,136,386
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 118","Southern Harbour",19,3,46,58,7,133,318
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 119","Little Harbour East",1,1,24,23,2,51,74
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 120","Chance Cove",7,2,97,31,7,144,247
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 121","Fair Haven",3,3,35,8,2,51,62
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 122","Bellevue",7,10,50,50,3,120,224
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 123","Thornlea",1,2,23,19,0,45,73
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 124","Long Cove",7,3,30,25,1,66,178
