Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carol Anstey,Gudie Hutchings,Kaila Mintz,Darrell Shelley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10005,"Long Range Mountains/Long Range Mountains"," 107A","Benoit's Cove",38,39,9,12,2,100,260
10005,"Long Range Mountains/Long Range Mountains"," 107B","Benoit's Cove",42,26,17,10,0,95,263
10005,"Long Range Mountains/Long Range Mountains"," 108","Humber Arm South",25,25,13,4,0,67,141
10005,"Long Range Mountains/Long Range Mountains"," 109","Corner Brook",56,89,65,5,1,216,514
10005,"Long Range Mountains/Long Range Mountains"," 110","Corner Brook",52,58,74,9,0,193,375
10005,"Long Range Mountains/Long Range Mountains"," 111A","Corner Brook",29,38,23,6,0,96,329
10005,"Long Range Mountains/Long Range Mountains"," 111B","Corner Brook",28,29,26,6,1,90,349
10005,"Long Range Mountains/Long Range Mountains"," 112","Corner Brook",31,52,24,5,0,112,488
10005,"Long Range Mountains/Long Range Mountains"," 113","Corner Brook",22,37,25,5,0,89,324
10005,"Long Range Mountains/Long Range Mountains"," 114","York Harbour",60,88,27,15,0,190,317
10005,"Long Range Mountains/Long Range Mountains"," 115","Corner Brook",23,37,18,2,2,82,315
10005,"Long Range Mountains/Long Range Mountains"," 116","Corner Brook",29,21,12,2,0,64,267
10005,"Long Range Mountains/Long Range Mountains"," 117","Corner Brook",40,76,39,8,0,163,447
10005,"Long Range Mountains/Long Range Mountains"," 118","Corner Brook",45,65,30,1,2,143,441
10005,"Long Range Mountains/Long Range Mountains"," 119","Corner Brook",61,82,49,6,2,200,522
10005,"Long Range Mountains/Long Range Mountains"," 120","Corner Brook",69,81,30,3,0,183,477
10005,"Long Range Mountains/Long Range Mountains"," 121","Corner Brook",30,53,32,6,0,121,406
10005,"Long Range Mountains/Long Range Mountains"," 122","Corner Brook",36,48,36,2,4,126,349
10005,"Long Range Mountains/Long Range Mountains"," 123","Corner Brook",70,68,41,2,0,181,404
10005,"Long Range Mountains/Long Range Mountains"," 124","Corner Brook",39,85,11,15,2,152,421
10005,"Long Range Mountains/Long Range Mountains"," 125","Corner Brook",37,57,43,1,4,142,386
10005,"Long Range Mountains/Long Range Mountains"," 126","Corner Brook",47,50,35,8,1,141,412
10005,"Long Range Mountains/Long Range Mountains"," 127","Mount Moriah",44,48,19,14,1,126,267
10005,"Long Range Mountains/Long Range Mountains"," 128","Mount Moriah",60,59,27,10,3,159,373
10005,"Long Range Mountains/Long Range Mountains"," 129","Massey Drive",95,89,71,1,0,256,571
10005,"Long Range Mountains/Long Range Mountains"," 130","Massey Drive",35,77,33,2,0,147,379
10005,"Long Range Mountains/Long Range Mountains"," 131","Massey Drive",74,61,55,5,0,195,479
10005,"Long Range Mountains/Long Range Mountains"," 132","Gallants--Georges Lake",16,27,11,2,0,56,283
10005,"Long Range Mountains/Long Range Mountains"," 133","Annieopsquotch Mountains",10,6,2,2,0,20,119
10005,"Long Range Mountains/Long Range Mountains"," 134","Stephenville Crossing",Void/Supprimé,,,,,,
10005,"Long Range Mountains/Long Range Mountains"," 135","Stephenville Crossing",52,47,9,11,0,119,343
10005,"Long Range Mountains/Long Range Mountains"," 136","Stephenville Crossing",29,17,3,9,0,58,220
10005,"Long Range Mountains/Long Range Mountains"," 137","Stephenville Crossing",50,38,18,14,6,126,453
10005,"Long Range Mountains/Long Range Mountains"," 138","Stephenville Crossing",38,34,14,15,2,103,366
10005,"Long Range Mountains/Long Range Mountains"," 139","Black Duck Siding",11,7,11,3,0,32,51
10005,"Long Range Mountains/Long Range Mountains"," 140","Fox Island River--Point au Mal",30,18,13,12,1,74,75
10005,"Long Range Mountains/Long Range Mountains"," 141","Lourdes",24,26,3,8,0,61,107
10005,"Long Range Mountains/Long Range Mountains"," 142A","Lourdes",33,41,6,11,0,91,298
10005,"Long Range Mountains/Long Range Mountains"," 142B","Lourdes",41,33,10,8,0,92,308
10005,"Long Range Mountains/Long Range Mountains"," 143","Noels Pond--Cold Brook",51,42,5,15,0,113,269
10005,"Long Range Mountains/Long Range Mountains"," 144","Barachois Brook",19,16,4,6,0,45,75
10005,"Long Range Mountains/Long Range Mountains"," 145","Stephenville",45,40,15,8,7,115,436
10005,"Long Range Mountains/Long Range Mountains"," 146","Stephenville",59,56,10,8,4,137,406
10005,"Long Range Mountains/Long Range Mountains"," 147","Stephenville",48,44,12,8,9,121,417
10005,"Long Range Mountains/Long Range Mountains"," 148","Stephenville",29,44,13,8,2,96,349
10005,"Long Range Mountains/Long Range Mountains"," 149","Kippens",72,39,16,8,2,137,397
10005,"Long Range Mountains/Long Range Mountains"," 150","Kippens",75,46,19,6,1,147,405
10005,"Long Range Mountains/Long Range Mountains"," 151","Kippens",66,78,18,3,0,165,430
10005,"Long Range Mountains/Long Range Mountains"," 152","Kippens",53,55,15,16,1,140,406
10005,"Long Range Mountains/Long Range Mountains"," 153","Stephenville",33,44,8,9,0,94,342
10005,"Long Range Mountains/Long Range Mountains"," 154","Stephenville",63,73,17,11,0,164,445
10005,"Long Range Mountains/Long Range Mountains"," 155","Stephenville",37,42,15,6,2,102,422
10005,"Long Range Mountains/Long Range Mountains"," 156","Stephenville",44,73,27,8,0,152,445
10005,"Long Range Mountains/Long Range Mountains"," 157","Stephenville",47,31,13,10,0,101,348
10005,"Long Range Mountains/Long Range Mountains"," 158","Stephenville",39,40,16,4,0,99,351
10005,"Long Range Mountains/Long Range Mountains"," 159","Stephenville",27,39,21,4,0,91,325
10005,"Long Range Mountains/Long Range Mountains"," 160","Stephenville",68,61,13,1,0,143,396
10005,"Long Range Mountains/Long Range Mountains"," 161","Stephenville",33,47,9,11,0,100,330
10005,"Long Range Mountains/Long Range Mountains"," 162","Stephenville",36,31,24,10,1,102,438
10005,"Long Range Mountains/Long Range Mountains"," 163","Port au Port East",94,81,34,21,5,235,650
10005,"Long Range Mountains/Long Range Mountains"," 164","Port au Port West-Aguathuna-Felix Cove",62,24,11,12,4,113,273
10005,"Long Range Mountains/Long Range Mountains"," 165","Port au Port West-Aguathuna-Felix Cove",34,34,8,7,3,86,218
10005,"Long Range Mountains/Long Range Mountains"," 166","St. George's",37,46,13,15,0,111,283
10005,"Long Range Mountains/Long Range Mountains"," 167","St. George's",28,47,13,11,3,102,263
