Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Randy Boissonnault,Brock Crocker,James Cumming,Merryn Edwards,Valerie Keefe,Heather MacKenzie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48014,"Edmonton Centre/Edmonton-Centre"," 78","Edmonton",45,7,41,0,2,41,2,138,401
48014,"Edmonton Centre/Edmonton-Centre"," 79","Edmonton",18,8,24,0,1,25,0,76,365
48014,"Edmonton Centre/Edmonton-Centre"," 80","Edmonton",30,8,56,1,2,56,1,154,419
48014,"Edmonton Centre/Edmonton-Centre"," 81","Edmonton",41,14,70,0,2,51,1,179,401
48014,"Edmonton Centre/Edmonton-Centre"," 82","Edmonton",36,16,59,1,1,36,1,150,374
48014,"Edmonton Centre/Edmonton-Centre"," 83","Edmonton",30,13,41,0,1,66,3,154,393
48014,"Edmonton Centre/Edmonton-Centre"," 84","Edmonton",54,4,39,0,4,58,3,162,395
48014,"Edmonton Centre/Edmonton-Centre"," 85","Edmonton",41,11,31,0,1,51,2,137,471
48014,"Edmonton Centre/Edmonton-Centre"," 86","Edmonton",45,6,22,0,4,41,1,119,491
48014,"Edmonton Centre/Edmonton-Centre"," 87","Edmonton",59,8,97,1,1,38,0,204,530
48014,"Edmonton Centre/Edmonton-Centre"," 88","Edmonton",68,5,109,0,2,47,2,233,635
48014,"Edmonton Centre/Edmonton-Centre"," 89","Edmonton",68,7,76,0,1,55,1,208,540
48014,"Edmonton Centre/Edmonton-Centre"," 90","Edmonton",50,6,19,1,0,56,0,132,410
48014,"Edmonton Centre/Edmonton-Centre"," 91","Edmonton",49,12,25,2,2,63,1,154,429
48014,"Edmonton Centre/Edmonton-Centre"," 92","Edmonton",37,4,17,1,0,63,1,123,338
48014,"Edmonton Centre/Edmonton-Centre"," 93","Edmonton",62,12,41,1,0,84,0,200,436
48014,"Edmonton Centre/Edmonton-Centre"," 94","Edmonton",46,3,18,1,3,38,1,110,458
48014,"Edmonton Centre/Edmonton-Centre"," 95","Edmonton",33,1,9,0,1,8,0,52,336
48014,"Edmonton Centre/Edmonton-Centre"," 96","Edmonton",26,0,11,0,0,14,1,52,207
48014,"Edmonton Centre/Edmonton-Centre"," 97","Edmonton",33,10,37,1,1,91,2,175,467
48014,"Edmonton Centre/Edmonton-Centre"," 98","Edmonton",30,9,77,0,0,33,1,150,373
48014,"Edmonton Centre/Edmonton-Centre"," 99","Edmonton",60,2,95,0,0,33,1,191,448
48014,"Edmonton Centre/Edmonton-Centre"," 100","Edmonton",72,7,59,0,0,19,0,157,406
48014,"Edmonton Centre/Edmonton-Centre"," 101","Edmonton",58,3,119,0,0,27,1,208,426
48014,"Edmonton Centre/Edmonton-Centre"," 102","Edmonton",66,4,58,1,2,45,0,176,443
48014,"Edmonton Centre/Edmonton-Centre"," 103","Edmonton",87,20,59,0,1,110,3,280,623
48014,"Edmonton Centre/Edmonton-Centre"," 104","Edmonton",52,4,43,0,2,34,0,135,364
48014,"Edmonton Centre/Edmonton-Centre"," 105","Edmonton",41,8,28,0,0,55,0,132,374
48014,"Edmonton Centre/Edmonton-Centre"," 106","Edmonton",31,5,45,0,0,36,1,118,315
48014,"Edmonton Centre/Edmonton-Centre"," 107A","Edmonton",38,8,26,0,0,46,1,119,411
48014,"Edmonton Centre/Edmonton-Centre"," 107B","Edmonton",41,5,26,0,1,41,0,114,356
48014,"Edmonton Centre/Edmonton-Centre"," 108","Edmonton",79,7,36,0,0,98,0,220,303
48014,"Edmonton Centre/Edmonton-Centre"," 109","Edmonton",98,10,50,1,0,85,0,244,678
