Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mel Arnold,Kyle Delfing,Shelley Desautels,Andrea Gunner,Ron Johnston,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 230","Lumby",69,24,22,2,21,1,139,482
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 231","Lumby",56,9,18,14,32,2,131,417
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 232","Lumby",35,11,13,5,24,0,88,388
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 233","Lumby",58,11,13,12,32,0,126,333
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 234","Lumby",47,12,14,8,33,1,115,474
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 235","Blue Springs",55,27,16,4,18,1,121,358
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 236","Lumby",64,13,20,8,27,0,132,390
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 237","Lumby",76,24,17,8,29,0,154,492
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 238","Cherryville",82,44,21,31,45,0,223,497
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 239","Cherryville",93,18,25,7,37,0,180,471
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 240","Edgewood",72,31,33,26,58,1,221,377
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 400","Vernon",37,3,39,7,13,5,104,134
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 401","Vernon",Void/Supprimé,,,,,,,
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 402","Coldstream",72,10,46,12,38,2,180,14
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 403","Vernon",75,9,65,8,25,7,189,79
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 500","Mobile poll/Bureau itinérant",64,5,32,3,23,0,127,47
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 501","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,89
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 502","Mobile poll/Bureau itinérant",Results combined with no. 500/Résultats combinés au n° 500,,,,,,,25
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 503","Mobile poll/Bureau itinérant",75,5,31,21,29,5,166,28
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 504","Mobile poll/Bureau itinérant",Results combined with no. 500/Résultats combinés au n° 500,,,,,,,28
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 505","Mobile poll/Bureau itinérant",Results combined with no. 500/Résultats combinés au n° 500,,,,,,,97
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 506","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 507","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,20
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 508","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,19
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 509","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,42
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 510","Mobile poll/Bureau itinérant",Results combined with no. 512/Résultats combinés au n° 512,,,,,,,17
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 511","Mobile poll/Bureau itinérant",Results combined with no. 512/Résultats combinés au n° 512,,,,,,,16
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 512","Mobile poll/Bureau itinérant",34,6,25,9,11,3,88,41
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 513","Mobile poll/Bureau itinérant",Results combined with no. 403/Résultats combinés au n° 403,,,,,,,61
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 514","Mobile poll/Bureau itinérant",Results combined with no. 402/Résultats combinés au n° 402,,,,,,,47
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 515","Mobile poll/Bureau itinérant",Results combined with no. 403/Résultats combinés au n° 403,,,,,,,105
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 516","Mobile poll/Bureau itinérant",Results combined with no. 530/Résultats combinés au n° 530,,,,,,,77
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 517","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°162B,,,,,,,2
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 518","Mobile poll/Bureau itinérant",Results combined with no. 403/Résultats combinés au n° 403,,,,,,,37
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 519","Mobile poll/Bureau itinérant",Results combined with no. 530/Résultats combinés au n° 530,,,,,,,44
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 520","Mobile poll/Bureau itinérant",Results combined with no. 402/Résultats combinés au n° 402,,,,,,,49
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 521","Mobile poll/Bureau itinérant",Results combined with no. 402/Résultats combinés au n° 402,,,,,,,57
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 522","Mobile poll/Bureau itinérant",Results combined with no. 402/Résultats combinés au n° 402,,,,,,,52
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 523","Mobile poll/Bureau itinérant",Results combined with no. 530/Résultats combinés au n° 530,,,,,,,82
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 524","Mobile poll/Bureau itinérant",Results combined with no. 512/Résultats combinés au n° 512,,,,,,,16
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 525","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,,53
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 526","Mobile poll/Bureau itinérant",Results combined with no. 512/Résultats combinés au n° 512,,,,,,,50
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 527","Mobile poll/Bureau itinérant",Results combined with no. 402/Résultats combinés au n° 402,,,,,,,64
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 528","Mobile poll/Bureau itinérant",Results combined with no. 530/Résultats combinés au n° 530,,,,,,,65
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 529","Mobile poll/Bureau itinérant",Results combined with no. 500/Résultats combinés au n° 500,,,,,,,18
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 530","Mobile poll/Bureau itinérant",71,3,64,15,12,3,168,20
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 531","Salmon Arm",Merged with No./Fusionné avec le n°51,,,,,,,3
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 600","Scotch Creek--Anglemont",395,59,117,24,100,4,699,
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 601","Blind Bay--Sorrento",614,102,154,30,121,1,1022,
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 602","Sorrento--Eagle Bay",493,78,96,18,86,4,775,
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 603","Sicamous",605,107,168,29,140,1,1050,
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 604","Tappen",215,80,69,23,72,0,459,
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 605","Chase",550,105,130,31,168,3,987,
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 606","Falkland",227,101,36,17,48,1,430,
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 607","Salmon Arm",574,149,171,59,141,5,1099,
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 608","Salmon Arm",736,116,264,54,245,3,1418,
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 609","Salmon Arm",680,130,276,65,175,4,1330,
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 610","Enderby--Mara",315,120,53,35,84,2,609,
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 611","Enderby",615,139,125,45,203,2,1129,
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 612","Spallumcheen",756,235,120,104,147,2,1364,
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 613","Armstrong--Spallumcheen",794,166,275,84,296,0,1615,
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 614","Vernon",529,118,181,43,183,3,1057,
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 615","Vernon",576,159,234,45,189,3,1206,
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 616","Vernon",548,164,302,50,299,10,1373,
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 617","Vernon",434,141,230,60,229,8,1102,
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 618","Vernon",402,124,219,41,208,6,1000,
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 619","Vernon",422,152,166,40,232,9,1021,
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 620","Vernon",654,84,254,35,168,5,1200,
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 621","Coldstream",530,82,255,43,145,4,1059,
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 622","Coldstream",543,134,200,53,149,4,1083,
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 623","Vernon",556,155,162,38,132,7,1050,
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap"," 624","Lumby",674,276,151,59,180,5,1345,
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap",,Group 1/Groupe 1, 406,70,129,36,121,30,792,161
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap",,Group 2/Groupe 2, 2455,327,1339,358,1210,101,5790,
