Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jenica Atwin,Andrea Johnson,Brandon Kirby,Nicole O'Byrne,Shawn Oldenburg,June Patterson,Jen Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13003,"Fredericton/Fredericton"," 126","Lincoln",20,42,1,13,21,0,2,0,99,287
13003,"Fredericton/Fredericton"," 127","Lincoln",56,97,0,19,36,1,0,0,209,484
13003,"Fredericton/Fredericton"," 128","Lincoln",58,84,2,36,55,1,6,0,242,675
13003,"Fredericton/Fredericton"," 129","Oromocto",40,67,1,12,33,0,4,0,157,483
13003,"Fredericton/Fredericton"," 130","Oromocto",Void/Supprimé,,,,,,,,,
13003,"Fredericton/Fredericton"," 131","Oromocto",80,127,7,16,49,2,1,1,283,822
13003,"Fredericton/Fredericton"," 132","Oromocto",15,85,0,10,30,0,0,0,140,532
13003,"Fredericton/Fredericton"," 133","Oromocto",38,54,0,10,22,0,7,0,131,437
13003,"Fredericton/Fredericton"," 134","New Maryland",57,40,1,6,22,0,0,1,127,398
13003,"Fredericton/Fredericton"," 135","New Maryland",97,91,0,29,28,1,1,3,250,385
13003,"Fredericton/Fredericton"," 136","New Maryland",60,72,1,16,18,0,0,0,167,450
13003,"Fredericton/Fredericton"," 137","New Maryland",38,53,0,24,18,0,1,1,135,416
13003,"Fredericton/Fredericton"," 138","New Maryland",79,40,0,16,25,0,1,0,161,473
13003,"Fredericton/Fredericton"," 139","New Maryland",103,46,0,17,28,2,0,2,198,550
13003,"Fredericton/Fredericton"," 140","New Maryland",Merged with No./Fusionné avec le n°135,,,,,,,,,306
13003,"Fredericton/Fredericton"," 141","New Maryland",Void/Supprimé,,,,,,,,,
13003,"Fredericton/Fredericton"," 142","New Maryland",35,29,1,6,15,0,1,0,87,283
13003,"Fredericton/Fredericton"," 143","Oromocto",31,65,1,6,21,0,3,2,129,461
13003,"Fredericton/Fredericton"," 144","Oromocto",48,81,0,13,22,0,2,1,167,497
13003,"Fredericton/Fredericton"," 145","Oromocto",51,95,0,17,31,0,0,1,195,633
13003,"Fredericton/Fredericton"," 146","Oromocto",74,105,0,23,26,0,1,0,229,685
13003,"Fredericton/Fredericton"," 147","Oromocto",70,105,1,22,44,0,2,0,244,710
13003,"Fredericton/Fredericton"," 148","Geary",43,64,1,7,20,0,5,1,141,373
13003,"Fredericton/Fredericton"," 149","Geary",Void/Supprimé,,,,,,,,,
13003,"Fredericton/Fredericton"," 150","Waterville",61,127,2,23,42,0,3,1,259,674
13003,"Fredericton/Fredericton"," 151","Geary",40,76,2,7,17,0,7,0,149,323
13003,"Fredericton/Fredericton"," 152","Geary",43,110,2,15,34,0,3,0,207,404
13003,"Fredericton/Fredericton"," 153","French Lake",53,94,3,31,36,0,1,2,220,453
13003,"Fredericton/Fredericton"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°48,,,,,,,,,52
13003,"Fredericton/Fredericton"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°47,,,,,,,,,151
13003,"Fredericton/Fredericton"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°43,,,,,,,,,88
13003,"Fredericton/Fredericton"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°87,,,,,,,,,35
13003,"Fredericton/Fredericton"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°86,,,,,,,,,126
13003,"Fredericton/Fredericton"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°104,,,,,,,,,71
13003,"Fredericton/Fredericton"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°74,,,,,,,,,22
13003,"Fredericton/Fredericton"," 507","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°92,,,,,,,,,0
13003,"Fredericton/Fredericton"," 508","Mobile poll/Bureau itinérant",3,2,0,2,0,0,0,0,7,43
13003,"Fredericton/Fredericton"," 509","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°75,,,,,,,,,81
13003,"Fredericton/Fredericton"," 510","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°68,,,,,,,,,22
13003,"Fredericton/Fredericton"," 511","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°17,,,,,,,,,21
13003,"Fredericton/Fredericton"," 512","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°129,,,,,,,,,48
13003,"Fredericton/Fredericton"," 513","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°16,,,,,,,,,46
13003,"Fredericton/Fredericton"," 514","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°16,,,,,,,,,17
13003,"Fredericton/Fredericton"," 600","Fredericton",378,591,10,125,91,1,12,9,1217,
13003,"Fredericton/Fredericton"," 601","Fredericton",202,286,4,75,47,0,4,3,621,
13003,"Fredericton/Fredericton"," 602","Oromocto",184,338,1,34,64,4,5,6,636,
13003,"Fredericton/Fredericton"," 603","Oromocto",524,803,3,85,148,0,12,13,1588,
13003,"Fredericton/Fredericton"," 604","Fredericton",319,402,2,74,86,5,8,5,901,
13003,"Fredericton/Fredericton"," 605","Fredericton",591,448,4,219,105,5,5,0,1377,
13003,"Fredericton/Fredericton"," 606","Fredericton",564,296,5,210,103,5,7,2,1192,
13003,"Fredericton/Fredericton"," 607","Fredericton",511,420,6,165,99,2,7,8,1218,
13003,"Fredericton/Fredericton"," 608","Fredericton",659,727,6,158,120,5,10,7,1692,
13003,"Fredericton/Fredericton"," 609","Fredericton",523,543,3,114,112,2,13,5,1315,
13003,"Fredericton/Fredericton"," 610","Fredericton",557,304,9,258,92,9,5,5,1239,
13003,"Fredericton/Fredericton"," 611","Fredericton",583,469,6,162,67,4,3,4,1298,
13003,"Fredericton/Fredericton"," 612","Fredericton",546,509,3,132,106,2,11,3,1312,
13003,"Fredericton/Fredericton"," 613","New Maryland",509,519,5,119,84,1,1,5,1243,
13003,"Fredericton/Fredericton",,Group 1/Groupe 1, 253,842,15,110,111,4,17,57,1409,175
13003,"Fredericton/Fredericton",,Group 2/Groupe 2, 1069,884,5,259,136,9,11,38,2411,
