Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Angela Brydges,Melissa Chung-Mowat,Robert Crooks,Anas Kassem,Kevin Lamoureux,Patrick Neilan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46012,"Winnipeg North/Winnipeg-Nord"," 510","Mobile poll/Bureau itinérant",0,3,0,1,4,1,0,9,22
46012,"Winnipeg North/Winnipeg-Nord"," 511","Mobile poll/Bureau itinérant",0,5,0,3,4,1,1,14,19
46012,"Winnipeg North/Winnipeg-Nord"," 512","Mobile poll/Bureau itinérant",1,7,0,0,8,1,0,17,40
46012,"Winnipeg North/Winnipeg-Nord"," 513","Winnipeg",Merged with No./Fusionné avec le n°137,,,,,,,,147
46012,"Winnipeg North/Winnipeg-Nord"," 514","Winnipeg",Merged with No./Fusionné avec le n°142,,,,,,,,84
46012,"Winnipeg North/Winnipeg-Nord"," 600","Winnipeg",9,253,2,116,600,29,2,1011,
46012,"Winnipeg North/Winnipeg-Nord"," 601","Winnipeg",7,242,1,141,688,32,7,1118,
46012,"Winnipeg North/Winnipeg-Nord"," 602","Winnipeg",13,199,0,102,604,38,10,966,
46012,"Winnipeg North/Winnipeg-Nord"," 603","Winnipeg",11,175,1,170,605,40,11,1013,
46012,"Winnipeg North/Winnipeg-Nord"," 604","Winnipeg",9,165,2,132,460,24,0,792,
46012,"Winnipeg North/Winnipeg-Nord"," 605","Winnipeg",5,120,1,78,446,27,0,677,
46012,"Winnipeg North/Winnipeg-Nord"," 606","Winnipeg",6,238,0,111,775,32,4,1166,
46012,"Winnipeg North/Winnipeg-Nord"," 607","Winnipeg",8,171,1,130,431,33,9,783,
46012,"Winnipeg North/Winnipeg-Nord"," 608","Winnipeg",9,151,0,116,294,27,4,601,
46012,"Winnipeg North/Winnipeg-Nord"," 609","Winnipeg",9,157,0,63,269,22,2,522,
46012,"Winnipeg North/Winnipeg-Nord"," 610","Winnipeg",7,107,0,46,188,39,2,389,
46012,"Winnipeg North/Winnipeg-Nord"," 611","Winnipeg",4,153,1,41,72,21,4,296,
46012,"Winnipeg North/Winnipeg-Nord"," 612","Winnipeg",6,164,4,73,183,32,9,471,
46012,"Winnipeg North/Winnipeg-Nord"," 613","Winnipeg",10,249,2,72,136,28,1,498,
46012,"Winnipeg North/Winnipeg-Nord",,Group 1/Groupe 1, 15,185,10,77,511,20,25,843,243
46012,"Winnipeg North/Winnipeg-Nord",,Group 2/Groupe 2, 16,398,2,158,546,23,41,1184,
