Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Buckley Belanger,Nasser Dean Chalifoux,Harmonie King,Stephen King,Dezirae Reddekopp,Gary Vidal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 133B","Cumberland 20",Merged with No./Fusionné avec le n°132B,,,,,,,,36
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 134","Mistawasis 103",134,8,74,2,0,4,0,222,324
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 135","Red Earth 29",99,3,24,2,3,8,0,139,596
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 136","Shoal Lake 28A",67,4,30,2,2,2,0,107,345
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 500","Mobile poll/Bureau itinérant",0,0,0,0,0,0,0,0,0
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 501","Mobile poll/Bureau itinérant",Results combined with no. 26B/Résultats combinés au n° 26B,,,,,,,,0
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°44,,,,,,,,11
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°53,,,,,,,,1
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 504","Mobile poll/Bureau itinérant",9,2,10,2,1,26,8,58,13
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504,,,,,,,,10
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504,,,,,,,,31
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 507","Mobile poll/Bureau itinérant",7,2,7,0,1,10,1,28,9
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 508","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504,,,,,,,,11
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 509","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504,,,,,,,,21
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 510","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°507,,,,,,,,23
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 511","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°38C,,,,,,,,5
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 600","Stony Rapids",Results combined with no. 2/Résultats combinés au n° 2,,,,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 601","Wollaston Lake",15,1,5,0,0,1,0,22,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 602","Southend 200--Kinoosao-Thomas Clark 204",A poll could not be held due to pandemic or emergency situation./Le scrutin n'a pas pu avoir lieu en raison de la pandémie ou d'une situation d'urgence.,,,,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 603","La Loche",109,0,31,13,1,9,1,164,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 604","Buffalo Narrows",61,0,17,1,3,25,0,107,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 605","Beauval",94,2,26,3,1,23,0,149,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 606","La Ronge",241,11,152,0,13,240,0,657,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 607","Pelican Narrows",64,4,77,3,3,6,1,158,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 608","Creighton",24,9,50,3,42,217,1,346,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 609","Red Earth",Results combined with no. 135/Résultats combinés au n° 135,,,,,,,,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 610","Candle Lake",15,2,7,0,15,136,0,175,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 611","Christopher Lake",81,4,70,1,25,359,0,540,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 612","Debden",32,5,23,1,30,379,0,470,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 613","Spiritwood",42,2,24,1,29,477,0,575,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 614","Meadow Lake",61,2,52,2,57,518,0,692,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 615","Goodsoil",17,4,12,2,20,325,0,380,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 616","Loon Lake",18,1,10,0,14,230,1,274,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 617","Meadow Lake",79,4,82,12,33,499,8,717,
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill",,Group 1/Groupe 1, 141,5,71,4,12,130,41,404,231
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill",,Group 2/Groupe 2, 151,8,122,4,21,438,9,753,
