Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Reuben Anthony DeBoer,Nathaniel Erskine-Smith,Philip Fernandez,Jennifer Moxon,Radu Rautescu,Lisa Robinson,Alejandra Ruiz Vargas,Karen Lee Wilde,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35007,"Beaches--East York/Beaches--East York"," 157","Toronto",5,108,0,0,0,33,38,0,0,184,456
35007,"Beaches--East York/Beaches--East York"," 158","Toronto",4,115,0,1,11,20,49,1,1,202,464
35007,"Beaches--East York/Beaches--East York"," 159","Toronto",Merged with No./Fusionné avec le n°165,,,,,,,,,,403
35007,"Beaches--East York/Beaches--East York"," 160","Toronto",Merged with No./Fusionné avec le n°166,,,,,,,,,,387
35007,"Beaches--East York/Beaches--East York"," 161","Toronto",8,109,1,0,18,44,30,1,2,213,569
35007,"Beaches--East York/Beaches--East York"," 162","Toronto",Merged with No./Fusionné avec le n°163,,,,,,,,,,386
35007,"Beaches--East York/Beaches--East York"," 163","Toronto",8,165,0,0,6,60,70,3,2,314,423
35007,"Beaches--East York/Beaches--East York"," 164","Toronto",12,89,0,2,7,29,67,0,0,206,560
35007,"Beaches--East York/Beaches--East York"," 165","Toronto",12,219,1,0,6,60,87,0,3,388,450
35007,"Beaches--East York/Beaches--East York"," 166","Toronto",15,184,0,0,3,62,53,1,3,321,459
35007,"Beaches--East York/Beaches--East York"," 400","Toronto",3,97,0,1,5,21,32,2,0,161,410
35007,"Beaches--East York/Beaches--East York"," 401","Toronto",3,188,0,2,7,23,52,0,0,275,876
35007,"Beaches--East York/Beaches--East York"," 402","Toronto",2,96,0,0,3,11,16,0,1,129,469
35007,"Beaches--East York/Beaches--East York"," 403","Toronto",6,138,1,0,3,29,25,0,4,206,845
35007,"Beaches--East York/Beaches--East York"," 404","Toronto",2,168,0,0,4,17,23,0,3,217,681
35007,"Beaches--East York/Beaches--East York"," 405","Toronto",2,138,1,0,6,19,31,0,0,197,665
35007,"Beaches--East York/Beaches--East York"," 406","Toronto",3,53,1,0,1,7,13,0,1,79,189
35007,"Beaches--East York/Beaches--East York"," 407","Toronto",3,96,0,1,3,13,22,0,0,138,396
35007,"Beaches--East York/Beaches--East York"," 408","Toronto",2,89,0,0,4,10,26,1,0,132,380
