Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marilou Alarie,Michelle Corcos,Lawrence Cotton,Dany Desjardins,Vincent Duhamel,Susanne Lefebvre,Andrew Panton,Maryse Richard,Alexis Stogowski,Pascale St-Onge,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24016,"Brome--Missisquoi/Brome--Missisquoi"," 608","Cowansville",330,18,4,2,149,2,40,13,23,346,23,950,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 609","Cowansville",405,13,3,1,201,9,41,20,22,369,15,1099,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 610","Cowansville",269,14,8,5,192,1,35,12,33,359,20,948,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 611","Bromont",344,18,5,0,153,0,41,19,11,359,6,956,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 612","Bromont",443,13,2,3,155,2,60,30,8,477,23,1216,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 613","Lac-Brome",167,20,2,0,183,1,55,10,14,551,17,1020,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 614","Sutton",358,35,1,3,187,2,70,16,20,556,14,1262,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 615","Lac-Brome",265,10,2,1,179,1,31,11,23,367,5,895,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 616","Potton",145,10,0,3,115,0,40,3,26,262,7,611,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 617","Magog",575,20,2,1,235,3,46,16,21,505,25,1449,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 618","Magog",516,13,1,2,189,0,42,13,22,447,10,1255,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 619","Orford",297,7,2,1,57,0,24,16,6,198,5,613,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 620","Orford",479,21,0,0,146,0,50,11,20,359,13,1099,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 621","Magog",518,14,4,0,177,2,45,23,16,443,30,1272,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 622","Magog",334,11,4,4,140,1,23,14,25,278,7,841,
24016,"Brome--Missisquoi/Brome--Missisquoi"," 623","Magog",401,7,5,0,223,0,29,15,25,295,10,1010,
24016,"Brome--Missisquoi/Brome--Missisquoi",,Group 1/Groupe 1, 77,20,2,1,60,0,54,4,11,176,23,428,130
24016,"Brome--Missisquoi/Brome--Missisquoi",,Group 2/Groupe 2, 596,24,5,1,310,3,105,22,27,932,72,2097,
