Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Olivia Dorey,Bernadette Jordan,Rick Perkins,Thomas Trappenberg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 106","Masons Beach",50,76,54,5,0,185,423
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 107","Branch LaHave--New Canada",33,51,70,4,3,161,366
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 108","Lower Branch",21,35,44,3,4,107,253
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 109","Pine Grove",26,48,55,6,0,135,333
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 110","Pine Grove",18,49,38,3,0,108,290
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 111","Oak Hill",27,27,54,5,3,116,272
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 112","Oak Hill",20,41,50,0,2,113,243
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 113","Rhodes Corner",48,75,72,6,5,206,440
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 114","Hemford--Nineveh",35,62,79,6,2,184,402
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 115","Bridgewater",27,41,38,5,0,111,334
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 116","Bridgewater",32,59,41,5,1,138,376
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 117","Bridgewater",29,43,42,2,0,116,389
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 118","Bridgewater",29,59,67,4,2,161,361
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 119","Bridgewater",32,46,36,6,0,120,468
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 120","Bridgewater",15,52,47,3,0,117,346
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 121","Bridgewater",30,85,75,1,2,193,406
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 122","Bridgewater",28,41,55,1,5,130,442
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 123","Midville Branch--Upper Branch",17,41,65,3,0,126,288
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 124","Auburndale",33,41,44,1,0,119,288
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 125","Dayspring",33,32,37,5,2,109,391
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 126","Upper LaHave--Crouses Settlement",37,88,56,6,1,188,427
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 127","Indian Path--Rosebay",34,68,40,4,0,146,313
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 128","Middle LaHave--East LaHave",26,61,43,6,2,138,345
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 129","Bridgewater",48,66,41,0,1,156,472
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 130","Bridgewater",33,49,41,4,1,128,426
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 131","Bridgewater",22,34,31,1,1,89,388
