Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ardo Dia,Emmanuel Dubourg,Michel Lavoie,Nathe Perrone,Nicholas Ponari,Michel Prairie,Ilyasa Sykes,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24015,"Bourassa/Bourassa"," 29","Montréal",14,112,18,4,16,0,16,6,186,410
24015,"Bourassa/Bourassa"," 30","Montréal",13,54,7,4,13,0,6,2,99,336
24015,"Bourassa/Bourassa"," 31","Montréal",11,86,5,2,6,0,5,3,118,349
24015,"Bourassa/Bourassa"," 32","Montréal",4,81,4,0,6,0,20,6,121,343
24015,"Bourassa/Bourassa"," 33","Montréal",12,114,8,2,8,0,11,0,155,401
24015,"Bourassa/Bourassa"," 34","Montréal",13,151,5,2,10,1,10,4,196,471
24015,"Bourassa/Bourassa"," 35","Montréal",12,107,12,4,10,0,8,3,156,421
24015,"Bourassa/Bourassa"," 36","Montréal",25,105,5,2,10,1,10,7,165,464
24015,"Bourassa/Bourassa"," 37","Montréal",15,94,4,0,11,0,3,6,133,425
24015,"Bourassa/Bourassa"," 38","Montréal",13,118,5,1,10,1,4,3,155,440
24015,"Bourassa/Bourassa"," 39","Montréal",9,115,4,2,10,1,7,0,148,370
24015,"Bourassa/Bourassa"," 40","Montréal",6,79,10,4,14,0,6,3,122,332
24015,"Bourassa/Bourassa"," 41","Montréal",18,97,4,2,16,0,24,2,163,398
