Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jude Bazelais,Anju Dhillon,Cloé Rose Jenneau,Laura Mariani,Fabiola Ngamaleu Teumeni,Michael Patterson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 142","Montréal",9,85,8,3,16,8,3,132,358
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 143","Montréal",13,39,40,5,22,7,2,128,406
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 144","Montréal",11,35,30,6,26,4,1,113,386
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 145","Montréal",13,51,32,4,28,8,1,137,367
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 146","Montréal",14,30,26,3,21,6,3,103,328
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 147","Montréal",10,34,22,9,20,5,0,100,325
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 148","Montréal",12,84,38,7,33,14,4,192,520
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 149","Montréal",9,51,53,6,22,2,4,147,449
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 150","Montréal",18,110,35,8,42,11,5,229,633
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 151","Montréal",15,30,24,3,20,8,2,102,360
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 152","Montréal",17,75,12,2,17,5,1,129,416
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 153","Montréal",20,67,21,5,28,6,3,150,333
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 154","Montréal",16,80,28,5,26,4,1,160,437
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 155","Montréal",21,76,44,6,25,9,1,182,427
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 156","Montréal",6,78,35,9,20,8,4,160,377
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 157","Montréal",13,86,31,12,23,7,2,174,463
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 158","Montréal",18,52,28,3,21,11,0,133,344
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 159","Montréal",23,91,19,4,16,7,2,162,626
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 160","Montréal",14,71,11,3,7,12,2,120,385
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 161","Montréal",14,52,28,0,15,2,0,111,339
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 162","Montréal",11,73,22,4,14,7,0,131,342
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 163","Montréal",11,45,32,4,31,10,5,138,375
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 164","Montréal",35,110,29,1,29,5,2,211,473
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 165","Montréal",16,64,35,1,16,8,3,143,333
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 166","Montréal",27,104,13,1,24,5,1,175,468
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 167","Montréal",17,56,20,1,14,4,1,113,342
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 168","Montréal",22,73,14,2,14,6,2,133,379
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 169","Montréal",9,80,1,3,5,7,0,105,363
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 170","Montréal",24,90,10,2,12,2,3,143,362
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 171","Montréal",13,88,17,3,5,5,1,132,355
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 172","Montréal",21,135,22,7,17,8,2,212,516
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 173","Montréal",10,73,44,7,14,7,3,158,471
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 174","Montréal",16,75,15,3,9,9,2,129,338
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 175","Montréal",29,71,27,6,18,6,0,157,349
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 176","Montréal",27,76,16,1,23,8,2,153,378
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 177","Montréal",11,69,48,7,28,6,3,172,395
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 178","Montréal",9,83,32,3,28,8,0,163,409
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 179","Montréal",22,66,22,2,13,8,1,134,314
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 180","Montréal",12,60,23,7,19,9,1,131,329
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 181","Montréal",19,90,32,8,34,5,2,190,453
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 182","Montréal",16,65,29,7,24,12,2,155,462
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 183","Montréal",12,75,34,6,19,7,1,154,413
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 184","Montréal",17,55,23,8,21,10,0,134,343
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 185","Dorval",16,47,5,7,24,6,0,105,372
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 186","Dorval",12,64,5,2,17,14,2,116,440
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 187","Dorval",21,65,11,6,18,3,1,125,333
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 188","Dorval",33,97,15,2,27,8,2,184,461
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 189","Dorval",22,64,14,3,12,2,0,117,349
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 190","Dorval",26,111,30,12,47,9,5,240,501
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 191","Dorval",30,73,15,7,19,8,3,155,385
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 192","Dorval",13,67,26,8,30,6,2,152,427
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 193","Dorval",27,67,34,12,22,3,2,167,436
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 194","Dorval",15,87,23,4,33,4,2,168,500
