Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marc Emery,Peter Fragiskatos,Stephen Gallant,Mary Ann Hodge,Dirka Prout,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35052,"London North Centre/London-Centre-Nord"," 88","London",9,40,39,4,51,0,143,374
35052,"London North Centre/London-Centre-Nord"," 89A","London",Merged with No./Fusionné avec le n°87A,,,,,,,210
35052,"London North Centre/London-Centre-Nord"," 89B","London",Merged with No./Fusionné avec le n°91B,,,,,,,152
35052,"London North Centre/London-Centre-Nord"," 90","London",11,62,40,1,39,0,153,523
35052,"London North Centre/London-Centre-Nord"," 91A","London",Merged with No./Fusionné avec le n°87A,,,,,,,219
35052,"London North Centre/London-Centre-Nord"," 91B","London",12,21,30,5,33,0,101,206
35052,"London North Centre/London-Centre-Nord"," 92","London",Merged with No./Fusionné avec le n°86,,,,,,,459
35052,"London North Centre/London-Centre-Nord"," 93A","London",9,37,29,2,55,1,133,251
35052,"London North Centre/London-Centre-Nord"," 93B","London",Merged with No./Fusionné avec le n°97B,,,,,,,157
35052,"London North Centre/London-Centre-Nord"," 94","London",Merged with No./Fusionné avec le n°146,,,,,,,461
35052,"London North Centre/London-Centre-Nord"," 95","London",21,122,63,7,63,1,277,451
35052,"London North Centre/London-Centre-Nord"," 96A","London",Merged with No./Fusionné avec le n°93A,,,,,,,194
35052,"London North Centre/London-Centre-Nord"," 96B","London",Merged with No./Fusionné avec le n°97B,,,,,,,171
35052,"London North Centre/London-Centre-Nord"," 97A","London",Merged with No./Fusionné avec le n°93A,,,,,,,223
35052,"London North Centre/London-Centre-Nord"," 97B","London",10,33,27,3,27,0,100,188
35052,"London North Centre/London-Centre-Nord"," 98","London",10,78,71,5,44,0,208,456
35052,"London North Centre/London-Centre-Nord"," 99A","London",Merged with No./Fusionné avec le n°105A,,,,,,,179
