Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kyle Free,Mohamed Hammoud,Lindsay Mathyssen,Mattias Vanderley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35051,"London--Fanshawe/London--Fanshawe"," 207","London",15,43,52,25,0,135,316
35051,"London--Fanshawe/London--Fanshawe"," 208","London",16,74,76,44,4,214,416
35051,"London--Fanshawe/London--Fanshawe"," 209","London",20,37,62,45,0,164,360
35051,"London--Fanshawe/London--Fanshawe"," 210","London",18,38,60,36,0,152,438
35051,"London--Fanshawe/London--Fanshawe"," 211","London",9,42,63,38,0,152,389
35051,"London--Fanshawe/London--Fanshawe"," 400","London",Merged with No./Fusionné avec le n°29,,,,,,136
35051,"London--Fanshawe/London--Fanshawe"," 401","London",9,45,62,23,3,142,240
35051,"London--Fanshawe/London--Fanshawe"," 500","Mobile poll/Bureau itinérant",3,11,9,10,0,33,184
35051,"London--Fanshawe/London--Fanshawe"," 501","Mobile poll/Bureau itinérant",3,19,11,9,0,42,114
35051,"London--Fanshawe/London--Fanshawe"," 502","Mobile poll/Bureau itinérant",3,30,26,26,1,86,170
35051,"London--Fanshawe/London--Fanshawe"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°120,,,,,,54
35051,"London--Fanshawe/London--Fanshawe"," 504","Mobile poll/Bureau itinérant",2,12,13,10,2,39,104
35051,"London--Fanshawe/London--Fanshawe"," 505","Mobile poll/Bureau itinérant",2,30,21,14,1,68,249
35051,"London--Fanshawe/London--Fanshawe"," 506A","Mobile poll/Bureau itinérant",6,37,25,39,0,107,360
35051,"London--Fanshawe/London--Fanshawe"," 506B","Mobile poll/Bureau itinérant",1,20,14,12,1,48,162
35051,"London--Fanshawe/London--Fanshawe"," 600","London",78,230,328,278,11,925,
35051,"London--Fanshawe/London--Fanshawe"," 601","London",103,180,368,233,4,888,
35051,"London--Fanshawe/London--Fanshawe"," 602","London",84,168,423,218,8,901,
35051,"London--Fanshawe/London--Fanshawe"," 603","London",99,135,343,167,7,751,
35051,"London--Fanshawe/London--Fanshawe"," 604","London",84,142,488,278,11,1003,
