Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Indira Bains,Sean Carson,Anna Di Carlo,Afam Elue,Sasha Kane,James Maloney,Bill McLachlan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 168","Toronto",57,1,0,5,17,41,4,0,125,491
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 169","Toronto",35,0,0,0,18,51,5,2,111,189
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 170A","Toronto",25,0,0,5,20,69,7,1,127,515
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 170B","Toronto",Merged with No./Fusionné avec le n°169,,,,,,,,,338
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 171","Toronto",40,0,0,8,23,68,2,1,142,533
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 172","Toronto",26,0,1,2,8,27,2,0,66,235
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 400","Toronto",67,0,0,6,17,100,5,1,196,311
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 401","Toronto",58,0,0,5,17,120,9,1,210,334
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 402","Toronto",43,1,0,5,39,56,11,2,157,283
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 403","Toronto",102,0,0,3,14,136,2,1,258,412
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 404","Toronto",44,2,0,1,45,76,21,1,190,388
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 405","Toronto",63,1,2,7,47,119,17,3,259,600
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 406","Toronto",20,1,0,1,12,53,2,0,89,407
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 407","Toronto",38,1,0,4,43,87,15,5,193,477
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 408","Toronto",40,1,0,3,9,134,13,0,200,403
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 409","Toronto",25,0,1,2,17,37,2,0,84,249
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 410","Toronto",25,0,0,5,26,45,5,1,107,264
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 411A","Toronto",70,0,1,4,11,94,7,0,187,319
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 411B","Toronto",84,0,0,3,8,106,11,0,212,360
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 412A","Toronto",91,0,2,4,11,109,6,0,223,370
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 412B","Toronto",76,0,0,1,12,117,3,0,209,370
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 413","Toronto",52,0,0,6,35,87,5,1,186,363
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 414","Toronto",61,2,0,2,28,95,5,0,193,343
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore"," 415","Toronto",57,1,2,3,37,104,13,1,218,419
