Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,René-Paul Coly,Wayne Cyr,Michel Marc Lacroix,Marie-Christine Lamontagne,Jacques Palardy-Dion,Pierre Paul-Hus,Daniel Pelletier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 184","Québec",33,6,19,36,3,38,4,2,141,508
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 185","Québec",22,2,12,31,3,24,1,2,97,311
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 186","Québec",128,1,2,46,2,116,4,30,329,415
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 187","Québec",36,2,6,44,2,45,0,0,135,390
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 188","Québec",22,2,9,32,0,37,1,1,104,337
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 189","Québec",36,4,9,29,2,26,0,3,109,323
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 190","Québec",65,3,1,25,0,52,6,8,160,239
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 191","Québec",51,2,4,44,2,72,2,6,183,373
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 192","Québec",31,4,10,16,0,29,0,1,91,264
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 193","Québec",24,0,19,24,9,28,0,2,106,331
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 194","Québec",17,2,4,25,0,23,2,3,76,298
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 195","Québec",27,9,12,22,0,27,0,1,98,249
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 196","Québec",37,4,11,28,3,37,1,2,123,380
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 197","Québec",54,3,4,41,2,42,4,6,156,348
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 198","Québec",20,3,12,15,1,32,0,2,85,258
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 199","Québec",33,8,12,42,5,42,3,1,146,428
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 200","Québec",26,6,11,13,1,33,4,5,99,346
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 201","Québec",31,3,7,17,2,25,3,5,93,245
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 202","Québec",20,3,6,17,7,19,0,2,74,303
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 203","Québec",15,3,21,12,3,20,2,4,80,304
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 400","Québec",26,0,0,10,2,20,2,2,62,107
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 500","Mobile poll/Bureau itinérant",3,2,1,3,0,3,0,2,14,18
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 501","Mobile poll/Bureau itinérant",5,0,0,1,0,4,0,1,11,54
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 502","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,,22
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 503","Mobile poll/Bureau itinérant",9,0,0,6,1,5,1,0,22,26
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 504","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 505","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,,57
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 506","Mobile poll/Bureau itinérant",7,0,0,2,1,8,1,1,20,24
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 507","Mobile poll/Bureau itinérant",43,1,1,14,0,20,0,10,89,134
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 508","Mobile poll/Bureau itinérant",20,2,0,5,0,9,0,7,43,79
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 509","Mobile poll/Bureau itinérant",2,0,0,2,0,1,1,2,8,35
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 510","Mobile poll/Bureau itinérant",16,2,3,9,0,8,0,2,40,95
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 511","Mobile poll/Bureau itinérant",32,1,2,16,0,24,0,11,86,144
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 512","Mobile poll/Bureau itinérant",11,0,0,3,2,4,2,2,24,60
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 513","Mobile poll/Bureau itinérant",8,0,0,1,1,5,0,1,16,40
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 600","Québec",197,33,43,263,19,719,10,13,1297,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 601","Québec",184,31,47,322,12,666,10,24,1296,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 602","Québec",261,16,58,407,14,642,9,23,1430,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 603","Québec",333,26,63,448,14,785,10,21,1700,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 604","Québec",369,16,60,517,23,700,11,32,1728,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 605","Québec",214,14,41,277,8,415,11,9,989,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 606","Québec",321,18,59,427,12,536,5,21,1399,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 607","Québec",277,17,47,282,17,384,12,36,1072,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 608","Québec",202,11,20,182,8,320,8,16,767,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 609","Québec",265,32,61,394,23,561,17,17,1370,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 610","Québec",228,15,58,361,16,508,7,12,1205,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 611","Québec",265,28,49,311,11,575,13,27,1279,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 612","Québec",323,19,60,444,15,802,12,18,1693,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 613","Québec",223,24,53,356,15,666,6,15,1358,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 614","Québec",191,20,39,254,16,670,10,19,1219,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 615","Québec",249,54,69,423,19,1099,17,36,1966,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 616","Québec",246,32,63,303,18,967,10,24,1663,
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles",,Group 1/Groupe 1, 72,6,24,64,12,221,3,23,425,76
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles",,Group 2/Groupe 2, 310,22,68,399,16,638,5,43,1501,
