Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ajay Copp,Keiran Corrigall,Nick Debrey,Shawn Duncan,Patrick King,Ron Liepert,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48012,"Calgary Signal Hill/Calgary Signal Hill"," 61","Calgary",0,0,10,26,31,96,3,166,479
48012,"Calgary Signal Hill/Calgary Signal Hill"," 62","Calgary",6,1,8,41,25,102,2,185,462
48012,"Calgary Signal Hill/Calgary Signal Hill"," 63","Calgary",1,1,5,23,14,81,0,125,408
48012,"Calgary Signal Hill/Calgary Signal Hill"," 64","Calgary",1,2,9,27,27,68,0,134,362
48012,"Calgary Signal Hill/Calgary Signal Hill"," 65","Calgary",1,5,5,29,29,55,1,125,337
48012,"Calgary Signal Hill/Calgary Signal Hill"," 66","Calgary",3,9,6,35,36,58,1,148,373
48012,"Calgary Signal Hill/Calgary Signal Hill"," 67","Calgary",2,3,11,18,27,87,1,149,390
48012,"Calgary Signal Hill/Calgary Signal Hill"," 68","Calgary",2,5,7,28,10,97,1,150,395
48012,"Calgary Signal Hill/Calgary Signal Hill"," 69","Calgary",0,0,9,43,21,78,2,153,427
48012,"Calgary Signal Hill/Calgary Signal Hill"," 70","Calgary",2,3,4,47,25,118,0,199,586
48012,"Calgary Signal Hill/Calgary Signal Hill"," 71","Calgary",5,1,12,36,17,137,0,208,640
48012,"Calgary Signal Hill/Calgary Signal Hill"," 72A","Calgary",2,1,1,26,4,86,0,120,386
48012,"Calgary Signal Hill/Calgary Signal Hill"," 72B","Calgary",1,3,4,21,10,74,0,113,373
48012,"Calgary Signal Hill/Calgary Signal Hill"," 73","Calgary",1,3,5,45,29,128,1,212,528
48012,"Calgary Signal Hill/Calgary Signal Hill"," 74","Calgary",1,0,2,45,23,117,0,188,440
48012,"Calgary Signal Hill/Calgary Signal Hill"," 75","Calgary",0,0,3,29,19,68,0,119,340
48012,"Calgary Signal Hill/Calgary Signal Hill"," 76","Calgary",6,0,3,39,20,93,0,161,462
48012,"Calgary Signal Hill/Calgary Signal Hill"," 77","Calgary",1,0,1,22,9,66,0,99,321
48012,"Calgary Signal Hill/Calgary Signal Hill"," 78","Calgary",2,1,7,41,27,100,0,178,605
48012,"Calgary Signal Hill/Calgary Signal Hill"," 79","Calgary",1,3,5,27,20,64,0,120,431
48012,"Calgary Signal Hill/Calgary Signal Hill"," 80","Calgary",0,4,7,26,28,39,1,105,322
48012,"Calgary Signal Hill/Calgary Signal Hill"," 81","Calgary",0,5,7,35,34,52,0,133,412
48012,"Calgary Signal Hill/Calgary Signal Hill"," 82","Calgary",1,2,12,25,28,80,0,148,452
48012,"Calgary Signal Hill/Calgary Signal Hill"," 83","Calgary",3,0,7,25,12,76,1,124,449
48012,"Calgary Signal Hill/Calgary Signal Hill"," 84","Calgary",2,3,9,30,15,98,0,157,489
48012,"Calgary Signal Hill/Calgary Signal Hill"," 85","Calgary",2,2,4,27,19,88,1,143,466
48012,"Calgary Signal Hill/Calgary Signal Hill"," 86","Calgary",0,2,4,14,6,91,0,117,424
48012,"Calgary Signal Hill/Calgary Signal Hill"," 87","Calgary",2,1,10,16,7,104,0,140,528
48012,"Calgary Signal Hill/Calgary Signal Hill"," 88","Calgary",5,0,10,23,10,79,0,127,453
48012,"Calgary Signal Hill/Calgary Signal Hill"," 89","Calgary",1,6,7,25,36,62,0,137,344
48012,"Calgary Signal Hill/Calgary Signal Hill"," 90","Calgary",6,15,11,37,20,107,1,197,392
48012,"Calgary Signal Hill/Calgary Signal Hill"," 91","Calgary",1,3,2,23,25,78,1,133,347
48012,"Calgary Signal Hill/Calgary Signal Hill"," 92","Calgary",3,12,15,37,29,91,0,187,457
48012,"Calgary Signal Hill/Calgary Signal Hill"," 93","Calgary",2,6,16,39,30,77,0,170,387
48012,"Calgary Signal Hill/Calgary Signal Hill"," 94","Calgary",2,5,7,32,36,69,0,151,402
48012,"Calgary Signal Hill/Calgary Signal Hill"," 95","Calgary",0,2,11,33,35,63,0,144,478
48012,"Calgary Signal Hill/Calgary Signal Hill"," 96","Calgary",0,5,13,42,33,76,2,171,452
48012,"Calgary Signal Hill/Calgary Signal Hill"," 97","Calgary",1,5,6,31,42,75,1,161,395
48012,"Calgary Signal Hill/Calgary Signal Hill"," 98","Calgary",0,9,3,31,34,97,0,174,392
48012,"Calgary Signal Hill/Calgary Signal Hill"," 99","Calgary",0,1,12,32,33,106,1,185,437
48012,"Calgary Signal Hill/Calgary Signal Hill"," 100","Calgary",5,3,3,40,20,87,3,161,386
48012,"Calgary Signal Hill/Calgary Signal Hill"," 101","Calgary",2,1,7,23,13,74,3,123,404
48012,"Calgary Signal Hill/Calgary Signal Hill"," 102","Calgary",2,0,5,37,20,85,1,150,398
48012,"Calgary Signal Hill/Calgary Signal Hill"," 103","Calgary",1,2,7,47,41,100,2,200,473
48012,"Calgary Signal Hill/Calgary Signal Hill"," 104","Calgary",0,1,1,23,25,63,0,113,412
48012,"Calgary Signal Hill/Calgary Signal Hill"," 105","Calgary",1,0,4,17,13,71,1,107,373
48012,"Calgary Signal Hill/Calgary Signal Hill"," 106","Calgary",1,5,2,27,18,58,0,111,398
48012,"Calgary Signal Hill/Calgary Signal Hill"," 107","Calgary",0,1,5,23,19,67,0,115,405
48012,"Calgary Signal Hill/Calgary Signal Hill"," 108","Calgary",2,0,5,13,14,109,0,143,398
48012,"Calgary Signal Hill/Calgary Signal Hill"," 109","Calgary",1,2,5,38,16,71,0,133,436
48012,"Calgary Signal Hill/Calgary Signal Hill"," 110","Calgary",0,0,2,30,18,69,0,119,368
48012,"Calgary Signal Hill/Calgary Signal Hill"," 111","Calgary",1,3,5,25,21,81,0,136,412
48012,"Calgary Signal Hill/Calgary Signal Hill"," 112","Calgary",0,1,6,25,17,90,0,139,476
48012,"Calgary Signal Hill/Calgary Signal Hill"," 113","Calgary",4,5,6,30,22,69,2,138,443
48012,"Calgary Signal Hill/Calgary Signal Hill"," 114","Calgary",1,7,7,23,38,69,0,145,422
48012,"Calgary Signal Hill/Calgary Signal Hill"," 115","Calgary",2,5,5,19,15,55,0,101,320
48012,"Calgary Signal Hill/Calgary Signal Hill"," 116","Calgary",0,1,3,26,22,71,0,123,369
48012,"Calgary Signal Hill/Calgary Signal Hill"," 117","Calgary",0,2,7,41,44,85,0,179,470
48012,"Calgary Signal Hill/Calgary Signal Hill"," 118","Calgary",1,1,14,25,20,64,0,125,354
48012,"Calgary Signal Hill/Calgary Signal Hill"," 119","Calgary",1,6,19,32,33,47,1,139,467
48012,"Calgary Signal Hill/Calgary Signal Hill"," 120","Calgary",1,9,6,22,33,44,1,116,358
48012,"Calgary Signal Hill/Calgary Signal Hill"," 121","Calgary",0,4,15,46,19,47,1,132,452
48012,"Calgary Signal Hill/Calgary Signal Hill"," 122","Calgary",0,0,7,33,35,47,2,124,391
48012,"Calgary Signal Hill/Calgary Signal Hill"," 123","Calgary",2,4,2,26,29,82,2,147,331
48012,"Calgary Signal Hill/Calgary Signal Hill"," 124","Calgary",2,4,9,64,32,57,0,168,498
48012,"Calgary Signal Hill/Calgary Signal Hill"," 125","Calgary",1,4,10,45,62,83,0,205,497
48012,"Calgary Signal Hill/Calgary Signal Hill"," 126","Calgary",2,2,9,44,31,107,1,196,556
48012,"Calgary Signal Hill/Calgary Signal Hill"," 127","Calgary",2,1,11,35,45,82,0,176,432
