Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Luc Bertrand,Jean Collette,Claude Debellefeuille,Linda Gallant,Joan Gottman,Marcel Goyette,Nicolas Thivierge,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24071,"Salaberry--Suroît/Salaberry--Suroît"," 110","Salaberry-de-Valleyfield",0,4,45,34,14,1,2,4,104,368
24071,"Salaberry--Suroît/Salaberry--Suroît"," 111","Salaberry-de-Valleyfield",1,9,40,29,13,1,6,5,104,351
24071,"Salaberry--Suroît/Salaberry--Suroît"," 112","Salaberry-de-Valleyfield",0,7,36,13,2,0,6,0,64,338
24071,"Salaberry--Suroît/Salaberry--Suroît"," 113","Salaberry-de-Valleyfield",0,0,34,10,9,2,4,4,63,349
24071,"Salaberry--Suroît/Salaberry--Suroît"," 114","Salaberry-de-Valleyfield",1,2,51,17,14,3,8,9,105,386
24071,"Salaberry--Suroît/Salaberry--Suroît"," 115","Salaberry-de-Valleyfield",0,11,54,17,6,0,4,0,92,349
24071,"Salaberry--Suroît/Salaberry--Suroît"," 116","Salaberry-de-Valleyfield",1,11,58,18,8,1,6,5,108,384
24071,"Salaberry--Suroît/Salaberry--Suroît"," 117","Les Coteaux",1,9,102,38,18,3,11,4,186,452
24071,"Salaberry--Suroît/Salaberry--Suroît"," 118","Les Coteaux",3,9,72,36,17,3,11,5,156,417
24071,"Salaberry--Suroît/Salaberry--Suroît"," 119","Les Coteaux",1,12,73,42,15,2,8,4,157,337
24071,"Salaberry--Suroît/Salaberry--Suroît"," 120","Les Coteaux",2,18,106,38,11,1,5,4,185,497
24071,"Salaberry--Suroît/Salaberry--Suroît"," 121","Les Coteaux",0,13,108,56,13,0,6,3,199,439
24071,"Salaberry--Suroît/Salaberry--Suroît"," 122","Les Coteaux",1,20,83,46,13,0,1,1,165,384
24071,"Salaberry--Suroît/Salaberry--Suroît"," 123","Les Coteaux",0,19,71,29,13,1,8,4,145,395
24071,"Salaberry--Suroît/Salaberry--Suroît"," 124","Les Coteaux",2,18,60,28,8,2,7,2,127,365
24071,"Salaberry--Suroît/Salaberry--Suroît"," 125","Les Coteaux",1,21,65,50,21,3,10,0,171,543
24071,"Salaberry--Suroît/Salaberry--Suroît"," 126","Les Coteaux",0,7,33,18,9,2,3,0,72,263
24071,"Salaberry--Suroît/Salaberry--Suroît"," 127","Les Coteaux",0,4,42,24,9,0,10,2,91,261
24071,"Salaberry--Suroît/Salaberry--Suroît"," 128","Salaberry-de-Valleyfield",0,3,79,48,12,20,12,8,182,447
24071,"Salaberry--Suroît/Salaberry--Suroît"," 129","Salaberry-de-Valleyfield",2,16,90,33,11,2,6,8,168,442
24071,"Salaberry--Suroît/Salaberry--Suroît"," 130","Salaberry-de-Valleyfield",2,10,86,23,10,1,4,2,138,481
24071,"Salaberry--Suroît/Salaberry--Suroît"," 131A","Salaberry-de-Valleyfield",0,9,49,15,10,0,5,1,89,298
24071,"Salaberry--Suroît/Salaberry--Suroît"," 131B","Salaberry-de-Valleyfield",1,13,62,19,9,2,5,2,113,358
24071,"Salaberry--Suroît/Salaberry--Suroît"," 132","Salaberry-de-Valleyfield",0,8,71,26,11,1,6,0,123,384
