Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wayne Allan,Frank Caputo,Iain Currie,Corally Delwo,Jesse McCormick,Bob O'Brien,Bill Sundhu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 166","Kamloops",1,44,15,11,42,2,84,0,199,491
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 167","Kamloops",0,45,6,2,36,0,53,0,142,429
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 168A","Kamloops",0,53,8,4,17,0,50,0,132,461
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 168B","Kamloops",0,50,11,2,21,0,59,1,144,437
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 169","Kamloops",0,36,11,2,26,2,70,0,147,466
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 170","Kamloops",0,87,11,8,63,2,54,2,227,551
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 171","Kamloops",0,38,6,3,25,0,68,0,140,397
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 172","Kamloops",0,50,4,6,31,0,41,0,132,426
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 173","Kamloops",0,46,7,12,32,0,65,1,163,412
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 174","Kamloops",1,65,7,2,27,1,66,0,169,484
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 175","Kamloops",0,61,8,6,25,0,61,0,161,506
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 176","Kamloops",0,68,11,7,40,0,103,0,229,438
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 177","Kamloops",Merged with No./Fusionné avec le n°176,,,,,,,,,205
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 178","Kamloops",0,68,5,8,51,0,49,0,181,601
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 179","Kamloops",0,49,7,2,35,0,36,0,129,347
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 180","Kamloops",0,41,6,5,38,0,60,0,150,364
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 181","Kamloops",0,66,2,4,27,0,41,1,141,393
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 182","Kamloops",0,87,7,9,26,0,33,0,162,422
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 183","Kamloops",1,61,19,4,42,0,80,0,207,479
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo"," 184","Kamloops",0,73,5,2,41,0,67,0,188,428
