Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Ras,Elizabeth Robertson,Vahid Seyfaie,Sven Spengemann,Kayleigh Tahk,Sarah Walji,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 162","Mississauga",80,8,10,94,0,37,1,230,542
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 163","Mississauga",43,0,6,42,0,22,3,116,339
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 164","Mississauga",43,4,8,59,0,35,2,151,452
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 165","Mississauga",49,7,10,66,0,42,2,176,489
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 166","Mississauga",25,7,4,50,1,15,0,102,317
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 167","Mississauga",55,5,6,67,0,17,0,150,459
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 168","Mississauga",49,2,5,78,0,30,0,164,428
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 169","Mississauga",36,2,5,68,0,21,0,132,394
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 170","Mississauga",41,7,8,45,0,20,0,121,457
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 171","Mississauga",26,0,2,31,0,14,0,73,284
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 172","Mississauga",38,1,1,47,0,9,3,99,441
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 173","Mississauga",33,4,6,50,0,19,0,112,464
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 174","Mississauga",53,3,5,51,0,21,1,134,385
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 175","Mississauga",66,6,6,51,0,29,0,158,378
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 176","Mississauga",65,7,15,46,0,21,0,154,386
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 177","Mississauga",73,4,18,89,0,21,0,205,441
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 178","Mississauga",29,4,8,27,1,18,2,89,352
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 179","Mississauga",38,4,9,47,1,22,0,121,453
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 180","Mississauga",61,1,5,55,0,26,0,148,474
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 181","Mississauga",81,3,0,63,0,15,0,162,445
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 182","Mississauga",47,3,1,60,0,17,1,129,413
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 183","Mississauga",64,2,7,68,0,17,2,160,526
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 184","Mississauga",67,4,2,33,0,3,0,109,340
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 185","Mississauga",51,6,14,74,1,22,0,168,429
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 186","Mississauga",43,2,7,48,0,15,0,115,314
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 187","Mississauga",51,2,4,70,0,22,0,149,504
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 188","Mississauga",66,5,3,56,2,21,0,153,370
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 189","Mississauga",51,4,3,52,0,13,0,123,369
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 190","Mississauga",62,5,3,75,0,18,0,163,358
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 191","Mississauga",60,3,14,73,0,34,0,184,506
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 192","Mississauga",66,5,9,81,0,38,1,200,495
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 193","Mississauga",11,1,4,27,0,9,0,52,361
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 400","Mississauga",83,3,8,135,0,19,0,248,355
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 401","Mississauga",54,5,10,117,1,25,1,213,338
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 402","Mississauga",70,1,10,101,0,43,0,225,350
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 403","Mississauga",37,6,10,107,0,24,0,184,271
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 404","Mississauga",51,3,19,47,0,18,3,141,263
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 405","Mississauga",23,4,4,29,0,6,2,68,265
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 406","Mississauga",23,1,5,24,1,11,0,65,254
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 407","Mississauga",35,2,7,48,0,14,1,107,261
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 408","Mississauga",25,3,8,62,0,20,0,118,301
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 409","Mississauga",34,1,2,101,0,17,1,156,431
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 410","Mississauga",18,2,4,52,0,7,1,84,253
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 411","Mississauga",35,3,9,70,0,8,2,127,342
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 412","Mississauga",21,0,5,42,0,8,1,77,253
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 413","Mississauga",37,3,1,63,0,9,2,115,184
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 414","Mississauga",15,1,2,27,0,3,4,52,101
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 415","Mississauga",44,3,9,45,0,10,0,111,226
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 416","Mississauga",38,5,10,34,0,20,0,107,328
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 417","Mississauga",21,0,5,29,0,4,2,61,92
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 418","Mississauga",22,3,1,39,0,11,1,77,165
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 419","Mississauga",30,1,4,47,0,12,1,95,232
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 420","Mississauga",43,4,4,65,0,5,2,123,174
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 421","Mississauga",45,4,7,115,0,27,4,202,325
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 422","Mississauga",32,2,0,61,0,1,0,96,140
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 423","Mississauga",57,4,6,94,1,13,1,176,299
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 424","Mississauga",26,2,6,42,0,15,0,91,315
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 425","Mississauga",25,7,5,52,0,18,0,107,201
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 426","Mississauga",18,3,6,47,0,7,0,81,147
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 427","Mississauga",32,4,6,41,0,25,1,109,380
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 428","Mississauga",68,1,7,130,1,18,2,227,352
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 500","Mobile poll/Bureau itinérant",8,6,2,12,0,4,1,33,127
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 501","Mississauga",Merged with No./Fusionné avec le n°48,,,,,,,,2
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 502","Mobile poll/Bureau itinérant",30,4,2,42,1,3,1,83,143
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 503","Mobile poll/Bureau itinérant",4,0,0,4,0,1,0,9,36
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 504","Mobile poll/Bureau itinérant",15,1,1,17,0,1,1,36,56
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 505","Mississauga",Merged with No./Fusionné avec le n°129,,,,,,,,9
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 506","Mobile poll/Bureau itinérant",7,0,0,9,0,1,0,17,47
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 507","Mobile poll/Bureau itinérant",7,6,1,15,1,4,4,38,157
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 508","Mobile poll/Bureau itinérant",12,2,0,19,0,1,1,35,65
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 509","Mobile poll/Bureau itinérant",20,2,1,24,0,2,1,50,94
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 510","Mobile poll/Bureau itinérant",3,2,0,20,0,2,3,30,102
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 600","Mississauga",426,16,58,490,1,71,5,1067,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 601","Mississauga",571,31,77,599,1,126,11,1416,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 602","Mississauga",489,27,60,574,2,87,8,1247,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 603","Mississauga",664,27,94,761,4,122,3,1675,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 604","Mississauga",356,14,30,416,1,73,4,894,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 605","Mississauga",613,15,27,527,4,60,2,1248,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 606","Mississauga",473,28,43,525,1,100,4,1174,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 607","Mississauga",605,36,61,639,3,96,3,1443,
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 608","Mississauga",768,10,37,553,1,51,9,1429,
