Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Owen Bradley,Kevin Dupuis,Carlene Hawley,Tim Louis,Narine Dat Sookram,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 605","Wellesley",17,77,410,217,48,6,775,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 606","Wellesley",26,127,524,407,95,3,1182,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 607","Baden",37,86,531,422,110,4,1190,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 608","New Hamburg",50,128,695,576,139,3,1591,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 609","New Hamburg",30,41,435,502,50,7,1065,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 610","New Dundee",25,54,364,238,42,2,725,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 611","Kitchener",19,89,386,642,125,7,1268,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 612","Kitchener",50,122,379,629,144,8,1332,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 613","Kitchener",43,98,349,551,134,4,1179,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 614","Kitchener",35,88,435,666,104,10,1338,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 615","Kitchener",20,82,318,378,93,1,892,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 616","Kitchener",19,84,317,422,107,2,951,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 617","Kitchener",32,75,403,451,70,2,1033,
35046,"Kitchener--Conestoga/Kitchener--Conestoga",,Group 1/Groupe 1, 13,22,146,179,78,25,463,181
35046,"Kitchener--Conestoga/Kitchener--Conestoga",,Group 2/Groupe 2, 46,51,499,833,165,35,1629,
