Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Katerina Anastasiadis,Kimberly Brundell,Laura Dupont,Ron McKinnon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 87","Coquitlam",44,14,38,59,3,158,560
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 88","Coquitlam",32,6,25,65,0,128,591
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 89","Coquitlam",26,1,31,48,0,106,419
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 90","Coquitlam",24,8,36,48,0,116,436
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 91","Coquitlam",29,3,37,45,2,116,374
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 92","Coquitlam",41,4,29,56,0,130,420
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 93","Coquitlam",47,4,54,104,0,209,763
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 94","Coquitlam",29,6,24,71,1,131,537
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 95","Coquitlam",22,3,27,40,0,92,376
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 96","Coquitlam",65,8,79,165,0,317,1161
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 97","Coquitlam",45,4,38,57,1,145,514
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 98","Port Coquitlam",40,15,46,68,2,171,532
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 99","Port Coquitlam",49,13,54,58,2,176,571
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 100","Port Coquitlam",53,7,62,68,1,191,441
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 101","Port Coquitlam",31,2,47,43,1,124,435
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 102","Port Coquitlam",36,9,35,52,1,133,452
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 103","Port Coquitlam",64,4,57,72,1,198,524
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 104","Coquitlam",64,11,25,73,0,173,485
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 105","Coquitlam",59,2,48,65,1,175,515
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 106","Port Coquitlam",51,6,76,44,2,179,415
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 107","Coquitlam",82,6,53,73,0,214,611
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 108","Port Coquitlam",59,9,64,56,0,188,481
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 109","Port Coquitlam",52,9,53,45,1,160,424
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 110","Port Coquitlam",42,8,58,58,0,166,426
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 111","Port Coquitlam",42,3,43,53,1,142,385
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 112","Port Coquitlam",44,8,43,37,0,132,399
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 113","Port Coquitlam",46,12,60,59,0,177,469
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 114","Port Coquitlam",48,4,64,54,2,172,611
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 115","Port Coquitlam",50,11,76,58,2,197,465
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 116","Port Coquitlam",53,13,69,93,0,228,481
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 117","Port Coquitlam",39,2,53,50,0,144,412
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 118","Port Coquitlam",49,10,74,55,0,188,507
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 119","Port Coquitlam",55,6,60,49,0,170,449
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 120","Port Coquitlam",49,11,64,39,1,164,463
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 121","Port Coquitlam",49,5,75,56,0,185,481
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 122","Port Coquitlam",41,15,65,45,0,166,468
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 123","Port Coquitlam",42,9,68,62,1,182,542
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 124","Port Coquitlam",40,11,75,62,2,190,560
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 125","Port Coquitlam",52,3,82,72,1,210,555
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 126","Port Coquitlam",56,10,82,75,1,224,496
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 127","Port Coquitlam",31,5,65,62,2,165,429
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 128","Port Coquitlam",54,11,75,54,2,196,527
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 129","Port Coquitlam",54,11,67,79,3,214,503
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 130","Port Coquitlam",60,14,92,110,2,278,607
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 131","Port Coquitlam",Merged with No./Fusionné avec le n°132,,,,,,330
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 132","Port Coquitlam",55,16,65,74,2,212,418
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 133","Port Coquitlam",32,8,40,55,1,136,507
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 134","Port Coquitlam",34,5,58,50,0,147,579
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 135","Port Coquitlam",60,5,59,43,2,169,515
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 136","Port Coquitlam",43,13,63,70,2,191,490
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 137","Port Coquitlam",61,6,52,87,1,207,427
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 138","Port Coquitlam",51,11,84,66,2,214,467
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 139","Port Coquitlam",58,14,70,71,4,217,548
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 140","Port Coquitlam",38,8,53,60,0,159,449
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 141","Port Coquitlam",39,9,53,39,0,140,423
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 142","Port Coquitlam",Merged with No./Fusionné avec le n°144,,,,,,403
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 143","Port Coquitlam",43,5,60,35,1,144,441
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 144","Port Coquitlam",47,3,67,70,0,187,346
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 145","Port Coquitlam",33,10,65,50,1,159,561
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 146","Port Coquitlam",54,7,73,50,0,184,457
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 147","Port Coquitlam",35,5,63,44,0,147,408
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 148","Port Coquitlam",56,7,57,40,0,160,391
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 149","Port Coquitlam",56,4,43,88,1,192,532
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 150","Port Coquitlam",49,2,45,63,3,162,463
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 151","Port Coquitlam",66,5,44,77,1,193,583
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 152","Port Coquitlam",72,7,98,92,0,269,662
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 153","Port Coquitlam",39,16,57,43,0,155,570
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 154","Port Coquitlam",60,8,67,78,1,214,438
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 155","Port Coquitlam",45,8,72,93,2,220,475
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 156","Port Coquitlam",32,5,40,64,1,142,385
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 157","Port Coquitlam",31,13,80,72,0,196,530
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 158","Port Coquitlam",70,18,74,96,1,259,587
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 159","Port Coquitlam",40,12,62,54,1,169,420
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 160","Port Coquitlam",57,11,66,57,0,191,453
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 161","Port Coquitlam",67,8,62,79,0,216,540
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 162","Port Coquitlam",53,20,61,58,0,192,445
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 163","Port Coquitlam",55,10,71,70,1,207,497
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 164","Port Coquitlam",85,8,82,65,1,241,496
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 165","Port Coquitlam",87,12,81,77,1,258,447
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 166","Port Coquitlam",42,2,24,52,0,120,360
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 167","Port Coquitlam",67,7,50,70,0,194,405
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 168","Port Coquitlam",77,3,48,80,0,208,573
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 169","Port Coquitlam",52,6,47,86,1,192,451
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 170","Port Coquitlam",58,8,42,56,0,164,592
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 171","Port Coquitlam",44,10,29,56,1,140,392
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 172","Port Coquitlam",63,4,51,43,0,161,608
