Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tyler Beauchamp,Travis Calliou,Hugo Charles,Mike Lake,Ron Thiering,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 214","Millet",43,0,38,213,11,1,306,379
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 215","Millet--Rolly View",Merged with No./Fusionné avec le n°222,,,,,,,282
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 216","Millet",29,1,29,109,13,0,181,485
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 217","Millet",20,0,28,125,11,2,186,485
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 218","Millet",Merged with No./Fusionné avec le n°219,,,,,,,393
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 219","Millet",38,2,52,196,21,5,314,416
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 220","Millet",31,0,28,124,6,0,189,425
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 221","Millet",17,3,46,160,6,0,232,473
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 222","Millet",37,2,19,177,19,0,254,323
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 223","Ma-Me-O Beach",23,1,56,81,20,2,183,540
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 224","Lakedell",20,2,22,111,10,0,165,489
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 225","Falun",Void/Supprimé,,,,,,,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 226","Usona",21,1,15,115,5,0,157,311
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 227","Falun",46,2,14,155,5,0,222,513
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 228","Gwynne",32,0,29,129,3,1,194,435
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 229","Wetaskiwin",16,1,13,107,9,0,146,396
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 230","Wetaskiwin",Void/Supprimé,,,,,,,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 231","Wetaskiwin",24,1,65,169,20,0,279,787
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 232","Wetaskiwin",24,2,57,216,20,3,322,494
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 233","Wetaskiwin",Merged with No./Fusionné avec le n°232,,,,,,,350
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 234","Wetaskiwin",21,4,37,113,8,0,183,491
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 235","Wetaskiwin",Void/Supprimé,,,,,,,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 236","Wetaskiwin",34,2,32,139,10,2,219,597
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 237","Wetaskiwin",7,0,12,82,5,0,106,370
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 238","Wetaskiwin",46,2,80,143,15,2,288,449
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 239","Wetaskiwin",Merged with No./Fusionné avec le n°238,,,,,,,357
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 240","Wetaskiwin",35,1,57,137,31,1,262,419
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 241","Wetaskiwin",Merged with No./Fusionné avec le n°240,,,,,,,356
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 242","Wetaskiwin",29,0,28,79,9,0,145,464
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 243","Wetaskiwin",10,0,30,34,9,0,83,388
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 244","Wetaskiwin",Merged with No./Fusionné avec le n°245,,,,,,,342
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 245","Wetaskiwin",26,2,44,99,14,2,187,382
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 246","Wetaskiwin County No. 10",22,1,28,100,15,1,167,419
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 247","Wetaskiwin",15,1,36,81,8,0,141,438
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 248","Wetaskiwin",20,0,35,80,11,0,146,460
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 249","Wetaskiwin",16,0,27,94,13,0,150,468
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 250","Wetaskiwin",24,0,16,79,9,0,128,401
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 251","Wetaskiwin",11,0,27,73,10,0,121,385
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 252","Wetaskiwin",21,1,46,115,21,1,205,382
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 253","Wetaskiwin",Merged with No./Fusionné avec le n°252,,,,,,,274
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 254","Angus Ridge",Void/Supprimé,,,,,,,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 255","Malmo",38,4,15,185,7,0,249,480
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 500","Mobile poll/Bureau itinérant",0,2,5,23,11,2,43,77
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 501","Mobile poll/Bureau itinérant",2,0,0,5,4,2,13,18
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 502","Mobile poll/Bureau itinérant",1,2,3,19,6,2,33,55
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 503","Mobile poll/Bureau itinérant",1,0,1,4,0,2,8,19
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°142,,,,,,,88
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 505","Mobile poll/Bureau itinérant",2,1,5,32,6,3,49,83
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 506","Mobile poll/Bureau itinérant",1,0,1,11,5,5,23,31
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 507","Mobile poll/Bureau itinérant",3,1,2,41,5,1,53,81
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 508","Mobile poll/Bureau itinérant",0,0,3,18,2,2,25,51
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 509","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°237,,,,,,,38
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 510","Mobile poll/Bureau itinérant",3,0,0,21,1,0,25,34
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 511","Mobile poll/Bureau itinérant",0,0,3,8,2,1,14,25
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 512","Mobile poll/Bureau itinérant",2,0,3,35,3,0,43,74
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 513","Mobile poll/Bureau itinérant",0,1,4,36,9,2,52,74
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 514","Mobile poll/Bureau itinérant",1,0,8,55,17,1,82,123
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 515","Wetaskiwin",Merged with No./Fusionné avec le n°247,,,,,,,18
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 516","Mobile poll/Bureau itinérant",3,1,0,5,0,0,9,18
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 517","Mobile poll/Bureau itinérant",1,0,1,22,4,0,28,50
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 518","Mobile poll/Bureau itinérant",2,1,1,9,6,1,20,42
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 519","Mobile poll/Bureau itinérant",2,0,2,9,9,0,22,51
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 520","Mobile poll/Bureau itinérant",Results combined with no. 219/Résultats combinés au n° 219,,,,,,,11
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 521","Mobile poll/Bureau itinérant",1,0,2,5,0,0,8,8
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 522","Mobile poll/Bureau itinérant",3,1,11,45,25,3,88,115
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 600","Edmonton",137,1,531,1071,433,9,2182,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 601","Edmonton",92,2,391,673,324,5,1487,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 602","Edmonton",61,2,234,566,255,20,1138,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 603","Edmonton",88,3,388,647,318,11,1455,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 604","Edmonton",55,2,290,696,329,3,1375,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 605","Edmonton",78,0,309,483,229,10,1109,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 606","Edmonton",82,1,301,522,247,8,1161,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 607","Edmonton",95,5,502,833,365,8,1808,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 608","Beaumont--Leduc County",161,2,269,1013,114,6,1565,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 609","Beaumont",123,0,267,911,120,2,1423,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 610","Beaumont",104,3,215,719,95,2,1138,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 611","Leduc County",93,2,75,629,38,3,840,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 612","Devon",188,11,292,1124,103,7,1725,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 613","Leduc",139,4,233,1042,96,10,1524,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 614","Leduc",173,4,273,1119,107,7,1683,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 615","Leduc",160,10,218,882,108,15,1393,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 616","Leduc",200,6,208,1125,69,5,1613,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 617","Calmar",130,10,75,652,25,1,893,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 618","Millet",156,17,134,942,62,2,1313,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 619","Wetaskiwin",103,5,138,828,85,4,1163,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 620","Wetaskiwin",102,3,121,450,49,3,728,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 621","Wetaskiwin",111,7,143,755,71,5,1092,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 622","Mulhurst--Westerose--Fallon",112,10,88,738,40,0,988,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin"," 623","Winfield--Buck Lake",77,3,38,392,11,0,521,
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin",,Group 1/Groupe 1, 109,3,222,858,220,62,1474,198
48021,"Edmonton--Wetaskiwin/Edmonton--Wetaskiwin",,Group 2/Groupe 2, 118,12,500,949,341,78,1998,
