Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Massimo Anania,Mario Beaulieu,Jonathan Desclin,Jonas Fadeu,Agnès Falquet,Charles Phillippe Gervais,Genevieve Royer,Alexandre Vallerand,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 532","Montréal",Merged with No./Fusionné avec le n°45,,,,,,,,,,10
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 533","Mobile poll/Bureau itinérant",Results combined with no. 529/Résultats combinés au n° 529,,,,,,,,,,33
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 600","Montréal",55,504,7,163,9,1,0,48,19,806,
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 601","Montréal",34,346,14,139,5,1,0,31,10,580,
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 602","Montréal",68,784,25,308,10,1,0,76,23,1295,
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 603","Montréal",115,845,22,355,10,6,4,72,31,1460,
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 604","Montréal",53,422,13,201,4,1,2,33,13,742,
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 605","Montréal",111,1042,25,435,17,9,6,89,46,1780,
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 606","Montréal",54,383,11,155,7,4,3,29,16,662,
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 607","Montréal--Montréal-Est",92,581,24,307,7,3,1,65,25,1105,
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 608","Montréal",75,498,21,439,7,1,1,73,12,1127,
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 609","Montréal",48,517,25,263,5,6,1,54,28,947,
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 610","Montréal",38,249,15,118,5,3,0,26,8,462,
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 611","Montréal",73,575,19,299,10,7,2,93,31,1109,
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 612","Montréal",94,513,26,364,19,6,2,77,22,1123,
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 613","Montréal",67,541,19,297,4,2,3,111,26,1070,
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 614","Montréal",44,305,7,141,6,4,1,56,6,570,
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 615","Montréal",93,473,16,363,16,5,3,88,10,1067,
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île",,Group 1/Groupe 1, 28,96,8,107,2,0,2,38,22,303,105
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île",,Group 2/Groupe 2, 63,801,19,346,9,2,3,103,65,1411,
