Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alexandre Boulerice,Gisèle Desrochers,Nancy Drolet,Franco Fiori,Surelys Perez Hernandez,Shophika Vaithyanathasarma,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 508","Mobile poll/Bureau itinérant",7,2,26,0,3,2,5,45,81
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 509","Mobile poll/Bureau itinérant",1,0,12,1,4,3,0,21,91
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 510","Mobile poll/Bureau itinérant",4,2,7,1,0,3,1,18,26
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 511","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°130,,,,,,,,41
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 512","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°151,,,,,,,,138
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 513","Mobile poll/Bureau itinérant",2,1,14,1,3,5,0,26,81
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 514","Mobile poll/Bureau itinérant",54,0,128,1,12,60,15,270,397
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 515","Mobile poll/Bureau itinérant",5,2,19,0,3,11,6,46,87
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 516","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°96A,,,,,,,,11
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 600","Montréal",347,6,226,13,43,248,12,895,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 601","Montréal",440,3,298,19,44,335,14,1153,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 602","Montréal",379,4,225,6,39,292,16,961,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 603","Montréal",568,2,294,25,56,384,29,1358,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 604","Montréal",624,3,283,17,41,377,20,1365,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 605","Montréal",565,2,220,22,39,334,17,1199,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 606","Montréal",477,3,318,17,68,327,11,1221,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 607","Montréal",290,0,210,9,24,184,9,726,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 608","Montréal",413,5,115,10,20,246,9,818,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 609","Montréal",612,7,184,21,28,253,19,1124,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 610","Montréal",516,3,196,22,26,228,12,1003,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 611","Montréal",714,4,180,19,46,246,18,1227,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 612","Montréal",452,4,147,20,31,185,15,854,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 613","Montréal",528,12,217,22,35,185,24,1023,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 614","Montréal",418,3,154,25,50,109,6,765,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 615","Montréal",558,3,226,19,45,218,112,1181,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 616","Montréal",411,2,266,9,46,282,10,1026,
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie",,Group 1/Groupe 1, 296,3,120,15,16,70,24,544,289
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie",,Group 2/Groupe 2, 757,7,410,16,55,326,20,1591,
