Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joyce Bateman,Jim Carr,Douglas Hemmerling,Julia Riddell,Cam Scott,Chase Wells,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 97","Winnipeg",26,84,14,78,1,16,2,221,520
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 98","Winnipeg",22,58,6,61,0,10,3,160,418
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 99A","Winnipeg",28,32,1,6,0,4,1,72,237
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 99B","Winnipeg",19,35,1,12,1,5,2,75,166
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 100","Winnipeg",29,49,3,39,0,2,0,122,348
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 101","Winnipeg",25,52,7,32,0,11,0,127,386
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 102","Winnipeg",42,83,12,55,1,1,3,197,503
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 103","Winnipeg",40,64,5,36,2,0,3,150,565
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 104","Winnipeg",16,34,4,23,0,2,0,79,342
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 105","Winnipeg",19,40,3,29,1,4,1,97,383
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 106","Winnipeg",38,45,0,31,0,7,3,124,358
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 107","Winnipeg",45,71,2,12,0,6,0,136,451
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 108","Winnipeg",43,64,3,32,0,6,1,149,586
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 109","Winnipeg",50,52,1,6,0,1,0,110,448
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 110","Winnipeg",57,25,2,10,0,1,0,95,298
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 111","Winnipeg",78,47,0,10,0,0,0,135,389
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 112","Winnipeg",35,49,1,21,1,2,0,109,509
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 113","Winnipeg",49,33,6,11,0,7,0,106,361
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 114","Winnipeg",63,66,4,14,0,3,0,150,481
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 115A","Winnipeg",38,30,1,7,0,4,1,81,248
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 115B","Mobile poll/Bureau itinérant",26,47,1,2,1,1,1,79,128
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 116","Winnipeg",54,92,7,32,1,11,0,197,517
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 117","Winnipeg",48,76,7,33,0,1,0,165,430
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 118","Winnipeg",22,16,2,25,0,3,1,69,341
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 119","Winnipeg",73,34,2,6,0,4,0,119,198
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 120","Winnipeg",31,47,2,33,0,1,0,114,406
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 121A","Winnipeg",17,30,2,9,1,3,1,63,430
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 121B","Winnipeg",78,77,5,11,0,0,10,181,249
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 122","Winnipeg",52,61,5,29,0,6,0,153,384
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 123","Winnipeg",36,44,0,33,2,6,0,121,312
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 124","Winnipeg",33,71,7,38,0,2,0,151,395
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 125","Winnipeg",26,42,3,38,1,1,0,111,362
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 126","Winnipeg",39,41,1,21,0,8,0,110,418
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 127","Winnipeg",33,56,11,38,0,4,0,142,485
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 128","Winnipeg",21,67,6,40,0,2,1,137,352
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 129","Winnipeg",52,76,6,52,2,13,2,203,456
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 130","Winnipeg",62,57,2,52,0,9,0,182,434
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 131","Winnipeg",51,56,4,40,0,12,1,164,475
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 132","Winnipeg",58,59,3,47,1,5,0,173,427
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 133","Winnipeg",31,36,0,15,0,0,0,82,312
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 134","Winnipeg",26,59,1,9,0,2,0,97,405
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 135","Winnipeg",63,59,3,13,0,5,1,144,359
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 136","Winnipeg",49,65,3,13,0,9,0,139,383
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 137","Winnipeg",65,78,4,15,0,6,0,168,449
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 138","Winnipeg",87,81,6,24,1,2,0,201,411
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 139","Winnipeg",98,87,5,24,1,4,3,222,424
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 140","Winnipeg",67,88,6,28,0,2,0,191,430
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 141","Winnipeg",52,56,6,29,0,5,0,148,365
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 142","Winnipeg",28,48,2,20,0,6,1,105,369
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 143","Winnipeg",26,80,3,25,1,1,0,136,353
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 144","Winnipeg",23,65,0,17,0,4,1,110,334
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 145","Winnipeg",30,29,3,6,0,1,0,69,326
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 146A","Winnipeg",35,57,2,39,0,8,1,142,349
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 146B","Winnipeg",56,44,0,31,0,4,1,136,365
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 146C","Winnipeg",54,51,5,35,0,2,1,148,372
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 146D","Mobile poll/Bureau itinérant",14,27,0,2,0,1,0,44,101
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 147","Winnipeg",54,58,2,19,1,4,0,138,357
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 148","Winnipeg",115,131,1,23,2,5,0,277,481
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 149","Winnipeg",39,52,0,15,0,3,1,110,450
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 150","Winnipeg",59,52,6,6,0,2,1,126,307
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 151","Winnipeg",73,52,5,14,0,0,1,145,390
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 152","Winnipeg",60,63,2,19,0,4,1,149,382
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 153","Winnipeg",57,88,2,20,0,5,1,173,477
