Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevin Heide,Rozina Jaffer,Peter Julian,David Macdonald,Paige Munro,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 151","New Westminster",6,29,85,4,17,0,141,566
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 152","New Westminster",4,47,57,7,26,0,141,516
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 153","New Westminster",3,34,95,11,24,0,167,545
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 154","New Westminster",6,25,53,9,23,0,116,361
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 155","New Westminster",11,29,52,7,17,0,116,403
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 156","New Westminster",2,19,61,2,29,0,113,527
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 157","New Westminster",9,86,153,14,65,2,329,1153
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 158","New Westminster",5,20,74,2,37,1,139,450
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 159","New Westminster",8,57,113,5,33,1,217,675
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 160","New Westminster",7,18,49,6,32,0,112,416
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 161","New Westminster",12,45,122,10,42,0,231,666
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 162","New Westminster",6,43,64,9,30,1,153,447
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 163","New Westminster",2,22,94,9,21,0,148,589
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 164","New Westminster",7,57,76,3,41,0,184,590
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 165","New Westminster",7,47,85,3,13,3,158,544
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 166","New Westminster",5,54,80,2,42,1,184,575
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 167","New Westminster",3,63,117,3,27,2,215,592
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 168","New Westminster",5,67,83,4,43,0,202,604
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 169","New Westminster",0,24,49,5,31,0,109,358
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 170","New Westminster",2,48,66,5,31,1,153,496
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 171","New Westminster",10,64,76,7,31,1,189,619
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 172","New Westminster",5,112,159,14,57,4,351,633
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 173","New Westminster",Merged with No./Fusionné avec le n°172,,,,,,,576
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 174","New Westminster",1,42,61,0,27,2,133,454
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 175","New Westminster",4,47,65,4,29,1,150,452
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 176","New Westminster",4,49,52,8,28,1,142,523
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 177","New Westminster",2,45,70,7,46,3,173,673
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 178","New Westminster",7,37,89,10,28,1,172,568
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 400","Burnaby",Merged with No./Fusionné avec le n°35,,,,,,,239
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 401","Burnaby",Merged with No./Fusionné avec le n°35,,,,,,,185
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 402","Burnaby",Merged with No./Fusionné avec le n°35,,,,,,,204
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 403","New Westminster",Merged with No./Fusionné avec le n°95,,,,,,,0
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 500","Mobile poll/Bureau itinérant",0,31,34,4,19,7,95,152
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 501","Mobile poll/Bureau itinérant",4,13,14,4,5,2,42,201
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°43,,,,,,,44
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°43,,,,,,,96
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°16,,,,,,,286
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 505","Mobile poll/Bureau itinérant",1,9,4,5,7,1,27,86
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 506","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°76,,,,,,,75
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 507","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°30,,,,,,,113
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 508","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°127,,,,,,,21
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 509","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°129,,,,,,,141
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 510","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°132,,,,,,,133
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 511","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°129,,,,,,,45
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 512","Mobile poll/Bureau itinérant",2,23,33,3,11,2,74,106
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 513","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°74,,,,,,,134
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 600","Burnaby",23,167,263,18,196,2,669,
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 601","Burnaby",17,161,286,14,162,2,642,
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 602","Burnaby",26,241,469,37,284,4,1061,
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 603","New Westminster",62,239,663,44,238,0,1246,
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 604","Burnaby",33,203,400,19,133,3,791,
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 605","Burnaby",33,168,328,14,146,7,696,
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 606","New Westminster",28,166,503,42,193,7,939,
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 607","New Westminster",39,130,376,38,117,2,702,
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 608","New Westminster",47,151,447,47,195,2,889,
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 609","New Westminster",59,234,625,49,304,3,1274,
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 610","New Westminster",53,293,658,68,279,3,1354,
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 611","New Westminster",53,199,584,53,169,2,1060,
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 612","New Westminster",40,151,416,27,170,1,805,
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 613","New Westminster",74,378,818,70,361,5,1706,
59019,"New Westminster--Burnaby/New Westminster--Burnaby"," 614","New Westminster",45,443,752,49,315,5,1609,
59019,"New Westminster--Burnaby/New Westminster--Burnaby",,Group 1/Groupe 1, 10,83,196,27,69,14,399,213
59019,"New Westminster--Burnaby/New Westminster--Burnaby",,Group 2/Groupe 2, 74,1061,2676,170,753,248,4982,
