Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Matthew Chapman,Carolyn Davis,Ken McDonald,Lainie Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10001,"Avalon/Avalon"," 511","Mobile poll/Bureau itinérant",Results combined with no. 504/Résultats combinés au n° 504,,,,,,17
10001,"Avalon/Avalon"," 512","Mobile poll/Bureau itinérant",Results combined with no. 500/Résultats combinés au n° 500,,,,,,101
10001,"Avalon/Avalon"," 513","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,10
10001,"Avalon/Avalon"," 514","Mobile poll/Bureau itinérant",Results combined with no. 400/Résultats combinés au n° 400,,,,,,40
10001,"Avalon/Avalon"," 515","Mobile poll/Bureau itinérant",Results combined with no. 400/Résultats combinés au n° 400,,,,,,74
10001,"Avalon/Avalon"," 516","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,14
10001,"Avalon/Avalon"," 517","Mobile poll/Bureau itinérant",Results combined with no. 500/Résultats combinés au n° 500,,,,,,12
10001,"Avalon/Avalon"," 518","Mobile poll/Bureau itinérant",Results combined with no. 503/Résultats combinés au n° 503,,,,,,18
10001,"Avalon/Avalon"," 519","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
10001,"Avalon/Avalon"," 520","Mobile poll/Bureau itinérant",10,1,25,0,6,42,35
10001,"Avalon/Avalon"," 521","Mobile poll/Bureau itinérant",Results combined with no. 520/Résultats combinés au n° 520,,,,,,30
10001,"Avalon/Avalon"," 522","Mobile poll/Bureau itinérant",Results combined with no. 400/Résultats combinés au n° 400,,,,,,27
10001,"Avalon/Avalon"," 523","Mobile poll/Bureau itinérant",Results combined with no. 504/Résultats combinés au n° 504,,,,,,7
10001,"Avalon/Avalon"," 524","Mobile poll/Bureau itinérant",Results combined with no. 504/Résultats combinés au n° 504,,,,,,9
10001,"Avalon/Avalon"," 525","Mobile poll/Bureau itinérant",Results combined with no. 504/Résultats combinés au n° 504,,,,,,51
10001,"Avalon/Avalon"," 526","Mobile poll/Bureau itinérant",Results combined with no. 501/Résultats combinés au n° 501,,,,,,94
10001,"Avalon/Avalon"," 600","Victoria",77,15,114,8,1,215,
10001,"Avalon/Avalon"," 601","Carbonear",60,27,132,4,1,224,
10001,"Avalon/Avalon"," 602","Carbonear",125,45,294,4,2,470,
10001,"Avalon/Avalon"," 603","Harbour Grace--Bristol's Hope",183,34,252,7,4,480,
10001,"Avalon/Avalon"," 604","Upper Island Cove",61,19,141,4,0,225,
10001,"Avalon/Avalon"," 605","Spaniard's Bay",113,27,157,8,0,305,
10001,"Avalon/Avalon"," 606","Bay Roberts",242,57,430,9,1,739,
10001,"Avalon/Avalon"," 607","Clarke's Beach",192,42,239,10,0,483,
10001,"Avalon/Avalon"," 608","Conception Bay South",297,95,448,12,3,855,
10001,"Avalon/Avalon"," 609","Conception Bay South",237,93,403,12,0,745,
10001,"Avalon/Avalon"," 610","Conception Bay South",206,108,507,8,14,843,
10001,"Avalon/Avalon"," 611","Conception Bay South",228,69,473,10,1,781,
10001,"Avalon/Avalon"," 612","Paradise",212,56,261,5,0,534,
10001,"Avalon/Avalon"," 613","Conception Bay South",283,59,328,11,3,684,
10001,"Avalon/Avalon"," 614","Avondale",115,26,143,0,1,285,
10001,"Avalon/Avalon"," 615","Holyrood",151,35,190,4,0,380,
10001,"Avalon/Avalon"," 616","Tors Cove",35,14,46,2,2,99,
10001,"Avalon/Avalon"," 617","Ferryland",51,8,90,1,4,154,
10001,"Avalon/Avalon"," 618","St. Joseph's",24,4,55,2,0,85,
10001,"Avalon/Avalon"," 619","Placentia",82,17,163,3,9,274,
10001,"Avalon/Avalon"," 620","St. Bride's",55,3,57,0,1,116,
10001,"Avalon/Avalon"," 621","Trepassey",26,1,47,1,0,75,
10001,"Avalon/Avalon"," 622","St. Mary's",43,4,59,1,0,107,
10001,"Avalon/Avalon",,Group 1/Groupe 1, 122,43,92,4,16,277,40
10001,"Avalon/Avalon",,Group 2/Groupe 2, 848,286,1731,22,38,2925,
