Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Ainsworth,Cheryl Gallant,Stefan Klietsch,Michael Lariviere,Cyndi Mills,Jodie Primeau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 120","Renfrew",18,53,2,2,11,43,3,132,414
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 121","Renfrew",10,62,0,4,18,33,0,127,413
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 122","Renfrew",9,62,1,3,28,56,0,159,459
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 123","Renfrew",14,64,0,1,16,33,0,128,405
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 124","Renfrew",11,58,2,0,21,30,0,122,380
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 125","Renfrew",11,44,1,6,24,48,0,134,460
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 126","Renfrew",15,77,0,2,31,42,0,167,459
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 127","McNab/Braeside",10,43,0,4,35,36,0,128,265
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 128","McNab/Braeside",20,57,1,2,18,34,1,133,229
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 129","Sandy Hook",15,90,0,3,37,42,0,187,369
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 130","McNab/Braeside",12,69,0,9,30,21,0,141,251
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 131","Sandy Hook",7,82,1,3,34,29,1,157,393
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 132","McNab/Braeside",4,68,1,5,38,29,0,145,364
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 133","Pinegrove--Braeside",14,70,1,4,32,26,0,147,354
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 134","Arnprior",14,48,1,2,49,54,0,168,478
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 135","Arnprior",4,73,0,2,27,23,0,129,369
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 136","Arnprior",11,61,2,8,40,57,0,179,466
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 137","Arnprior",5,38,1,3,42,29,2,120,348
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 138","Arnprior",16,67,2,1,37,34,1,158,431
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 139","Arnprior",12,59,1,1,23,24,2,122,395
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 140","Arnprior",9,74,1,2,43,38,0,167,397
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 141","McNab/Braeside",9,41,0,0,35,27,0,112,365
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 142","Arnprior",16,60,1,3,24,45,1,150,469
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 143","Arnprior",19,96,5,2,57,59,1,239,726
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 144","Arnprior",15,74,0,1,35,52,0,177,474
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 145","Arnprior",10,69,1,1,35,51,1,168,479
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 146","Arnprior",7,56,0,8,32,36,2,141,323
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 147","Arnprior",9,55,0,4,33,19,0,120,400
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 148","Arnprior",3,79,3,3,28,30,1,147,418
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 149","Arnprior",17,113,0,5,54,52,0,241,619
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 150","Arnprior",16,54,2,3,35,33,0,143,458
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 151","McNab/Braeside",16,134,2,5,62,39,1,259,633
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 152","Germanicus--Mud Lake",6,59,1,3,13,32,0,114,310
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 153","Golden Lake",27,102,1,3,37,32,0,202,374
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 154","Zadow",17,61,2,2,28,38,2,150,347
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 155","Dewars",14,93,1,4,35,34,2,183,401
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 156","Clay Valley",22,110,0,7,42,43,3,227,419
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 157","Glasgow Station",16,126,2,2,26,35,5,212,375
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 158","Stewartville",16,126,4,3,49,53,1,252,431
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 159","Pikwakanagan",21,51,3,8,31,54,1,169,363
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 160","Douglas",20,128,2,1,30,38,0,219,385
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 161","Renfrew",11,68,1,1,39,28,1,149,414
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 162","Renfrew",10,96,1,1,34,46,2,190,550
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 163","Horton",7,82,3,2,30,42,0,166,368
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 164","Renfrew",7,83,3,0,43,37,0,173,443
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 165","Renfrew",10,76,2,2,45,34,1,170,462
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 166","Renfrew",10,78,2,7,41,40,1,179,507
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 167","Horton",12,85,3,2,33,23,0,158,445
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 168","Deacon",7,76,1,4,19,38,2,147,344
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 169","Killaloe",23,110,0,0,29,53,0,215,399
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 170","Old Killaloe",17,71,0,6,32,57,2,185,330
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 171","Simpsons",13,66,1,6,13,33,0,132,396
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 172","Mink Lake",11,71,1,4,18,20,2,127,362
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 173","Fourth Chute--Kellys Corner",15,58,0,0,6,15,0,94,333
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke"," 174","Eganville",8,61,1,2,18,41,0,131,331
