Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Campbell,Donovan Eckstrom,Shawn McLean,Ambrose Ralph,Jennifer Villebrun,Chris Warkentin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 506","Mobile poll/Bureau itinérant",1,1,1,1,4,38,2,48,66
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 507","Mobile poll/Bureau itinérant",8,2,1,1,6,98,3,119,158
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 508","Mobile poll/Bureau itinérant",5,0,0,3,4,37,1,50,82
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 509","Mobile poll/Bureau itinérant",3,1,0,0,5,43,1,53,102
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 510","Grande Prairie County No. 1",Merged with No./Fusionné avec le n°191,,,,,,,,19
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 511","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,28
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 512","Mobile poll/Bureau itinérant",5,0,0,0,0,25,5,35,66
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 513","Mobile poll/Bureau itinérant",3,1,2,0,0,14,1,21,29
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 514","Mobile poll/Bureau itinérant",2,0,1,0,1,18,2,24,41
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 515","Mobile poll/Bureau itinérant",3,1,1,0,0,9,1,15,20
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 516","Mobile poll/Bureau itinérant",2,0,0,4,10,53,5,74,50
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 517","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°516,,,,,,,,68
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 518","La Glace",Merged with No./Fusionné avec le n°52,,,,,,,,8
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 519","Spirit River",Merged with No./Fusionné avec le n°40,,,,,,,,1
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 520","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°62,,,,,,,,16
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 600","Rainbow Lake",6,0,5,2,6,72,0,91,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 601","MacKenzie County--High Level",37,2,55,20,87,291,9,501,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 602","Worsley",5,0,21,7,4,103,0,140,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 603","Manning",18,1,49,30,37,379,0,514,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 604","Hines Creek",7,1,25,20,10,202,2,267,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 605","Spirit River",9,6,53,40,33,445,3,589,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 606","Beaverlodge",37,9,104,73,90,1012,6,1331,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 607","Sexsmith",31,6,83,73,71,1000,3,1267,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 608","Grande Prairie--Dimsdale",8,2,82,29,31,402,4,558,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 609","Grande Prairie",36,4,64,50,88,672,5,919,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 610","Grande Prairie",80,8,150,45,191,970,5,1449,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 611","Grande Prairie",53,3,95,34,119,601,11,916,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 612","Grande Prairie",68,5,108,62,158,1040,3,1444,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 613","Grande Prairie",75,5,93,51,184,761,4,1173,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 614","Grande Prairie",45,5,83,45,152,703,9,1042,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 615","Grande Prairie",82,9,155,57,193,1021,3,1520,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 616","Grande Prairie",24,3,63,36,84,574,3,787,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 617","Clairmont",30,1,123,72,80,1112,2,1420,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 618","Grovedale--Wapiti",1,1,8,6,1,83,0,100,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 619","Greenview No. 16--DeBolt",3,3,21,17,21,169,1,235,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie",,Group 1/Groupe 1, 52,3,70,24,83,367,27,626,132
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie",,Group 2/Groupe 2, 106,6,139,100,250,1213,36,1850,
