Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Xavier Barsalou-Duval,Alexandre Blais,Carole Boisvert,Louis-Gabriel Girard,Martin Leprohon,Jérôme Painchaud,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 108","Varennes",58,3,4,30,14,9,2,120,415
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 109","Varennes",89,4,3,57,23,11,0,187,406
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 110","Varennes",69,3,4,27,22,5,10,140,411
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 111","Varennes",75,2,3,56,14,24,2,176,308
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 112","Varennes",111,3,2,57,10,24,3,210,375
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 113","Saint-Mathieu-de-Beloeil",112,5,4,27,14,21,4,187,419
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 114","Saint-Mathieu-de-Beloeil",108,10,5,59,18,24,1,225,621
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 115","Saint-Mathieu-de-Beloeil",82,7,3,49,9,19,4,173,407
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 116","Saint-Mathieu-de-Beloeil",75,9,2,44,7,21,6,164,408
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 117","Saint-Mathieu-de-Beloeil",51,2,3,20,5,8,2,91,237
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 118","Saint-Mathieu-de-Beloeil",87,4,3,35,14,25,5,173,416
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 119","Boucherville",50,3,2,35,10,6,0,106,307
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 120","Boucherville",111,5,5,51,42,13,0,227,522
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 121","Boucherville",96,2,5,63,19,13,1,199,463
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 122","Boucherville",90,2,2,40,23,14,2,173,439
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 123","Boucherville",71,0,8,66,25,11,4,185,428
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 124","Boucherville",67,7,4,39,34,10,6,167,370
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 125","Boucherville",75,5,0,55,12,13,2,162,366
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 126","Boucherville",76,0,3,49,12,7,8,155,333
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 127","Boucherville",74,3,5,54,25,10,3,174,418
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 128","Boucherville",93,4,2,57,29,12,4,201,430
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 129","Boucherville",78,1,1,38,14,5,4,141,374
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 130","Boucherville",86,4,4,62,10,12,1,179,313
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 131","Boucherville",142,1,2,138,30,40,1,354,660
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 132","Boucherville",101,6,3,88,25,68,3,294,570
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 133","Boucherville",96,3,0,65,17,34,1,216,510
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 134","Boucherville",29,3,0,66,6,4,5,113,407
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 135","Boucherville",68,6,1,61,16,15,3,170,396
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 136","Boucherville",136,11,3,73,11,22,2,258,606
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 137","Boucherville",114,1,1,105,20,33,7,281,810
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 138","Boucherville",91,1,4,96,24,43,4,263,568
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 139","Boucherville",72,1,3,49,11,4,2,142,372
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 140","Boucherville",82,7,5,43,16,14,5,172,360
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 141","Boucherville",106,2,1,62,26,17,1,215,376
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 142","Boucherville",95,1,4,33,26,7,1,167,389
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 143","Boucherville",129,9,2,52,18,10,3,223,412
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 144","Boucherville",115,3,3,55,26,18,1,221,416
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 145","Boucherville",68,7,3,46,20,5,2,151,398
