Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Coteau,Peter De Marco,Simon Topp,Penelope Williams,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35019,"Don Valley East/Don Valley-Est"," 98D","Toronto",Merged with No./Fusionné avec le n°79D,,,,,,100
35019,"Don Valley East/Don Valley-Est"," 98E","Toronto",Merged with No./Fusionné avec le n°79E,,,,,,56
35019,"Don Valley East/Don Valley-Est"," 99","Toronto",154,10,34,49,2,249,546
35019,"Don Valley East/Don Valley-Est"," 100A","Toronto",159,8,25,21,3,216,70
35019,"Don Valley East/Don Valley-Est"," 100B","Toronto",91,9,23,21,1,145,51
35019,"Don Valley East/Don Valley-Est"," 100C","Toronto",123,8,35,24,7,197,53
35019,"Don Valley East/Don Valley-Est"," 100D","Toronto",93,13,20,22,2,150,39
35019,"Don Valley East/Don Valley-Est"," 100E","Toronto",160,11,38,24,8,241,72
35019,"Don Valley East/Don Valley-Est"," 100F","Toronto",131,6,29,25,6,197,51
35019,"Don Valley East/Don Valley-Est"," 100G","Toronto",105,6,19,25,3,158,61
35019,"Don Valley East/Don Valley-Est"," 101A","Toronto",Merged with No./Fusionné avec le n°100A,,,,,,119
35019,"Don Valley East/Don Valley-Est"," 101B","Toronto",Merged with No./Fusionné avec le n°100B,,,,,,100
35019,"Don Valley East/Don Valley-Est"," 101C","Toronto",Merged with No./Fusionné avec le n°100C,,,,,,156
35019,"Don Valley East/Don Valley-Est"," 101D","Toronto",Merged with No./Fusionné avec le n°100D,,,,,,124
35019,"Don Valley East/Don Valley-Est"," 101E","Toronto",Merged with No./Fusionné avec le n°100E,,,,,,155
35019,"Don Valley East/Don Valley-Est"," 101F","Toronto",Merged with No./Fusionné avec le n°100F,,,,,,132
35019,"Don Valley East/Don Valley-Est"," 101G","Toronto",Merged with No./Fusionné avec le n°100G,,,,,,124
35019,"Don Valley East/Don Valley-Est"," 102A","Toronto",Merged with No./Fusionné avec le n°100A,,,,,,82
35019,"Don Valley East/Don Valley-Est"," 102B","Toronto",Merged with No./Fusionné avec le n°100B,,,,,,46
35019,"Don Valley East/Don Valley-Est"," 102C","Toronto",Merged with No./Fusionné avec le n°100C,,,,,,59
35019,"Don Valley East/Don Valley-Est"," 102D","Toronto",Merged with No./Fusionné avec le n°100D,,,,,,55
35019,"Don Valley East/Don Valley-Est"," 102E","Toronto",Merged with No./Fusionné avec le n°100E,,,,,,99
35019,"Don Valley East/Don Valley-Est"," 102F","Toronto",Merged with No./Fusionné avec le n°100F,,,,,,67
35019,"Don Valley East/Don Valley-Est"," 102G","Toronto",Merged with No./Fusionné avec le n°100G,,,,,,47
35019,"Don Valley East/Don Valley-Est"," 103A","Toronto",Merged with No./Fusionné avec le n°100A,,,,,,86
35019,"Don Valley East/Don Valley-Est"," 103B","Toronto",Merged with No./Fusionné avec le n°100B,,,,,,56
35019,"Don Valley East/Don Valley-Est"," 103C","Toronto",Merged with No./Fusionné avec le n°100C,,,,,,62
35019,"Don Valley East/Don Valley-Est"," 103D","Toronto",Merged with No./Fusionné avec le n°100D,,,,,,47
35019,"Don Valley East/Don Valley-Est"," 103E","Toronto",Merged with No./Fusionné avec le n°100E,,,,,,75
35019,"Don Valley East/Don Valley-Est"," 103F","Toronto",Merged with No./Fusionné avec le n°100F,,,,,,85
35019,"Don Valley East/Don Valley-Est"," 103G","Toronto",Merged with No./Fusionné avec le n°100G,,,,,,48
35019,"Don Valley East/Don Valley-Est"," 104A","Toronto",Merged with No./Fusionné avec le n°100A,,,,,,96
35019,"Don Valley East/Don Valley-Est"," 104B","Toronto",Merged with No./Fusionné avec le n°100B,,,,,,36
35019,"Don Valley East/Don Valley-Est"," 104C","Toronto",Merged with No./Fusionné avec le n°100C,,,,,,88
35019,"Don Valley East/Don Valley-Est"," 104D","Toronto",Merged with No./Fusionné avec le n°100D,,,,,,55
35019,"Don Valley East/Don Valley-Est"," 104E","Toronto",Merged with No./Fusionné avec le n°100E,,,,,,133
35019,"Don Valley East/Don Valley-Est"," 104F","Toronto",Merged with No./Fusionné avec le n°100F,,,,,,71
35019,"Don Valley East/Don Valley-Est"," 104G","Toronto",Merged with No./Fusionné avec le n°100G,,,,,,61
35019,"Don Valley East/Don Valley-Est"," 105A","Toronto",Merged with No./Fusionné avec le n°100A,,,,,,48
35019,"Don Valley East/Don Valley-Est"," 105B","Toronto",Merged with No./Fusionné avec le n°100B,,,,,,43
35019,"Don Valley East/Don Valley-Est"," 105C","Toronto",Merged with No./Fusionné avec le n°100C,,,,,,57
35019,"Don Valley East/Don Valley-Est"," 105D","Toronto",Merged with No./Fusionné avec le n°100D,,,,,,36
35019,"Don Valley East/Don Valley-Est"," 105E","Toronto",Merged with No./Fusionné avec le n°100E,,,,,,56
35019,"Don Valley East/Don Valley-Est"," 105F","Toronto",Merged with No./Fusionné avec le n°100F,,,,,,46
35019,"Don Valley East/Don Valley-Est"," 105G","Toronto",Merged with No./Fusionné avec le n°100G,,,,,,53
35019,"Don Valley East/Don Valley-Est"," 106A","Toronto",140,9,10,22,4,185,135
35019,"Don Valley East/Don Valley-Est"," 106B","Toronto",174,6,20,28,4,232,137
35019,"Don Valley East/Don Valley-Est"," 106C","Toronto",169,11,33,30,0,243,171
35019,"Don Valley East/Don Valley-Est"," 106D","Toronto",223,12,34,35,0,304,151
35019,"Don Valley East/Don Valley-Est"," 107A","Toronto",Merged with No./Fusionné avec le n°106A,,,,,,98
35019,"Don Valley East/Don Valley-Est"," 107B","Toronto",Merged with No./Fusionné avec le n°106B,,,,,,106
35019,"Don Valley East/Don Valley-Est"," 107C","Toronto",Merged with No./Fusionné avec le n°106C,,,,,,119
35019,"Don Valley East/Don Valley-Est"," 107D","Toronto",Merged with No./Fusionné avec le n°106D,,,,,,66
35019,"Don Valley East/Don Valley-Est"," 108A","Toronto",Merged with No./Fusionné avec le n°106A,,,,,,94
35019,"Don Valley East/Don Valley-Est"," 108B","Toronto",Merged with No./Fusionné avec le n°106B,,,,,,120
35019,"Don Valley East/Don Valley-Est"," 108C","Toronto",Merged with No./Fusionné avec le n°106C,,,,,,152
35019,"Don Valley East/Don Valley-Est"," 108D","Toronto",Merged with No./Fusionné avec le n°106D,,,,,,58
35019,"Don Valley East/Don Valley-Est"," 109A","Toronto",Merged with No./Fusionné avec le n°106A,,,,,,81
35019,"Don Valley East/Don Valley-Est"," 109B","Toronto",Merged with No./Fusionné avec le n°106B,,,,,,66
35019,"Don Valley East/Don Valley-Est"," 109C","Toronto",Merged with No./Fusionné avec le n°106C,,,,,,71
35019,"Don Valley East/Don Valley-Est"," 109D","Toronto",Merged with No./Fusionné avec le n°106D,,,,,,45
35019,"Don Valley East/Don Valley-Est"," 110","Toronto",74,7,17,39,1,138,339
35019,"Don Valley East/Don Valley-Est"," 111","Toronto",143,10,21,34,1,209,568
35019,"Don Valley East/Don Valley-Est"," 112","Toronto",163,4,18,24,2,211,542
35019,"Don Valley East/Don Valley-Est"," 113A","Toronto",Merged with No./Fusionné avec le n°106A,,,,,,67
35019,"Don Valley East/Don Valley-Est"," 113B","Toronto",Merged with No./Fusionné avec le n°106B,,,,,,84
35019,"Don Valley East/Don Valley-Est"," 113C","Toronto",Merged with No./Fusionné avec le n°106C,,,,,,81
35019,"Don Valley East/Don Valley-Est"," 113D","Toronto",Merged with No./Fusionné avec le n°106D,,,,,,57
35019,"Don Valley East/Don Valley-Est"," 114","Toronto",156,0,7,4,0,167,351
35019,"Don Valley East/Don Valley-Est"," 115","Toronto",70,1,20,14,2,107,301
35019,"Don Valley East/Don Valley-Est"," 400","Toronto",73,1,19,28,1,122,354
35019,"Don Valley East/Don Valley-Est"," 401","Toronto",72,4,15,22,4,117,377
35019,"Don Valley East/Don Valley-Est"," 402","Toronto",83,10,35,34,1,163,396
35019,"Don Valley East/Don Valley-Est"," 403","Toronto",77,15,36,19,3,150,407
35019,"Don Valley East/Don Valley-Est"," 404","Toronto",Merged with No./Fusionné avec le n°4,,,,,,338
35019,"Don Valley East/Don Valley-Est"," 405","Toronto",130,11,37,55,3,236,232
35019,"Don Valley East/Don Valley-Est"," 406","Toronto",Merged with No./Fusionné avec le n°405,,,,,,355
35019,"Don Valley East/Don Valley-Est"," 407","Toronto",140,7,35,22,7,211,359
35019,"Don Valley East/Don Valley-Est"," 408A","Toronto",Merged with No./Fusionné avec le n°16A,,,,,,104
35019,"Don Valley East/Don Valley-Est"," 408B","Toronto",Merged with No./Fusionné avec le n°16B,,,,,,75
35019,"Don Valley East/Don Valley-Est"," 408C","Toronto",Merged with No./Fusionné avec le n°16C,,,,,,100
35019,"Don Valley East/Don Valley-Est"," 409","Toronto",Merged with No./Fusionné avec le n°25,,,,,,195
35019,"Don Valley East/Don Valley-Est"," 410A","Toronto",Merged with No./Fusionné avec le n°56A,,,,,,141
35019,"Don Valley East/Don Valley-Est"," 410B","Toronto",Merged with No./Fusionné avec le n°56B,,,,,,122
35019,"Don Valley East/Don Valley-Est"," 410C","Toronto",Merged with No./Fusionné avec le n°56C,,,,,,88
35019,"Don Valley East/Don Valley-Est"," 410D","Toronto",Merged with No./Fusionné avec le n°56D,,,,,,56
35019,"Don Valley East/Don Valley-Est"," 411","Toronto",151,2,19,40,1,213,351
35019,"Don Valley East/Don Valley-Est"," 412","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°425,,,,,,163
35019,"Don Valley East/Don Valley-Est"," 413","Toronto",192,17,39,66,3,317,575
35019,"Don Valley East/Don Valley-Est"," 414","Toronto",202,9,32,51,2,296,550
35019,"Don Valley East/Don Valley-Est"," 415A","Toronto",127,11,24,56,3,221,163
35019,"Don Valley East/Don Valley-Est"," 415B","Toronto",101,13,12,48,2,176,149
35019,"Don Valley East/Don Valley-Est"," 416A","Toronto",Merged with No./Fusionné avec le n°415A,,,,,,149
35019,"Don Valley East/Don Valley-Est"," 416B","Toronto",Merged with No./Fusionné avec le n°415B,,,,,,117
35019,"Don Valley East/Don Valley-Est"," 417A","Toronto",Merged with No./Fusionné avec le n°415A,,,,,,81
35019,"Don Valley East/Don Valley-Est"," 417B","Toronto",Merged with No./Fusionné avec le n°415B,,,,,,74
35019,"Don Valley East/Don Valley-Est"," 418","Toronto",89,9,13,45,1,157,452
35019,"Don Valley East/Don Valley-Est"," 419","Toronto",36,0,5,9,1,51,221
35019,"Don Valley East/Don Valley-Est"," 420","Toronto",95,7,25,36,0,163,454
35019,"Don Valley East/Don Valley-Est"," 421","Toronto",75,6,20,10,1,112,397
35019,"Don Valley East/Don Valley-Est"," 422","Toronto",55,3,20,22,0,100,237
35019,"Don Valley East/Don Valley-Est"," 423","Toronto",Merged with No./Fusionné avec le n°422,,,,,,202
35019,"Don Valley East/Don Valley-Est"," 424","Toronto",88,5,14,27,0,134,374
35019,"Don Valley East/Don Valley-Est"," 425","Mobile poll/Bureau itinérant",114,7,4,33,6,164,110
35019,"Don Valley East/Don Valley-Est"," 426A","Toronto",Merged with No./Fusionné avec le n°96A,,,,,,84
35019,"Don Valley East/Don Valley-Est"," 426B","Toronto",Merged with No./Fusionné avec le n°96B,,,,,,116
35019,"Don Valley East/Don Valley-Est"," 426C","Toronto",Merged with No./Fusionné avec le n°96C,,,,,,102
35019,"Don Valley East/Don Valley-Est"," 427","Toronto",109,1,13,21,0,144,311
35019,"Don Valley East/Don Valley-Est"," 428","Toronto",158,4,16,27,4,209,326
35019,"Don Valley East/Don Valley-Est"," 429","Toronto",104,6,17,46,2,175,318
35019,"Don Valley East/Don Valley-Est"," 430","Mobile poll/Bureau itinérant",8,2,0,5,2,17,117
35019,"Don Valley East/Don Valley-Est"," 431","Toronto",190,5,34,48,1,278,566
35019,"Don Valley East/Don Valley-Est"," 432","Toronto",194,9,39,44,0,286,645
35019,"Don Valley East/Don Valley-Est"," 433A","Toronto",Merged with No./Fusionné avec le n°100A,,,,,,64
35019,"Don Valley East/Don Valley-Est"," 433B","Toronto",Merged with No./Fusionné avec le n°100B,,,,,,40
35019,"Don Valley East/Don Valley-Est"," 433C","Toronto",Merged with No./Fusionné avec le n°100C,,,,,,51
35019,"Don Valley East/Don Valley-Est"," 433D","Toronto",Merged with No./Fusionné avec le n°100D,,,,,,33
35019,"Don Valley East/Don Valley-Est"," 433E","Toronto",Merged with No./Fusionné avec le n°100E,,,,,,75
35019,"Don Valley East/Don Valley-Est"," 433F","Toronto",Merged with No./Fusionné avec le n°100F,,,,,,60
35019,"Don Valley East/Don Valley-Est"," 433G","Toronto",Merged with No./Fusionné avec le n°100G,,,,,,54
35019,"Don Valley East/Don Valley-Est"," 434","Toronto",104,8,8,8,1,129,397
35019,"Don Valley East/Don Valley-Est"," 435","Toronto",109,2,27,15,0,153,415
35019,"Don Valley East/Don Valley-Est"," 436","Toronto",Merged with No./Fusionné avec le n°110,,,,,,240
35019,"Don Valley East/Don Valley-Est"," 437","Toronto",171,13,28,38,1,251,552
35019,"Don Valley East/Don Valley-Est"," 438","Toronto",178,6,33,20,1,238,562
35019,"Don Valley East/Don Valley-Est"," 439","Toronto",138,3,18,21,0,180,477
35019,"Don Valley East/Don Valley-Est"," 440A","Toronto",Merged with No./Fusionné avec le n°106A,,,,,,67
35019,"Don Valley East/Don Valley-Est"," 440B","Toronto",Merged with No./Fusionné avec le n°106B,,,,,,60
35019,"Don Valley East/Don Valley-Est"," 440C","Toronto",Merged with No./Fusionné avec le n°106C,,,,,,96
35019,"Don Valley East/Don Valley-Est"," 440D","Toronto",Merged with No./Fusionné avec le n°106D,,,,,,50
35019,"Don Valley East/Don Valley-Est"," 441A","Toronto",Merged with No./Fusionné avec le n°106A,,,,,,68
35019,"Don Valley East/Don Valley-Est"," 441B","Toronto",Merged with No./Fusionné avec le n°106B,,,,,,57
35019,"Don Valley East/Don Valley-Est"," 441C","Toronto",Merged with No./Fusionné avec le n°106C,,,,,,72
35019,"Don Valley East/Don Valley-Est"," 441D","Toronto",Merged with No./Fusionné avec le n°106D,,,,,,67
35019,"Don Valley East/Don Valley-Est"," 442","Toronto",126,4,9,12,0,151,452
35019,"Don Valley East/Don Valley-Est"," 443A","Toronto",Merged with No./Fusionné avec le n°106A,,,,,,119
35019,"Don Valley East/Don Valley-Est"," 443B","Toronto",Merged with No./Fusionné avec le n°106B,,,,,,117
35019,"Don Valley East/Don Valley-Est"," 443C","Toronto",Merged with No./Fusionné avec le n°106C,,,,,,124
35019,"Don Valley East/Don Valley-Est"," 443D","Toronto",Merged with No./Fusionné avec le n°106D,,,,,,105
35019,"Don Valley East/Don Valley-Est"," 500","Mobile poll/Bureau itinérant",10,2,2,8,2,24,34
35019,"Don Valley East/Don Valley-Est"," 501","Mobile poll/Bureau itinérant",5,1,3,2,0,11,24
35019,"Don Valley East/Don Valley-Est"," 502","Mobile poll/Bureau itinérant",24,0,0,8,1,33,107
35019,"Don Valley East/Don Valley-Est"," 503","Mobile poll/Bureau itinérant",17,2,1,0,1,21,51
35019,"Don Valley East/Don Valley-Est"," 600","Toronto",185,9,44,81,3,322,
35019,"Don Valley East/Don Valley-Est"," 601","Toronto",536,58,103,259,11,967,
35019,"Don Valley East/Don Valley-Est"," 602","Toronto",718,61,113,426,7,1325,
35019,"Don Valley East/Don Valley-Est"," 603","Toronto",713,48,94,430,25,1310,
35019,"Don Valley East/Don Valley-Est"," 604","Toronto",761,59,142,424,10,1396,
35019,"Don Valley East/Don Valley-Est"," 605","Toronto",564,65,122,312,11,1074,
35019,"Don Valley East/Don Valley-Est"," 606","Toronto",556,38,95,264,9,962,
35019,"Don Valley East/Don Valley-Est"," 607","Toronto",597,36,91,164,9,897,
35019,"Don Valley East/Don Valley-Est"," 608","Toronto",600,40,78,188,13,919,
35019,"Don Valley East/Don Valley-Est"," 609","Toronto",498,28,86,148,26,786,
35019,"Don Valley East/Don Valley-Est"," 610","Toronto",220,11,34,28,3,296,
35019,"Don Valley East/Don Valley-Est"," 611","Toronto",472,18,55,85,3,633,
35019,"Don Valley East/Don Valley-Est"," 612","Toronto",282,17,43,116,15,473,
35019,"Don Valley East/Don Valley-Est"," 613","Toronto",195,8,18,43,3,267,
35019,"Don Valley East/Don Valley-Est",,Group 1/Groupe 1, 248,12,64,89,23,436,211
35019,"Don Valley East/Don Valley-Est",,Group 2/Groupe 2, 1083,39,224,388,63,1797,
