Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kasper Makowski,Marie Morin-Strom,Terry Sheehan,Sonny Spina,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35092,"Sault Ste. Marie/Sault Ste. Marie"," 115","Sault Ste. Marie",15,49,49,43,0,156,328
35092,"Sault Ste. Marie/Sault Ste. Marie"," 116","Sault Ste. Marie",6,42,95,58,0,201,361
35092,"Sault Ste. Marie/Sault Ste. Marie"," 117","Sault Ste. Marie",5,30,70,68,4,177,416
35092,"Sault Ste. Marie/Sault Ste. Marie"," 118","Sault Ste. Marie",10,38,64,66,0,178,436
35092,"Sault Ste. Marie/Sault Ste. Marie"," 119","Sault Ste. Marie",9,50,45,71,0,175,454
35092,"Sault Ste. Marie/Sault Ste. Marie"," 120","Sault Ste. Marie",14,68,39,50,1,172,486
35092,"Sault Ste. Marie/Sault Ste. Marie"," 121","Sault Ste. Marie",12,61,38,55,3,169,444
35092,"Sault Ste. Marie/Sault Ste. Marie"," 122","Sault Ste. Marie",7,43,26,27,0,103,411
35092,"Sault Ste. Marie/Sault Ste. Marie"," 123","Sault Ste. Marie",10,35,38,28,0,111,373
35092,"Sault Ste. Marie/Sault Ste. Marie"," 124","Sault Ste. Marie",3,26,16,20,0,65,302
35092,"Sault Ste. Marie/Sault Ste. Marie"," 125","Sault Ste. Marie",14,50,67,74,2,207,484
35092,"Sault Ste. Marie/Sault Ste. Marie"," 126","Sault Ste. Marie",14,45,81,87,0,227,440
35092,"Sault Ste. Marie/Sault Ste. Marie"," 127","Sault Ste. Marie",10,43,38,44,0,135,452
35092,"Sault Ste. Marie/Sault Ste. Marie"," 128","Sault Ste. Marie",25,45,28,60,1,159,404
35092,"Sault Ste. Marie/Sault Ste. Marie"," 129","Sault Ste. Marie",19,24,25,55,2,125,452
35092,"Sault Ste. Marie/Sault Ste. Marie"," 130","Sault Ste. Marie",8,37,75,84,5,209,418
35092,"Sault Ste. Marie/Sault Ste. Marie"," 131","Sault Ste. Marie",11,36,83,72,1,203,338
35092,"Sault Ste. Marie/Sault Ste. Marie"," 132","Sault Ste. Marie",6,31,70,62,0,169,307
35092,"Sault Ste. Marie/Sault Ste. Marie"," 133","Sault Ste. Marie",8,37,76,60,0,181,419
35092,"Sault Ste. Marie/Sault Ste. Marie"," 134","Sault Ste. Marie",4,47,66,82,0,199,420
35092,"Sault Ste. Marie/Sault Ste. Marie"," 135","Sault Ste. Marie",5,39,92,62,0,198,454
35092,"Sault Ste. Marie/Sault Ste. Marie"," 136","Sault Ste. Marie",9,21,68,69,0,167,379
35092,"Sault Ste. Marie/Sault Ste. Marie"," 137","Sault Ste. Marie",8,12,61,69,0,150,382
35092,"Sault Ste. Marie/Sault Ste. Marie"," 138","Sault Ste. Marie",6,39,35,25,0,105,369
35092,"Sault Ste. Marie/Sault Ste. Marie"," 139","Sault Ste. Marie",9,39,64,29,0,141,341
35092,"Sault Ste. Marie/Sault Ste. Marie"," 140","Sault Ste. Marie",7,28,78,25,0,138,381
35092,"Sault Ste. Marie/Sault Ste. Marie"," 141","Sault Ste. Marie",16,51,63,45,3,178,471
35092,"Sault Ste. Marie/Sault Ste. Marie"," 142","Sault Ste. Marie",12,42,97,42,0,193,395
35092,"Sault Ste. Marie/Sault Ste. Marie"," 143","Sault Ste. Marie",6,61,58,44,1,170,392
35092,"Sault Ste. Marie/Sault Ste. Marie"," 144","Sault Ste. Marie",3,38,67,48,0,156,384
35092,"Sault Ste. Marie/Sault Ste. Marie"," 145","Sault Ste. Marie",13,80,55,37,2,187,515
35092,"Sault Ste. Marie/Sault Ste. Marie"," 146","Sault Ste. Marie",13,52,53,31,0,149,541
35092,"Sault Ste. Marie/Sault Ste. Marie"," 147","Sault Ste. Marie",13,42,116,54,0,225,450
35092,"Sault Ste. Marie/Sault Ste. Marie"," 148","Sault Ste. Marie",3,30,37,50,0,120,320
35092,"Sault Ste. Marie/Sault Ste. Marie"," 149","Sault Ste. Marie",2,18,40,36,0,96,256
35092,"Sault Ste. Marie/Sault Ste. Marie"," 150","Sault Ste. Marie",3,25,49,40,2,119,371
35092,"Sault Ste. Marie/Sault Ste. Marie"," 151","Sault Ste. Marie",9,20,52,54,2,137,337
35092,"Sault Ste. Marie/Sault Ste. Marie"," 152","Sault Ste. Marie",4,14,78,51,0,147,409
35092,"Sault Ste. Marie/Sault Ste. Marie"," 153","Sault Ste. Marie",4,32,62,56,0,154,367
35092,"Sault Ste. Marie/Sault Ste. Marie"," 154","Sault Ste. Marie",2,28,89,76,0,195,509
35092,"Sault Ste. Marie/Sault Ste. Marie"," 155","Sault Ste. Marie",8,24,76,51,0,159,358
35092,"Sault Ste. Marie/Sault Ste. Marie"," 156","Sault Ste. Marie",10,37,45,45,0,137,448
35092,"Sault Ste. Marie/Sault Ste. Marie"," 157","Sault Ste. Marie",7,53,113,48,0,221,334
35092,"Sault Ste. Marie/Sault Ste. Marie"," 158","Sault Ste. Marie",11,36,114,49,2,212,428
35092,"Sault Ste. Marie/Sault Ste. Marie"," 159","Sault Ste. Marie",8,30,100,76,1,215,516
35092,"Sault Ste. Marie/Sault Ste. Marie"," 160","Sault Ste. Marie",11,26,55,81,0,173,429
35092,"Sault Ste. Marie/Sault Ste. Marie"," 161","Sault Ste. Marie",13,33,55,103,0,204,384
35092,"Sault Ste. Marie/Sault Ste. Marie"," 162","Sault Ste. Marie",8,24,73,109,0,214,425
35092,"Sault Ste. Marie/Sault Ste. Marie"," 400","Mobile poll/Bureau itinérant",3,21,40,18,4,86,219
35092,"Sault Ste. Marie/Sault Ste. Marie"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°32,,,,,,25
35092,"Sault Ste. Marie/Sault Ste. Marie"," 501","Mobile poll/Bureau itinérant",3,15,41,14,1,74,100
35092,"Sault Ste. Marie/Sault Ste. Marie"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°34,,,,,,11
35092,"Sault Ste. Marie/Sault Ste. Marie"," 503","Mobile poll/Bureau itinérant",0,6,30,14,5,55,102
35092,"Sault Ste. Marie/Sault Ste. Marie"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°40,,,,,,45
35092,"Sault Ste. Marie/Sault Ste. Marie"," 505","Mobile poll/Bureau itinérant",1,9,35,21,4,70,146
35092,"Sault Ste. Marie/Sault Ste. Marie"," 506","Mobile poll/Bureau itinérant",2,6,33,11,6,58,160
35092,"Sault Ste. Marie/Sault Ste. Marie"," 507","Sault Ste. Marie",Merged with No./Fusionné avec le n°72,,,,,,25
35092,"Sault Ste. Marie/Sault Ste. Marie"," 508","Mobile poll/Bureau itinérant",0,3,3,3,2,11,55
35092,"Sault Ste. Marie/Sault Ste. Marie"," 509","Mobile poll/Bureau itinérant",1,6,29,13,5,54,84
35092,"Sault Ste. Marie/Sault Ste. Marie"," 510","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°115,,,,,,98
35092,"Sault Ste. Marie/Sault Ste. Marie"," 511","Mobile poll/Bureau itinérant",0,8,52,18,5,83,103
35092,"Sault Ste. Marie/Sault Ste. Marie"," 600","Algoma",34,47,113,191,2,387,
35092,"Sault Ste. Marie/Sault Ste. Marie"," 601","Sault Ste. Marie",38,110,323,512,3,986,
35092,"Sault Ste. Marie/Sault Ste. Marie"," 602","Sault Ste. Marie",26,115,356,308,5,810,
35092,"Sault Ste. Marie/Sault Ste. Marie"," 603","Sault Ste. Marie",22,119,257,223,10,631,
35092,"Sault Ste. Marie/Sault Ste. Marie"," 604","Sault Ste. Marie",42,161,290,209,6,708,
35092,"Sault Ste. Marie/Sault Ste. Marie"," 605","Sault Ste. Marie",36,115,303,317,2,773,
35092,"Sault Ste. Marie/Sault Ste. Marie"," 606","Sault Ste. Marie",25,104,425,408,5,967,
35092,"Sault Ste. Marie/Sault Ste. Marie"," 607","Sault Ste. Marie",35,136,404,363,12,950,
35092,"Sault Ste. Marie/Sault Ste. Marie"," 608","Sault Ste. Marie",23,95,524,354,6,1002,
35092,"Sault Ste. Marie/Sault Ste. Marie"," 609","Sault Ste. Marie",29,148,564,455,8,1204,
35092,"Sault Ste. Marie/Sault Ste. Marie"," 610","Sault Ste. Marie",33,154,326,365,3,881,
35092,"Sault Ste. Marie/Sault Ste. Marie"," 611","Sault Ste. Marie",18,64,219,134,3,438,
35092,"Sault Ste. Marie/Sault Ste. Marie",,Group 1/Groupe 1, 17,92,123,60,14,306,134
35092,"Sault Ste. Marie/Sault Ste. Marie",,Group 2/Groupe 2, 52,270,764,578,23,1687,
