Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bruno Beaudry,Robert Bellerose,Gisèle Desroches,Oulai B. Goué,Mathieu Goyette,Javeria Qureshi,Luc Thériault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24050,"Montcalm/Montcalm"," 155","Mascouche",10,3,26,21,9,49,97,7,222,502
24050,"Montcalm/Montcalm"," 156","Mascouche",6,2,30,27,9,65,162,2,303,693
24050,"Montcalm/Montcalm"," 157","Mascouche",6,0,29,21,4,27,111,5,203,440
24050,"Montcalm/Montcalm"," 158","Mascouche",3,1,7,9,4,19,76,1,120,309
24050,"Montcalm/Montcalm"," 159","Mascouche",5,2,14,13,9,39,100,5,187,357
24050,"Montcalm/Montcalm"," 160","Mascouche",3,3,17,12,7,38,89,2,171,409
24050,"Montcalm/Montcalm"," 161","Mascouche",2,4,14,22,6,31,95,0,174,379
24050,"Montcalm/Montcalm"," 162","Mascouche",5,4,31,11,3,38,102,5,199,540
24050,"Montcalm/Montcalm"," 163","Mascouche",7,1,26,23,7,30,76,2,172,436
24050,"Montcalm/Montcalm"," 164","Mascouche",8,4,9,29,1,42,81,5,179,497
24050,"Montcalm/Montcalm"," 165","Mascouche",11,3,30,10,4,33,86,2,179,497
24050,"Montcalm/Montcalm"," 166","Mascouche",13,9,47,22,10,60,140,8,309,530
24050,"Montcalm/Montcalm"," 167","Mascouche",11,6,36,13,8,48,123,7,252,528
24050,"Montcalm/Montcalm"," 168","Mascouche",9,4,14,13,7,32,99,3,181,428
24050,"Montcalm/Montcalm"," 169","Mascouche",2,2,24,16,5,46,103,2,200,404
24050,"Montcalm/Montcalm"," 170","Mascouche",10,4,19,24,5,29,109,10,210,447
24050,"Montcalm/Montcalm"," 171","Mascouche",1,8,15,2,2,63,97,15,203,294
24050,"Montcalm/Montcalm"," 172","Mascouche",9,7,7,15,8,56,123,6,231,395
24050,"Montcalm/Montcalm"," 173","Mascouche",7,1,28,13,7,53,134,6,249,447
24050,"Montcalm/Montcalm"," 174","Mascouche",17,1,26,18,5,42,127,6,242,493
24050,"Montcalm/Montcalm"," 175","Mascouche",14,5,40,40,12,94,179,11,395,1026
24050,"Montcalm/Montcalm"," 176","Mascouche",8,2,17,18,6,34,63,8,156,471
24050,"Montcalm/Montcalm"," 177","Mascouche",7,5,29,16,5,36,60,7,165,459
24050,"Montcalm/Montcalm"," 178","Mascouche",5,2,11,8,3,20,70,0,119,285
24050,"Montcalm/Montcalm"," 179","Mascouche",16,7,25,19,8,34,103,3,215,561
24050,"Montcalm/Montcalm"," 180","Mascouche",8,1,22,15,0,44,120,2,212,438
24050,"Montcalm/Montcalm"," 181","Mascouche",4,3,15,17,10,38,131,9,227,398
24050,"Montcalm/Montcalm"," 182","Mascouche",10,4,30,19,6,59,82,7,217,505
24050,"Montcalm/Montcalm"," 183","Mascouche",5,1,18,23,8,64,107,7,233,421
24050,"Montcalm/Montcalm"," 184","Mascouche",3,9,8,15,3,56,90,5,189,375
24050,"Montcalm/Montcalm"," 185","Mascouche",9,3,14,13,3,46,106,6,200,373
24050,"Montcalm/Montcalm"," 186","Mascouche",4,1,10,12,5,38,45,3,118,371
24050,"Montcalm/Montcalm"," 187","Mascouche",3,2,23,16,6,61,87,10,208,544
