Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Serge Benoit,Jean-Charles Cléroux,Pierre Duteau,Jeremy Fournier,Christine Normandin,Jean Rioux,Leigh V. Ryan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24067,"Saint-Jean/Saint-Jean"," 39","Saint-Jean-sur-Richelieu",8,2,0,16,39,23,3,2,93,353
24067,"Saint-Jean/Saint-Jean"," 40","Saint-Jean-sur-Richelieu",16,6,1,14,95,46,6,3,187,509
24067,"Saint-Jean/Saint-Jean"," 41","Saint-Jean-sur-Richelieu",16,4,2,21,69,43,4,9,168,465
24067,"Saint-Jean/Saint-Jean"," 42","Saint-Jean-sur-Richelieu",11,1,1,8,64,38,5,4,132,305
24067,"Saint-Jean/Saint-Jean"," 43","Saint-Jean-sur-Richelieu",30,5,3,12,89,53,6,9,207,529
24067,"Saint-Jean/Saint-Jean"," 44","Saint-Jean-sur-Richelieu",15,9,1,3,55,14,7,9,113,272
24067,"Saint-Jean/Saint-Jean"," 45","Saint-Jean-sur-Richelieu",20,13,2,12,84,57,5,1,194,574
24067,"Saint-Jean/Saint-Jean"," 46","Saint-Jean-sur-Richelieu",30,4,0,24,96,60,4,1,219,554
24067,"Saint-Jean/Saint-Jean"," 47","Saint-Jean-sur-Richelieu",24,1,1,13,104,85,3,10,241,463
24067,"Saint-Jean/Saint-Jean"," 48","Saint-Jean-sur-Richelieu",18,5,0,15,77,32,1,2,150,360
24067,"Saint-Jean/Saint-Jean"," 49","Saint-Jean-sur-Richelieu",22,4,0,25,95,47,2,4,199,411
24067,"Saint-Jean/Saint-Jean"," 50","Saint-Jean-sur-Richelieu",26,10,1,4,73,42,1,3,160,361
24067,"Saint-Jean/Saint-Jean"," 51","Saint-Jean-sur-Richelieu",20,10,1,17,91,65,1,6,211,436
24067,"Saint-Jean/Saint-Jean"," 52","Saint-Jean-sur-Richelieu",25,7,0,14,91,42,3,6,188,434
24067,"Saint-Jean/Saint-Jean"," 53","Saint-Jean-sur-Richelieu",30,1,0,21,67,30,4,3,156,417
