Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pascal Antonin,Sarah Carter,Jason De Lierre,JP Fortin,Raphaël Guérard,David Lametti,Janina Moran,Michel Walsh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 173","Montréal",4,6,23,0,46,81,23,15,4,202,495
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 174","Montréal",2,2,17,0,53,74,24,2,8,182,509
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 175","Montréal",4,9,23,0,40,81,11,5,4,177,508
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 176","Montréal",4,6,32,4,47,98,11,10,11,223,420
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 400","Montréal",2,1,1,1,39,90,3,1,10,148,194
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 401","Montréal",8,0,6,0,49,137,13,1,22,236,306
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 500","Mobile poll/Bureau itinérant",2,0,0,0,6,10,1,0,3,22,54
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 501","Mobile poll/Bureau itinérant",3,0,3,0,7,24,1,1,0,39,57
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 502","Mobile poll/Bureau itinérant",2,2,1,2,9,23,2,0,4,45,128
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 503","Mobile poll/Bureau itinérant",1,0,2,0,18,24,0,0,4,49,70
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 504","Mobile poll/Bureau itinérant",1,0,2,0,8,4,1,0,0,16,35
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 505","Mobile poll/Bureau itinérant",2,1,2,2,7,19,1,0,5,39,144
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 506","Mobile poll/Bureau itinérant",1,0,1,0,3,6,3,0,1,15,78
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 507","Mobile poll/Bureau itinérant",1,0,0,0,1,6,0,0,0,8,70
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 508","Mobile poll/Bureau itinérant",1,2,3,0,6,26,2,0,5,45,108
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 509","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°175,,,,,,,,,,36
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 510","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°176,,,,,,,,,,98
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 511","Mobile poll/Bureau itinérant",1,0,0,0,2,3,2,0,1,9,69
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 512","Mobile poll/Bureau itinérant",2,0,4,1,8,21,1,0,1,38,123
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 600","Montréal",5,20,153,1,187,249,37,14,30,696,
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 601","Montréal",6,12,145,5,185,297,45,14,5,714,
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 602","Montréal",10,19,184,4,216,398,44,29,22,926,
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 603","Montréal",8,13,88,0,210,341,52,16,10,738,
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 604","Montréal",10,37,224,2,179,302,55,19,10,838,
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 605","Montréal",12,24,102,2,203,279,54,15,10,701,
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 606","Montréal",4,22,216,1,203,319,32,30,16,843,
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 607","Montréal",9,39,203,2,241,332,49,17,10,902,
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 608","Montréal",7,13,103,3,168,250,46,21,9,620,
24037,"LaSalle--Émard--Verdun/LaSalle--Émard--Verdun"," 609","Montréal",9,16,113,4,247,292,59,16,20,776,
